year,migback,pgisced97,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Pre-primary Level,No,0.98946,155,155,0.97332,1.00559
1984,No migration background,Primary Level,No,0.80139,62,62,0.70127,0.90151
1984,No migration background,Lower Secondary Level,Yes,0.12852,274,2323,0.11491,0.14214
1984,No migration background,Lower Secondary Level,No,0.87148,2049,2323,0.85786,0.88509
1984,No migration background,Upper Secondary Level,Yes,0.12857,531,4608,0.11891,0.13824
1984,No migration background,Upper Secondary Level,No,0.87143,4077,4608,0.86176,0.88109
1984,No migration background,Post-secondary Non-tertiary Level,No,0.89109,165,165,0.84341,0.93877
1984,No migration background,First Stage of Tertiary Education,Yes,0.15262,82,603,0.12389,0.18135
1984,No migration background,First Stage of Tertiary Education,No,0.84738,521,603,0.81865,0.87611
1984,No migration background,Second Stage of Tertiary Education,Yes,0.10796,64,662,0.08430,0.13162
1984,No migration background,Second Stage of Tertiary Education,No,0.89204,598,662,0.86838,0.91570
1984,Direct migration background,No answer / don't know,No,0.91011,46,46,0.82654,0.99368
1984,Direct migration background,Primary Level,Yes,0.05504,48,911,0.04022,0.06985
1984,Direct migration background,Primary Level,No,0.94496,863,911,0.93015,0.95978
1984,Direct migration background,Lower Secondary Level,No,0.95243,1022,1022,0.93937,0.96548
1984,Direct migration background,Upper Secondary Level,Yes,0.09960,63,1015,0.08117,0.11803
1984,Direct migration background,Upper Secondary Level,No,0.90040,952,1015,0.88197,0.91883
1984,Direct migration background,Post-secondary Non-tertiary Level,No,0.96789,117,117,0.93580,0.99997
1984,Direct migration background,First Stage of Tertiary Education,No,0.91610,46,46,0.83510,0.99710
1984,Direct migration background,Second Stage of Tertiary Education,No,0.92437,113,113,0.87540,0.97334
1984,Indirect migration background,Lower Secondary Level,No,0.96235,51,51,0.90959,1.01511
1984,Indirect migration background,Upper Secondary Level,No,0.91695,49,49,0.83889,0.99502
1985,No migration background,No answer / don't know,No,0.84690,40,40,0.73389,0.95991
1985,No migration background,Pre-primary Level,No,0.99695,153,153,0.98818,1.00572
