year,quintil_oecd,regtyp,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,No answer / don't know,Yes,0.14018,244,2464,0.12646,0.15389
1984,1st Quintile,No answer / don't know,No,0.85982,2220,2464,0.84611,0.87354
1984,2nd Quintile,No answer / don't know,Yes,0.13127,237,2382,0.11771,0.14483
1984,2nd Quintile,No answer / don't know,No,0.86873,2145,2382,0.85517,0.88229
1984,3rd Quintile,No answer / don't know,Yes,0.11702,226,2344,0.10401,0.13004
1984,3rd Quintile,No answer / don't know,No,0.88298,2118,2344,0.86996,0.89599
1984,4th Quintile,No answer / don't know,Yes,0.11113,220,2474,0.09874,0.12351
1984,4th Quintile,No answer / don't know,No,0.88887,2254,2474,0.87649,0.90126
1984,5th Quintile,No answer / don't know,Yes,0.11117,228,2407,0.09861,0.12373
1984,5th Quintile,No answer / don't know,No,0.88883,2179,2407,0.87627,0.90139
1985,1st Quintile,Urban regions,Yes,0.14111,160,1720,0.12465,0.15757
1985,1st Quintile,Urban regions,No,0.85889,1560,1720,0.84243,0.87535
1985,1st Quintile,Rural regions,Yes,0.11237,48,517,0.08512,0.13962
1985,1st Quintile,Rural regions,No,0.88763,469,517,0.86038,0.91488
1985,2nd Quintile,Urban regions,Yes,0.14158,172,1637,0.12469,0.15848
1985,2nd Quintile,Urban regions,No,0.85842,1465,1637,0.84152,0.87531
1985,2nd Quintile,Rural regions,Yes,0.12468,50,494,0.09552,0.15384
1985,2nd Quintile,Rural regions,No,0.87532,444,494,0.84616,0.90448
1985,3rd Quintile,Urban regions,Yes,0.12705,163,1717,0.11129,0.14280
1985,3rd Quintile,Urban regions,No,0.87295,1554,1717,0.85720,0.88871
1985,3rd Quintile,Rural regions,Yes,0.10855,45,476,0.08057,0.13652
1985,3rd Quintile,Rural regions,No,0.89145,431,476,0.86348,0.91943
1985,4th Quintile,Urban regions,Yes,0.09853,148,1798,0.08475,0.11231
1985,4th Quintile,Urban regions,No,0.90147,1650,1798,0.88769,0.91525
