"ple0040","year","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Ja","1985","Staedtischer Raum","816","0.124427156022753","0.11744309257427","0.131411219471236"
"Ja","1985","Laendlicher Raum","213","0.10722590100798","0.0947351387323815","0.119716663283578"
"Nein","1985","Staedtischer Raum","7764","0.875572843977247","0.868588780528764","0.88255690742573"
"Nein","1985","Laendlicher Raum","2144","0.89277409899202","0.880283336716422","0.905264861267619"
"Ja","1986","Staedtischer Raum","5","","",""
"Ja","1986","Laendlicher Raum","3","","",""
"Nein","1986","Staedtischer Raum","386","0.98873864022962","0.978279502490494","0.999197777968747"
"Nein","1986","Laendlicher Raum","83","0.972309990321926","0.937631291560506","1.00698868908335"
"Ja","1987","Staedtischer Raum","780","0.123031249190725","0.115908241406241","0.130154256975209"
"Ja","1987","Laendlicher Raum","199","0.108651681288891","0.0956975827950549","0.121605779782727"
"Nein","1987","Staedtischer Raum","7389","0.876968750809275","0.869845743024791","0.884091758593759"
"Nein","1987","Laendlicher Raum","2018","0.891348318711109","0.878394220217272","0.904302417204945"
"Ja","1988","Staedtischer Raum","840","0.13785235036772","0.130223181807204","0.145481518928237"
"Ja","1988","Laendlicher Raum","198","0.114689696010735","0.100985934149029","0.12839345787244"
"Nein","1988","Staedtischer Raum","7004","0.86214764963228","0.854518481071764","0.869776818192796"
"Nein","1988","Laendlicher Raum","1879","0.885310303989265","0.87160654212756","0.899014065850971"
"Ja","1989","Staedtischer Raum","807","0.137103490115432","0.129391319966618","0.144815660264245"
"Ja","1989","Laendlicher Raum","212","0.133824074659413","0.118801141765737","0.148847007553089"
"Nein","1989","Staedtischer Raum","6834","0.862896509884568","0.855184339735755","0.870608680033382"
"Nein","1989","Laendlicher Raum","1761","0.866175925340587","0.851152992446911","0.881198858234263"
"Ja","1990","Staedtischer Raum","","","",""
"Ja","1990","Laendlicher Raum","","","",""
"Nein","1990","Staedtischer Raum","","","",""
"Nein","1990","Laendlicher Raum","","","",""
"Ja","1991","Staedtischer Raum","821","0.142257842557323","0.134274169104144","0.150241516010501"
"Ja","1991","Laendlicher Raum","215","0.135064946712612","0.120085486352304","0.15004440707292"
"Nein","1991","Staedtischer Raum","6533","0.857742157442677","0.849758483989498","0.865725830895856"
"Nein","1991","Laendlicher Raum","1785","0.864935053287388","0.84995559292708","0.879914513647696"
"Ja","1992","Staedtischer Raum","933","0.140728070319515","0.133348530949101","0.148107609689929"
"Ja","1992","Laendlicher Raum","418","0.120303626394379","0.110787087026133","0.129820165762625"
"Nein","1992","Staedtischer Raum","7597","0.859271929680485","0.851892390310071","0.866651469050899"
"Nein","1992","Laendlicher Raum","4071","0.879696373605621","0.870179834237375","0.889212912973867"
"Ja","1993","Staedtischer Raum","","","",""
"Ja","1993","Laendlicher Raum","","","",""
"Nein","1993","Staedtischer Raum","","","",""
"Nein","1993","Laendlicher Raum","","","",""
"Ja","1994","Staedtischer Raum","888","0.135562789862315","0.128220325812864","0.142905253911765"
"Ja","1994","Laendlicher Raum","391","0.113624408204143","0.10422274847176","0.123026067936526"
"Nein","1994","Staedtischer Raum","7462","0.864437210137685","0.857094746088235","0.871779674187136"
"Nein","1994","Laendlicher Raum","3986","0.886375591795857","0.876973932063474","0.89577725152824"
"Ja","1995","Staedtischer Raum","958","0.144770333315122","0.137333204864987","0.152207461765256"
"Ja","1995","Laendlicher Raum","398","0.119307913824893","0.109869527865376","0.128746299784411"
"Nein","1995","Staedtischer Raum","7641","0.855229666684878","0.847792538234743","0.862666795135013"
"Nein","1995","Laendlicher Raum","4133","0.880692086175107","0.871253700215589","0.890130472134624"
"Ja","1996","Staedtischer Raum","932","0.141319414136574","0.133910410048708","0.14872841822444"
"Ja","1996","Laendlicher Raum","433","0.129307980131806","0.119520651755951","0.139095308507661"
"Nein","1996","Staedtischer Raum","7560","0.858680585863426","0.85127158177556","0.866089589951292"
"Nein","1996","Laendlicher Raum","4082","0.870692019868194","0.860904691492339","0.880479348244049"
"Ja","1997","Staedtischer Raum","911","0.140436609351689","0.132967403192649","0.14790581551073"
"Ja","1997","Laendlicher Raum","434","0.130034078352649","0.12013419770208","0.139933959003218"
