year,migback,sex,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,male,Yes,0.15420,575,4096,0.14314,0.16527
1984,No migration background,male,No,0.84580,3521,4096,0.83473,0.85686
1984,No migration background,female,Yes,0.10382,417,4531,0.09494,0.11270
1984,No migration background,female,No,0.89618,4114,4531,0.88730,0.90506
1984,Direct migration background,male,Yes,0.10335,116,1763,0.08913,0.11756
1984,Direct migration background,male,No,0.89665,1647,1763,0.88244,0.91087
1984,Direct migration background,female,Yes,0.03853,46,1579,0.02903,0.04802
1984,Direct migration background,female,No,0.96147,1533,1579,0.95198,0.97097
1984,Indirect migration background,male,No,0.85966,55,55,0.76701,0.95230
1984,Indirect migration background,female,No,0.99683,64,64,0.98294,1.01071
1985,No migration background,male,Yes,0.15184,520,3795,0.14042,0.16326
1985,No migration background,male,No,0.84816,3275,3795,0.83674,0.85958
1985,No migration background,female,Yes,0.10031,364,4116,0.09113,0.10948
1985,No migration background,female,No,0.89969,3752,4116,0.89052,0.90887
1985,Direct migration background,male,Yes,0.11239,102,1531,0.09656,0.12822
1985,Direct migration background,male,No,0.88761,1429,1531,0.87178,0.90344
1985,Direct migration background,female,Yes,0.05219,39,1357,0.04036,0.06403
1985,Direct migration background,female,No,0.94781,1318,1357,0.93597,0.95964
1985,Indirect migration background,male,No,0.97798,60,60,0.94054,1.01543
1985,Indirect migration background,female,No,0.94363,74,74,0.89072,0.99654
1987,No migration background,male,Yes,0.14525,465,3582,0.13371,0.15679
1987,No migration background,male,No,0.85475,3117,3582,0.84321,0.86629
1987,No migration background,female,Yes,0.10189,339,3849,0.09233,0.11144
1987,No migration background,female,No,0.89811,3510,3849,0.88856,0.90767
1987,Direct migration background,male,Yes,0.12749,115,1483,0.11051,0.14447
1987,Direct migration background,male,No,0.87251,1368,1483,0.85553,0.88949
1987,Direct migration background,female,Yes,0.06670,52,1302,0.05314,0.08026
1987,Direct migration background,female,No,0.93330,1250,1302,0.91974,0.94686
1987,Indirect migration background,male,No,0.90087,73,73,0.83184,0.96990
1987,Indirect migration background,female,No,0.91071,89,89,0.85114,0.97029
1988,No migration background,male,Yes,0.15740,478,3409,0.14518,0.16963
1988,No migration background,male,No,0.84260,2931,3409,0.83037,0.85482
1988,No migration background,female,Yes,0.11458,351,3638,0.10423,0.12493
1988,No migration background,female,No,0.88542,3287,3638,0.87507,0.89577
1988,Direct migration background,male,Yes,0.14736,138,1403,0.12881,0.16592
1988,Direct migration background,male,No,0.85264,1265,1403,0.83408,0.87119
1988,Direct migration background,female,Yes,0.07743,60,1252,0.06261,0.09224
1988,Direct migration background,female,No,0.92257,1192,1252,0.90776,0.93739
1988,Indirect migration background,male,No,0.92209,100,100,0.86929,0.97489
1988,Indirect migration background,female,No,0.90146,108,108,0.84498,0.95793
1989,No migration background,male,Yes,0.16435,475,3284,0.15167,0.17702
1989,No migration background,male,No,0.83565,2809,3284,0.82298,0.84833
1989,No migration background,female,Yes,0.11915,349,3495,0.10841,0.12990
1989,No migration background,female,No,0.88085,3146,3495,0.87010,0.89159
1989,Direct migration background,male,Yes,0.13553,123,1343,0.11721,0.15384
1989,Direct migration background,male,No,0.86447,1220,1343,0.84616,0.88279
1989,Direct migration background,female,Yes,0.07712,64,1236,0.06224,0.09200
1989,Direct migration background,female,No,0.92288,1172,1236,0.90800,0.93776
1989,Indirect migration background,male,No,0.94376,119,119,0.90219,0.98533
1989,Indirect migration background,female,No,0.90918,129,129,0.85940,0.95896
1991,No migration background,male,Yes,0.17256,477,3144,0.15934,0.18577
1991,No migration background,male,No,0.82744,2667,3144,0.81423,0.84066
1991,No migration background,female,Yes,0.12029,344,3405,0.10937,0.13122
1991,No migration background,female,No,0.87971,3061,3405,0.86878,0.89063
1991,Direct migration background,male,Yes,0.14747,143,1294,0.12814,0.16679
1991,Direct migration background,male,No,0.85253,1151,1294,0.83321,0.87186
1991,Direct migration background,female,Yes,0.08740,64,1168,0.07120,0.10360
1991,Direct migration background,female,No,0.91260,1104,1168,0.89640,0.92880
1991,Indirect migration background,male,No,0.96053,168,168,0.93100,0.99006
