year,pgisced97,sampreg,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,West,No,0.94911,184,184,0.91726,0.98095
1984,Primary Level,West,Yes,0.10334,64,992,0.08439,0.12230
1984,Primary Level,West,No,0.89212,928,992,0.87280,0.91143
1984,Lower Secondary Level,West,Yes,0.11932,305,3427,0.10846,0.13017
1984,Lower Secondary Level,West,No,0.87281,3122,3427,0.86166,0.88397
1984,Upper Secondary Level,West,Yes,0.12582,596,5674,0.11719,0.13445
1984,Upper Secondary Level,West,No,0.86935,5078,5674,0.86058,0.87812
1984,Post-secondary Non-tertiary Level,West,No,0.90233,283,283,0.86768,0.93698
1984,First Stage of Tertiary Education,West,Yes,0.14726,87,658,0.12016,0.17435
1984,First Stage of Tertiary Education,West,No,0.85078,571,658,0.82354,0.87803
1984,Second Stage of Tertiary Education,West,Yes,0.10386,71,785,0.08250,0.12521
1984,Second Stage of Tertiary Education,West,No,0.89009,714,785,0.86820,0.91199
1985,Pre-primary Level,West,No,0.98592,183,183,0.96879,1.00304
1985,Primary Level,West,Yes,0.13606,60,829,0.11271,0.15941
1985,Primary Level,West,No,0.86117,769,829,0.83761,0.88472
1985,Lower Secondary Level,West,Yes,0.11112,257,3031,0.09993,0.12231
1985,Lower Secondary Level,West,No,0.87748,2774,3031,0.86581,0.88916
1985,Upper Secondary Level,West,Yes,0.12418,526,5136,0.11516,0.13320
1985,Upper Secondary Level,West,No,0.86698,4610,5136,0.85769,0.87627
1985,Post-secondary Non-tertiary Level,West,No,0.90684,254,254,0.87102,0.94265
1985,First Stage of Tertiary Education,West,Yes,0.16167,89,618,0.13262,0.19072
1985,First Stage of Tertiary Education,West,No,0.83644,529,618,0.80726,0.86563
1985,Second Stage of Tertiary Education,West,Yes,0.10512,67,751,0.08316,0.12707
1985,Second Stage of Tertiary Education,West,No,0.88974,684,751,0.86732,0.91216
1987,Pre-primary Level,West,No,0.97454,185,185,0.95178,0.99730
1987,Primary Level,West,Yes,0.14352,65,744,0.11831,0.16873
1987,Primary Level,West,No,0.85191,679,744,0.82637,0.87745
1987,Lower Secondary Level,West,Yes,0.11205,234,2814,0.10040,0.12371
1987,Lower Secondary Level,West,No,0.88146,2580,2814,0.86952,0.89341
1987,Upper Secondary Level,West,Yes,0.12475,508,4939,0.11553,0.13397
1987,Upper Secondary Level,West,No,0.86996,4431,4939,0.86058,0.87934
1987,Post-secondary Non-tertiary Level,West,No,0.91495,253,253,0.88051,0.94940
1987,First Stage of Tertiary Education,West,Yes,0.15887,80,563,0.12864,0.18909
1987,First Stage of Tertiary Education,West,No,0.83679,483,563,0.80624,0.86735
1987,Second Stage of Tertiary Education,West,Yes,0.09312,60,741,0.07218,0.11406
1987,Second Stage of Tertiary Education,West,No,0.90380,681,741,0.88256,0.92505
1988,Pre-primary Level,West,No,0.97990,162,162,0.95823,1.00158
1988,Primary Level,West,Yes,0.15161,69,688,0.12479,0.17843
1988,Primary Level,West,No,0.84429,619,688,0.81718,0.87140
1988,Lower Secondary Level,West,Yes,0.13084,257,2706,0.11813,0.14354
1988,Lower Secondary Level,West,No,0.86228,2449,2706,0.84930,0.87527
1988,Upper Secondary Level,West,Yes,0.13816,545,4718,0.12832,0.14801
1988,Upper Secondary Level,West,No,0.85509,4173,4718,0.84504,0.86513
1988,Post-secondary Non-tertiary Level,West,No,0.87028,240,240,0.82768,0.91288
1988,First Stage of Tertiary Education,West,Yes,0.15214,73,537,0.12174,0.18255
1988,First Stage of Tertiary Education,West,No,0.84275,464,537,0.81193,0.87357
1988,Second Stage of Tertiary Education,West,Yes,0.09248,55,697,0.07095,0.11400
1988,Second Stage of Tertiary Education,West,No,0.89823,642,697,0.87577,0.92069
1989,Pre-primary Level,West,No,0.97721,172,172,0.95485,0.99958
1989,Primary Level,West,Yes,0.16618,71,648,0.13750,0.19486
1989,Primary Level,West,No,0.82172,577,648,0.79222,0.85121
1989,Lower Secondary Level,West,Yes,0.13694,247,2556,0.12361,0.15027
1989,Lower Secondary Level,West,No,0.85468,2309,2556,0.84102,0.86835
1989,Upper Secondary Level,West,Yes,0.14339,536,4596,0.13326,0.15353
1989,Upper Secondary Level,West,No,0.84994,4060,4596,0.83961,0.86027
1989,Post-secondary Non-tertiary Level,West,No,0.90381,265,265,0.86825,0.93938
1989,First Stage of Tertiary Education,West,Yes,0.14921,68,514,0.11838,0.18004
1989,First Stage of Tertiary Education,West,No,0.84676,446,514,0.81559,0.87793
1989,Second Stage of Tertiary Education,West,Yes,0.10176,61,695,0.07927,0.12425
1989,Second Stage of Tertiary Education,West,No,0.89433,634,695,0.87146,0.91720
1991,Pre-primary Level,West,No,0.96491,146,146,0.93496,0.99486
1991,Primary Level,West,Yes,0.17614,75,618,0.14609,0.20620
1991,Primary Level,West,No,0.81894,543,618,0.78855,0.84932
1991,Lower Secondary Level,West,Yes,0.14404,247,2379,0.12992,0.15815
1991,Lower Secondary Level,West,No,0.84118,2132,2379,0.82648,0.85587
1991,Upper Secondary Level,West,Yes,0.14843,547,4506,0.13805,0.15881
1991,Upper Secondary Level,West,No,0.84198,3959,4506,0.83133,0.85263
1991,Post-secondary Non-tertiary Level,West,Yes,0.11433,31,304,0.07850,0.15016
1991,Post-secondary Non-tertiary Level,West,No,0.87608,273,304,0.83898,0.91318
1991,First Stage of Tertiary Education,West,Yes,0.14221,63,517,0.11207,0.17235
1991,First Stage of Tertiary Education,West,No,0.85305,454,517,0.82250,0.88360
1991,Second Stage of Tertiary Education,West,Yes,0.09362,60,716,0.07227,0.11498
1991,Second Stage of Tertiary Education,West,No,0.89772,656,716,0.87551,0.91993
1992,Pre-primary Level,West,No,0.98726,141,141,0.96867,1.00584
1992,Primary Level,West,Yes,0.19457,83,600,0.16287,0.22627
1992,Primary Level,West,No,0.79564,517,600,0.76335,0.82794
1992,Lower Secondary Level,West,Yes,0.14889,253,2300,0.13433,0.16344
1992,Lower Secondary Level,West,No,0.83608,2047,2300,0.82095,0.85121
1992,Lower Secondary Level,East,Yes,0.12098,45,444,0.09061,0.15135
1992,Lower Secondary Level,East,No,0.85061,399,444,0.81742,0.88381
1992,Upper Secondary Level,West,Yes,0.15403,566,4438,0.14341,0.16465
1992,Upper Secondary Level,West,No,0.83115,3872,4438,0.82013,0.84218
1992,Upper Secondary Level,East,Yes,0.08821,168,2180,0.07630,0.10012
1992,Upper Secondary Level,East,No,0.88871,2012,2180,0.87550,0.90191
1992,Post-secondary Non-tertiary Level,West,No,0.88949,288,288,0.85322,0.92577
1992,Post-secondary Non-tertiary Level,East,No,0.94765,65,65,0.89308,1.00222
1992,First Stage of Tertiary Education,West,Yes,0.14642,67,524,0.11612,0.17672
1992,First Stage of Tertiary Education,West,No,0.83383,457,524,0.80193,0.86574
1992,First Stage of Tertiary Education,East,No,0.91351,216,216,0.87594,0.95109
1992,Second Stage of Tertiary Education,West,Yes,0.09620,62,732,0.07482,0.11757
1992,Second Stage of Tertiary Education,West,No,0.89637,670,732,0.87428,0.91847
1992,Second Stage of Tertiary Education,East,Yes,0.07678,64,909,0.05946,0.09410
1992,Second Stage of Tertiary Education,East,No,0.91374,845,909,0.89548,0.93200
1994,Pre-primary Level,West,No,0.99196,154,154,0.97781,1.00611
1994,Pre-primary Level,East,No,0.96950,82,82,0.93205,1.00695
1994,Primary Level,West,Yes,0.15801,66,537,0.12713,0.18889
1994,Primary Level,West,No,0.83066,471,537,0.79891,0.86242
1994,Lower Secondary Level,West,Yes,0.15294,245,2061,0.13740,0.16848
1994,Lower Secondary Level,West,No,0.82417,1816,2061,0.80774,0.84061
1994,Lower Secondary Level,East,Yes,0.11991,40,402,0.08811,0.15170
1994,Lower Secondary Level,East,No,0.87388,362,402,0.84139,0.90638
1994,Upper Secondary Level,West,Yes,0.14415,540,4423,0.13380,0.15451
1994,Upper Secondary Level,West,No,0.83847,3883,4423,0.82762,0.84932
1994,Upper Secondary Level,East,Yes,0.08564,148,2068,0.07357,0.09770
1994,Upper Secondary Level,East,No,0.90346,1920,2068,0.89073,0.91620
1994,Post-secondary Non-tertiary Level,West,No,0.89757,292,292,0.86273,0.93241
1994,First Stage of Tertiary Education,West,Yes,0.16129,69,508,0.12927,0.19330
1994,First Stage of Tertiary Education,West,No,0.82147,439,508,0.78813,0.85480
1994,First Stage of Tertiary Education,East,No,0.90745,218,218,0.86889,0.94601
1994,Second Stage of Tertiary Education,West,Yes,0.08670,59,789,0.06705,0.10635
1994,Second Stage of Tertiary Education,West,No,0.90295,730,789,0.88228,0.92362
1994,Second Stage of Tertiary Education,East,Yes,0.08178,61,853,0.06338,0.10018
1994,Second Stage of Tertiary Education,East,No,0.91246,792,853,0.89348,0.93144
1995,Pre-primary Level,West,No,0.96528,186,186,0.93890,0.99166
1995,Pre-primary Level,East,No,0.98173,95,95,0.95465,1.00880
1995,Primary Level,West,Yes,0.17286,72,520,0.14033,0.20539
1995,Primary Level,West,No,0.82195,448,520,0.78904,0.85487
1995,Lower Secondary Level,West,Yes,0.15609,237,2081,0.14049,0.17169
1995,Lower Secondary Level,West,No,0.82047,1844,2081,0.80397,0.83696
1995,Lower Secondary Level,East,Yes,0.11370,38,374,0.08148,0.14592
1995,Lower Secondary Level,East,No,0.87260,336,374,0.83876,0.90644
1995,Upper Secondary Level,West,Yes,0.15973,593,4623,0.14917,0.17030
1995,Upper Secondary Level,West,No,0.82466,4030,4623,0.81370,0.83562
1995,Upper Secondary Level,East,Yes,0.08613,150,2023,0.07390,0.09835
1995,Upper Secondary Level,East,No,0.89831,1873,2023,0.88513,0.91148
1995,Post-secondary Non-tertiary Level,West,No,0.92226,375,375,0.89512,0.94939
1995,Post-secondary Non-tertiary Level,East,No,0.98784,68,68,0.96159,1.01408
1995,First Stage of Tertiary Education,West,Yes,0.16406,69,517,0.13211,0.19601
1995,First Stage of Tertiary Education,West,No,0.81916,448,517,0.78595,0.85237
1995,First Stage of Tertiary Education,East,No,0.86108,209,209,0.81408,0.90809
1995,Second Stage of Tertiary Education,West,Yes,0.09224,68,912,0.07345,0.11103
1995,Second Stage of Tertiary Education,West,No,0.89630,844,912,0.87651,0.91610
1995,Second Stage of Tertiary Education,East,Yes,0.09273,63,826,0.07294,0.11252
1995,Second Stage of Tertiary Education,East,No,0.89503,763,826,0.87411,0.91594
1996,Primary Level,West,Yes,0.17980,68,479,0.14537,0.21422
1996,Primary Level,West,No,0.82020,411,479,0.78578,0.85463
1996,Lower Secondary Level,West,Yes,0.16866,251,2017,0.15231,0.18500
1996,Lower Secondary Level,West,No,0.83110,1766,2017,0.81474,0.84745
1996,Lower Secondary Level,East,Yes,0.12541,40,360,0.09115,0.15967
1996,Lower Secondary Level,East,No,0.85159,320,360,0.81482,0.88837
1996,Upper Secondary Level,West,Yes,0.15915,575,4584,0.14856,0.16975
1996,Upper Secondary Level,West,No,0.84012,4009,4584,0.82951,0.85073
1996,Upper Secondary Level,East,Yes,0.09971,175,2008,0.08660,0.11282
1996,Upper Secondary Level,East,No,0.88536,1833,2008,0.87142,0.89930
1996,Post-secondary Non-tertiary Level,West,No,0.91493,368,368,0.88639,0.94347
1996,First Stage of Tertiary Education,West,Yes,0.17687,70,533,0.14445,0.20930
1996,First Stage of Tertiary Education,West,No,0.82313,463,533,0.79070,0.85555
1996,First Stage of Tertiary Education,East,No,0.86666,208,208,0.82035,0.91297
1996,Second Stage of Tertiary Education,West,Yes,0.08670,67,925,0.06856,0.10485
1996,Second Stage of Tertiary Education,West,No,0.91330,858,925,0.89515,0.93144
1996,Second Stage of Tertiary Education,East,Yes,0.08880,60,837,0.06951,0.10808
1996,Second Stage of Tertiary Education,East,No,0.90875,777,837,0.88923,0.92827
1997,Pre-primary Level,West,No,0.98106,202,202,0.96222,0.99991
1997,Primary Level,West,Yes,0.17671,68,450,0.14143,0.21199
1997,Primary Level,West,No,0.81292,382,450,0.77685,0.84899
1997,Lower Secondary Level,West,Yes,0.16098,238,1959,0.14470,0.17726
1997,Lower Secondary Level,West,No,0.82595,1721,1959,0.80915,0.84274
1997,Lower Secondary Level,East,Yes,0.13478,42,346,0.09875,0.17082
1997,Lower Secondary Level,East,No,0.85187,304,346,0.81439,0.88936
1997,Upper Secondary Level,West,Yes,0.16460,586,4468,0.15372,0.17547
