year,bula_h,quintil_oecd,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,1st Quintile,No,0.93645,56,56,0.87198,1.00092
1984,Schleswig-Holstein,2nd Quintile,No,0.90441,72,72,0.83602,0.97280
1984,Schleswig-Holstein,3rd Quintile,No,0.92949,57,57,0.86244,0.99654
1984,Schleswig-Holstein,4th Quintile,No,0.93366,90,90,0.88195,0.98536
1984,Schleswig-Holstein,5th Quintile,No,0.91987,82,82,0.86075,0.97900
1984,Hamburg,1st Quintile,No,0.89116,48,48,0.80212,0.98020
1984,Hamburg,2nd Quintile,No,0.77427,43,43,0.64784,0.90071
1984,Hamburg,3rd Quintile,No,0.93607,50,50,0.86758,1.00457
1984,Hamburg,4th Quintile,No,0.93162,67,67,0.87073,0.99251
1984,Hamburg,5th Quintile,No,0.91427,69,69,0.84773,0.98081
1984,Lower Saxony,1st Quintile,Yes,0.14976,36,296,0.10904,0.19048
1984,Lower Saxony,1st Quintile,No,0.85024,260,296,0.80952,0.89096
1984,Lower Saxony,2nd Quintile,No,0.89242,208,208,0.85020,0.93463
1984,Lower Saxony,3rd Quintile,No,0.89927,209,209,0.85837,0.94018
1984,Lower Saxony,4th Quintile,No,0.90701,229,229,0.86931,0.94470
1984,Lower Saxony,5th Quintile,No,0.89094,200,200,0.84762,0.93425
1984,Bremen,1st Quintile,No,0.85626,31,31,0.73071,0.98180
1984,North Rhine-Westphalia,1st Quintile,Yes,0.16377,85,766,0.13755,0.19000
1984,North Rhine-Westphalia,1st Quintile,No,0.83623,681,766,0.81000,0.86245
1984,North Rhine-Westphalia,2nd Quintile,Yes,0.16369,73,630,0.13477,0.19260
1984,North Rhine-Westphalia,2nd Quintile,No,0.83631,557,630,0.80740,0.86523
1984,North Rhine-Westphalia,3rd Quintile,Yes,0.14921,69,581,0.12021,0.17821
1984,North Rhine-Westphalia,3rd Quintile,No,0.85079,512,581,0.82179,0.87979
1984,North Rhine-Westphalia,4th Quintile,Yes,0.14696,73,647,0.11966,0.17427
1984,North Rhine-Westphalia,4th Quintile,No,0.85304,574,647,0.82573,0.88034
1984,North Rhine-Westphalia,5th Quintile,Yes,0.12814,66,606,0.10151,0.15478
1984,North Rhine-Westphalia,5th Quintile,No,0.87186,540,606,0.84522,0.89849
1984,Hesse,1st Quintile,No,0.83058,241,241,0.78312,0.87804
1984,Hesse,2nd Quintile,No,0.84136,206,206,0.79135,0.89138
1984,Hesse,3rd Quintile,No,0.88201,181,181,0.83488,0.92914
1984,Hesse,4th Quintile,No,0.92440,220,220,0.88939,0.95941
1984,Hesse,5th Quintile,Yes,0.11537,31,307,0.07958,0.15117
1984,Hesse,5th Quintile,No,0.88463,276,307,0.84883,0.92042
1984,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.85294,145,145,0.79509,0.91078
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.89025,186,186,0.84520,0.93529
1984,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.88183,166,166,0.83258,0.93109
1984,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.90752,148,148,0.86068,0.95435
1984,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.93038,120,120,0.88465,0.97611
1984,Baden-Wuerttemberg,1st Quintile,No,0.91013,359,359,0.88050,0.93975
1984,Baden-Wuerttemberg,2nd Quintile,No,0.91569,437,437,0.88961,0.94177
1984,Baden-Wuerttemberg,3rd Quintile,No,0.91987,426,426,0.89406,0.94569
1984,Baden-Wuerttemberg,4th Quintile,Yes,0.08912,38,493,0.06395,0.11430
1984,Baden-Wuerttemberg,4th Quintile,No,0.91088,455,493,0.88570,0.93605
1984,Baden-Wuerttemberg,5th Quintile,Yes,0.09359,33,441,0.06638,0.12081
1984,Baden-Wuerttemberg,5th Quintile,No,0.90641,408,441,0.87919,0.93362
1984,Bavaria,1st Quintile,Yes,0.11139,33,381,0.07975,0.14302
1984,Bavaria,1st Quintile,No,0.88861,348,381,0.85698,0.92025
1984,Bavaria,2nd Quintile,Yes,0.13546,45,410,0.10229,0.16863
1984,Bavaria,2nd Quintile,No,0.86454,365,410,0.83137,0.89771
1984,Bavaria,3rd Quintile,Yes,0.10209,35,432,0.07350,0.13067
1984,Bavaria,3rd Quintile,No,0.89791,397,432,0.86933,0.92650
1984,Bavaria,4th Quintile,Yes,0.11790,38,416,0.08688,0.14893
1984,Bavaria,4th Quintile,No,0.88210,378,416,0.85107,0.91312
1984,Bavaria,5th Quintile,Yes,0.10205,39,427,0.07330,0.13079
1984,Bavaria,5th Quintile,No,0.89795,388,427,0.86921,0.92670
1984,Berlin,1st Quintile,No,0.77258,51,51,0.65639,0.88876
1984,Berlin,2nd Quintile,No,0.97306,49,49,0.92725,1.01886
1984,Berlin,3rd Quintile,No,0.80619,92,92,0.72497,0.88740
1984,Berlin,4th Quintile,No,0.82602,68,68,0.73524,0.91679
1984,Berlin,5th Quintile,No,0.80622,89,89,0.72364,0.88881
1985,Schleswig-Holstein,1st Quintile,No,0.87591,67,67,0.79637,0.95545
1985,Schleswig-Holstein,2nd Quintile,No,0.86873,68,68,0.78787,0.94959
1985,Schleswig-Holstein,3rd Quintile,No,0.86462,52,52,0.77072,0.95852
1985,Schleswig-Holstein,4th Quintile,No,0.91346,64,64,0.84403,0.98289
1985,Schleswig-Holstein,5th Quintile,No,0.91393,63,63,0.84412,0.98375
1985,Hamburg,1st Quintile,No,0.89868,47,47,0.81148,0.98588
1985,Hamburg,2nd Quintile,No,0.86481,33,33,0.74634,0.98328
1985,Hamburg,3rd Quintile,No,0.97310,56,56,0.93034,1.01586
1985,Hamburg,4th Quintile,No,0.94840,54,54,0.88884,1.00796
1985,Hamburg,5th Quintile,No,0.90945,67,67,0.84021,0.97868
1985,Lower Saxony,1st Quintile,No,0.88945,215,215,0.84743,0.93146
1985,Lower Saxony,2nd Quintile,No,0.85026,166,166,0.79582,0.90471
1985,Lower Saxony,3rd Quintile,No,0.87777,210,210,0.83337,0.92218
1985,Lower Saxony,4th Quintile,No,0.92528,180,180,0.88676,0.96380
1985,Lower Saxony,5th Quintile,No,0.89885,221,221,0.85900,0.93869
1985,North Rhine-Westphalia,1st Quintile,Yes,0.15985,70,669,0.13206,0.18764
1985,North Rhine-Westphalia,1st Quintile,No,0.84015,599,669,0.81236,0.86794
1985,North Rhine-Westphalia,2nd Quintile,Yes,0.13865,60,605,0.11109,0.16621
1985,North Rhine-Westphalia,2nd Quintile,No,0.86135,545,605,0.83379,0.88891
1985,North Rhine-Westphalia,3rd Quintile,Yes,0.14339,58,517,0.11315,0.17363
1985,North Rhine-Westphalia,3rd Quintile,No,0.85661,459,517,0.82637,0.88685
1985,North Rhine-Westphalia,4th Quintile,Yes,0.12145,61,593,0.09514,0.14776
1985,North Rhine-Westphalia,4th Quintile,No,0.87855,532,593,0.85224,0.90486
1985,North Rhine-Westphalia,5th Quintile,Yes,0.14909,65,537,0.11894,0.17925
1985,North Rhine-Westphalia,5th Quintile,No,0.85091,472,537,0.82075,0.88106
1985,Hesse,1st Quintile,No,0.87850,239,239,0.83699,0.92001
1985,Hesse,2nd Quintile,No,0.80353,173,173,0.74415,0.86291
1985,Hesse,3rd Quintile,No,0.82146,176,176,0.76471,0.87820
1985,Hesse,4th Quintile,No,0.93053,223,223,0.89709,0.96398
1985,Hesse,5th Quintile,No,0.90344,209,209,0.86330,0.94358
1985,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.87682,153,153,0.82458,0.92907
1985,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.84312,111,111,0.77515,0.91108
1985,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.91966,172,172,0.87892,0.96040
1985,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.91081,145,145,0.86425,0.95736
1985,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.88502,111,111,0.82540,0.94463
1985,Baden-Wuerttemberg,1st Quintile,No,0.90661,360,360,0.87651,0.93671
1985,Baden-Wuerttemberg,2nd Quintile,No,0.92373,380,380,0.89700,0.95045
1985,Baden-Wuerttemberg,3rd Quintile,Yes,0.09705,31,468,0.07020,0.12389
1985,Baden-Wuerttemberg,3rd Quintile,No,0.90295,437,468,0.87611,0.92980
1985,Baden-Wuerttemberg,4th Quintile,No,0.91973,388,388,0.89266,0.94680
1985,Baden-Wuerttemberg,5th Quintile,No,0.91552,329,329,0.88542,0.94561
1985,Bavaria,1st Quintile,Yes,0.15134,31,295,0.11037,0.19231
