year,migback,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Yes,0.12730,992,8627,0.12026,0.13433
1984,No migration background,No,0.87270,7635,8627,0.86567,0.87974
1984,Direct migration background,Yes,0.07164,162,3342,0.06289,0.08038
1984,Direct migration background,No,0.92836,3180,3342,0.91962,0.93711
1984,Indirect migration background,No,0.94596,119,119,0.90517,0.98676
1985,No migration background,Yes,0.12446,884,7911,0.11718,0.13173
1985,No migration background,No,0.87554,7027,7911,0.86827,0.88282
1985,Direct migration background,Yes,0.08291,141,2888,0.07285,0.09297
1985,Direct migration background,No,0.91709,2747,2888,0.90703,0.92715
1985,Indirect migration background,No,0.95732,134,134,0.92297,0.99168
1987,No migration background,Yes,0.12226,804,7431,0.11482,0.12971
1987,No migration background,No,0.87774,6627,7431,0.87029,0.88518
1987,Direct migration background,Yes,0.09796,167,2785,0.08691,0.10900
1987,Direct migration background,No,0.90204,2618,2785,0.89100,0.91309
1987,Indirect migration background,No,0.90694,162,162,0.86206,0.95182
1988,No migration background,Yes,0.13488,829,7047,0.12690,0.14286
1988,No migration background,No,0.86512,6218,7047,0.85714,0.87310
1988,Direct migration background,Yes,0.11317,198,2655,0.10112,0.12522
1988,Direct migration background,No,0.88683,2457,2655,0.87478,0.89888
1988,Indirect migration background,No,0.91031,208,208,0.87139,0.94924
1989,No migration background,Yes,0.14063,824,6779,0.13235,0.14891
1989,No migration background,No,0.85937,5955,6779,0.85109,0.86765
1989,Direct migration background,Yes,0.10645,187,2579,0.09454,0.11835
1989,Direct migration background,No,0.89355,2392,2579,0.88165,0.90546
1989,Indirect migration background,No,0.92475,248,248,0.89185,0.95765
1991,No migration background,Yes,0.14500,821,6549,0.13647,0.15353
1991,No migration background,No,0.85500,5728,6549,0.84647,0.86353
1991,Direct migration background,Yes,0.11815,207,2462,0.10540,0.13091
1991,Direct migration background,No,0.88185,2255,2462,0.86909,0.89460
1991,Indirect migration background,No,0.95279,335,335,0.93004,0.97553
1992,No migration background,Yes,0.13569,1110,10234,0.12905,0.14232
1992,No migration background,No,0.86431,9124,10234,0.85768,0.87095
1992,Direct migration background,Yes,0.13085,241,2500,0.11763,0.14407
1992,Direct migration background,No,0.86915,2259,2500,0.85593,0.88237
1992,Indirect migration background,No,0.95034,390,390,0.92875,0.97193
1994,No migration background,Yes,0.12952,1020,9921,0.12291,0.13613
1994,No migration background,No,0.87048,8901,9921,0.86387,0.87709
1994,Direct migration background,Yes,0.13726,248,2321,0.12326,0.15127
1994,Direct migration background,No,0.86274,2073,2321,0.84873,0.87674
1994,Indirect migration background,No,0.96212,474,474,0.94491,0.97932
1995,No migration background,Yes,0.14115,1075,9885,0.13429,0.14802
1995,No migration background,No,0.85885,8810,9885,0.85198,0.86571
1995,Direct migration background,Yes,0.12291,269,2747,0.11063,0.13519
1995,Direct migration background,No,0.87709,2478,2747,0.86481,0.88937
1995,Indirect migration background,No,0.96544,486,486,0.94918,0.98170
1996,No migration background,Yes,0.14150,1092,9873,0.13463,0.14838
1996,No migration background,No,0.85850,8781,9873,0.85162,0.86537
1996,Direct migration background,Yes,0.12855,260,2592,0.11566,0.14143
1996,Direct migration background,No,0.87145,2332,2592,0.85857,0.88434
1996,Indirect migration background,No,0.96687,529,529,0.95160,0.98213
1997,No migration background,Yes,0.14203,1082,9732,0.13509,0.14897
1997,No migration background,No,0.85797,8650,9732,0.85103,0.86491
1997,Direct migration background,Yes,0.12292,247,2453,0.10993,0.13592
1997,Direct migration background,No,0.87708,2206,2453,0.86408,0.89007
1997,Indirect migration background,No,0.95726,546,546,0.94028,0.97424
1998,No migration background,Yes,0.14162,1278,11140,0.13515,0.14810
1998,No migration background,No,0.85838,9862,11140,0.85190,0.86485
1998,Direct migration background,Yes,0.12000,249,2381,0.10695,0.13306
1998,Direct migration background,No,0.88000,2132,2381,0.86694,0.89305
1998,Indirect migration background,No,0.97804,578,578,0.96608,0.99000
1999,No migration background,Yes,0.14334,1245,10839,0.13675,0.14994
1999,No migration background,No,0.85666,9594,10839,0.85006,0.86325
1999,Direct migration background,Yes,0.12310,233,2196,0.10935,0.13684
1999,Direct migration background,No,0.87690,1963,2196,0.86316,0.89065
1999,Indirect migration background,No,0.96950,583,583,0.95553,0.98347
2000,No migration background,Yes,0.13072,2298,19911,0.12603,0.13540
2000,No migration background,No,0.86928,17613,19911,0.86460,0.87397
2000,Direct migration background,Yes,0.09533,293,3296,0.08530,0.10536
2000,Direct migration background,No,0.90467,3003,3296,0.89464,0.91470
2000,Indirect migration background,No,0.96920,786,786,0.95712,0.98129
2001,No migration background,Yes,0.13146,2083,18172,0.12655,0.13638
2001,No migration background,No,0.86854,16089,18172,0.86362,0.87345
2001,Direct migration background,Yes,0.09528,263,2894,0.08458,0.10598
2001,Direct migration background,No,0.90472,2631,2894,0.89402,0.91542
