"ple0040","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Ja","1985","Staedtischer Raum","Westdeutschland","816","0.124427156022753","0.11744309257427","0.131411219471236"
"Ja","1985","Staedtischer Raum","Ostdeutschland","","","",""
"Ja","1985","Laendlicher Raum","Westdeutschland","213","0.10722590100798","0.0947351387323815","0.119716663283578"
"Ja","1985","Laendlicher Raum","Ostdeutschland","","","",""
"Nein","1985","Staedtischer Raum","Westdeutschland","7764","0.875572843977247","0.868588780528764","0.88255690742573"
"Nein","1985","Staedtischer Raum","Ostdeutschland","","","",""
"Nein","1985","Laendlicher Raum","Westdeutschland","2144","0.89277409899202","0.880283336716422","0.905264861267619"
"Nein","1985","Laendlicher Raum","Ostdeutschland","","","",""
"Ja","1986","Staedtischer Raum","Westdeutschland","","","",""
"Ja","1986","Staedtischer Raum","Ostdeutschland","","","",""
"Ja","1986","Laendlicher Raum","Westdeutschland","","","",""
"Ja","1986","Laendlicher Raum","Ostdeutschland","","","",""
"Nein","1986","Staedtischer Raum","Westdeutschland","386","0.98873864022962","0.978279502490494","0.999197777968747"
"Nein","1986","Staedtischer Raum","Ostdeutschland","","","",""
"Nein","1986","Laendlicher Raum","Westdeutschland","83","0.972309990321926","0.937631291560506","1.00698868908335"
"Nein","1986","Laendlicher Raum","Ostdeutschland","","","",""
"Ja","1987","Staedtischer Raum","Westdeutschland","780","0.123031249190725","0.115908241406241","0.130154256975209"
"Ja","1987","Staedtischer Raum","Ostdeutschland","","","",""
"Ja","1987","Laendlicher Raum","Westdeutschland","199","0.108651681288891","0.0956975827950549","0.121605779782727"
"Ja","1987","Laendlicher Raum","Ostdeutschland","","","",""
"Nein","1987","Staedtischer Raum","Westdeutschland","7389","0.876968750809275","0.869845743024791","0.884091758593759"
"Nein","1987","Staedtischer Raum","Ostdeutschland","","","",""
"Nein","1987","Laendlicher Raum","Westdeutschland","2018","0.891348318711109","0.878394220217272","0.904302417204945"
"Nein","1987","Laendlicher Raum","Ostdeutschland","","","",""
"Ja","1988","Staedtischer Raum","Westdeutschland","840","0.13785235036772","0.130223181807204","0.145481518928237"
"Ja","1988","Staedtischer Raum","Ostdeutschland","","","",""
"Ja","1988","Laendlicher Raum","Westdeutschland","198","0.114689696010735","0.100985934149029","0.12839345787244"
