"ple0040","year","sex","n","percent","lower_confidence","upper_confidence","NA"
"Ja","1984","maennlich","695","0.14896523346027","0.139893783222816","0.158036683697725",""
"Ja","1984","weiblich","464","0.0977066934352045","0.0903010016044314","0.105112385265978",""
"Nein","1984","maennlich","5223","0.85103476653973","0.841963316302275","0.860106216777184",""
"Nein","1984","weiblich","5711","0.902293306564795","0.894887614734022","0.909698998395569",""
"Ja","1985","maennlich","624","0.147328308151433","0.137864447853255","0.156792168449612",""
"Ja","1985","weiblich","405","0.0958619300361699","0.0881158640725345","0.103607995999805",""
"Nein","1985","maennlich","4764","0.852671691848567","0.843207831550388","0.862135552146745",""
"Nein","1985","weiblich","5144","0.90413806996383","0.896392004000194","0.911884135927465",""
"Ja","1986","maennlich","4","","","",""
"Ja","1986","weiblich","4","","","",""
"Nein","1986","maennlich","241","0.983827360444867","0.968032530637889","0.999622190251846",""
"Nein","1986","weiblich","228","0.986678478847772","0.971925869725292","1.00143108797025",""
"Ja","1987","maennlich","584","0.143049091479235","0.133479297713651","0.15261888524482",""
"Ja","1987","weiblich","395","0.0984188390653753","0.090356551535414","0.106481126595337",""
"Nein","1987","maennlich","4558","0.856950908520765","0.84738111475518","0.866520702286349",""
"Nein","1987","weiblich","4849","0.901581160934625","0.893518873404663","0.909643448464586",""
"Ja","1988","maennlich","620","0.15579832717296","0.145660458681461","0.16593619566446",""
"Ja","1988","weiblich","418","0.110926905630269","0.102226625563213","0.119627185697326",""
"Nein","1988","maennlich","4296","0.84420167282704","0.83406380433554","0.854339541318539",""
"Nein","1988","weiblich","4587","0.889073094369731","0.880372814302674","0.897773374436787",""
"Ja","1989","maennlich","600","0.160152606935486","0.149720790620536","0.170584423250435",""
"Ja","1989","weiblich","419","0.114546437221345","0.105598236313472","0.123494638129219",""
"Nein","1989","maennlich","4148","0.839847393064514","0.829415576749565","0.850279209379464",""
"Nein","1989","weiblich","4447","0.885453562778655","0.876505361870782","0.894401763686529",""
"Ja","1990","maennlich","","","","",""
"Ja","1990","weiblich","","","","",""
"Nein","1990","maennlich","","","","",""
"Nein","1990","weiblich","","","","",""
"Ja","1991","maennlich","622","0.167661388111191","0.156875438042498","0.178447338179883",""
"Ja","1991","weiblich","414","0.115743516318102","0.106641833713747","0.124845198922456",""
"Nein","1991","maennlich","3986","0.832338611888809","0.821552661820117","0.843124561957501",""
"Nein","1991","weiblich","4332","0.884256483681898","0.875154801077544","0.893358166286253",""
"Ja","1992","maennlich","795","0.156990929989679","0.148069816957474","0.165912043021884",""
"Ja","1992","weiblich","567","0.112807896136961","0.105259210846339","0.120356581427584",""
"Nein","1992","maennlich","5593","0.843009070010321","0.834087956978116","0.851930183042526",""
"Nein","1992","weiblich","6180","0.887192103863039","0.879643418572416","0.894740789153661",""
"Ja","1993","maennlich","","","","",""
