year,pgisced97,sex,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No answer / don't know,male,At least once per week,0.67780,31,31,0.51058,0.84503
1985,No answer / don't know,female,At least once per week,0.50565,31,31,0.32674,0.68456
1985,Pre-primary Level,male,At least once per week,0.79218,88,88,0.70692,0.87744
1985,Pre-primary Level,female,At least once per week,0.76026,56,56,0.64743,0.87309
1985,Primary Level,male,At least once per week,0.49778,171,322,0.44308,0.55248
1985,Primary Level,male,At least once per month,0.20107,94,322,0.15723,0.24492
1985,Primary Level,male,Seldom,0.25298,57,322,0.20542,0.30054
1985,Primary Level,female,At least once per week,0.44178,248,486,0.39759,0.48598
1985,Primary Level,female,At least once per month,0.22217,120,486,0.18517,0.25917
1985,Primary Level,female,Seldom,0.24389,87,486,0.20567,0.28211
1985,Primary Level,female,Never,0.09216,31,486,0.06641,0.11790
1985,Lower Secondary Level,male,At least once per week,0.49378,562,1019,0.46307,0.52450
1985,Lower Secondary Level,male,At least once per month,0.25045,245,1019,0.22383,0.27706
1985,Lower Secondary Level,male,Seldom,0.21729,179,1019,0.19196,0.24263
1985,Lower Secondary Level,male,Never,0.03848,33,1019,0.02666,0.05029
1985,Lower Secondary Level,female,At least once per week,0.40275,854,2014,0.38133,0.42418
1985,Lower Secondary Level,female,At least once per month,0.30847,623,2014,0.28829,0.32864
1985,Lower Secondary Level,female,Seldom,0.21930,418,2014,0.20123,0.23738
1985,Lower Secondary Level,female,Never,0.06948,119,2014,0.05837,0.08059
1985,Upper Secondary Level,male,At least once per week,0.42621,1303,2821,0.40795,0.44446
1985,Upper Secondary Level,male,At least once per month,0.31905,874,2821,0.30184,0.33625
1985,Upper Secondary Level,male,Seldom,0.21752,554,2821,0.20229,0.23275
1985,Upper Secondary Level,male,Never,0.03722,90,2821,0.03024,0.04421
1985,Upper Secondary Level,female,At least once per week,0.45095,1074,2325,0.43072,0.47119
1985,Upper Secondary Level,female,At least once per month,0.33469,776,2325,0.31550,0.35387
1985,Upper Secondary Level,female,Seldom,0.18024,400,2325,0.16461,0.19587
1985,Upper Secondary Level,female,Never,0.03412,75,2325,0.02674,0.04150
1985,Post-secondary Non-tertiary Level,male,At least once per week,0.65967,109,142,0.58146,0.73788
1985,Post-secondary Non-tertiary Level,male,At least once per month,0.19509,33,142,0.12968,0.26050
1985,Post-secondary Non-tertiary Level,female,At least once per week,0.59200,60,60,0.46659,0.71741
1985,First Stage of Tertiary Education,male,At least once per week,0.38399,139,347,0.33274,0.43524
1985,First Stage of Tertiary Education,male,At least once per month,0.35578,128,347,0.30534,0.40623
1985,First Stage of Tertiary Education,male,Seldom,0.23178,80,347,0.18732,0.27625
