year,bula_h,migback,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,No migration background,At least once per week,0.38045,114,299,0.32533,0.43557
1985,Schleswig-Holstein,No migration background,At least once per month,0.33242,106,299,0.27893,0.38591
1985,Schleswig-Holstein,No migration background,Seldom,0.25030,79,299,0.20112,0.29949
1985,Hamburg,No migration background,At least once per week,0.50367,105,165,0.42714,0.58019
1985,Hamburg,No migration background,At least once per month,0.29002,60,165,0.22057,0.35947
1985,Hamburg,Direct migration background,At least once per week,0.68442,41,41,0.54039,0.82844
1985,Lower Saxony,No migration background,At least once per week,0.39875,377,935,0.36735,0.43016
1985,Lower Saxony,No migration background,At least once per month,0.34752,331,935,0.31698,0.37806
1985,Lower Saxony,No migration background,Seldom,0.21084,194,935,0.18468,0.23700
1985,Lower Saxony,No migration background,Never,0.04289,33,935,0.02990,0.05588
1985,Lower Saxony,Direct migration background,At least once per week,0.37194,74,120,0.28510,0.45878
1985,Lower Saxony,Direct migration background,At least once per month,0.32917,46,120,0.24474,0.41360
1985,Bremen,No migration background,At least once per week,0.43034,36,36,0.26630,0.59437
1985,North Rhine-Westphalia,No migration background,At least once per week,0.49294,1031,2107,0.47159,0.51429
1985,North Rhine-Westphalia,No migration background,At least once per month,0.31679,685,2107,0.29692,0.33666
1985,North Rhine-Westphalia,No migration background,Seldom,0.16628,346,2107,0.15038,0.18218
1985,North Rhine-Westphalia,No migration background,Never,0.02399,45,2107,0.01745,0.03052
1985,North Rhine-Westphalia,Direct migration background,At least once per week,0.48403,416,775,0.44882,0.51923
1985,North Rhine-Westphalia,Direct migration background,At least once per month,0.32077,235,775,0.28788,0.35365
1985,North Rhine-Westphalia,Direct migration background,Seldom,0.18014,124,775,0.15307,0.20722
1985,Hesse,No migration background,At least once per week,0.42608,306,696,0.38931,0.46284
1985,Hesse,No migration background,At least once per month,0.31890,224,696,0.28425,0.35355
1985,Hesse,No migration background,Seldom,0.20671,135,696,0.17660,0.23682
1985,Hesse,No migration background,Never,0.04831,31,696,0.03237,0.06426
1985,Hesse,Direct migration background,At least once per week,0.52326,234,384,0.47324,0.57328
1985,Hesse,Direct migration background,At least once per month,0.23596,87,384,0.19343,0.27848
1985,Hesse,Direct migration background,Seldom,0.16779,63,384,0.13037,0.20521
1985,"Rhineland-Palatinate, Saarland",No migration background,At least once per week,0.38510,239,625,0.34692,0.42328
1985,"Rhineland-Palatinate, Saarland",No migration background,At least once per month,0.35048,221,625,0.31305,0.38792
1985,"Rhineland-Palatinate, Saarland",No migration background,Seldom,0.19153,124,625,0.16065,0.22240
1985,"Rhineland-Palatinate, Saarland",No migration background,Never,0.07289,41,625,0.05249,0.09329
1985,"Rhineland-Palatinate, Saarland",Direct migration background,At least once per week,0.66359,82,113,0.57609,0.75110
1985,"Rhineland-Palatinate, Saarland",Direct migration background,At least once per month,0.19616,31,113,0.12262,0.26970
1985,Baden-Wuerttemberg,No migration background,At least once per week,0.41302,509,1216,0.38533,0.44071
1985,Baden-Wuerttemberg,No migration background,At least once per month,0.29049,362,1216,0.26497,0.31602
1985,Baden-Wuerttemberg,No migration background,Seldom,0.24449,290,1216,0.22032,0.26866
1985,Baden-Wuerttemberg,No migration background,Never,0.05199,55,1216,0.03951,0.06448
1985,Baden-Wuerttemberg,Direct migration background,At least once per week,0.56005,492,763,0.52480,0.59529
1985,Baden-Wuerttemberg,Direct migration background,At least once per month,0.27757,186,763,0.24577,0.30937
1985,Baden-Wuerttemberg,Direct migration background,Seldom,0.13591,85,763,0.11157,0.16024
1985,Bavaria,No migration background,At least once per week,0.46192,694,1475,0.43646,0.48737
1985,Bavaria,No migration background,At least once per month,0.27090,401,1475,0.24821,0.29359
1985,Bavaria,No migration background,Seldom,0.22373,324,1475,0.20245,0.24500
1985,Bavaria,No migration background,Never,0.04346,56,1475,0.03305,0.05386
1985,Bavaria,Direct migration background,At least once per week,0.47649,209,360,0.42482,0.52815
1985,Bavaria,Direct migration background,At least once per month,0.29245,101,360,0.24539,0.33951
1985,Bavaria,Direct migration background,Seldom,0.18611,50,360,0.14585,0.22637
1985,Berlin,No migration background,At least once per week,0.39802,104,249,0.33709,0.45894
1985,Berlin,No migration background,At least once per month,0.37201,96,249,0.31185,0.43216
1985,Berlin,No migration background,Seldom,0.18904,49,249,0.14031,0.23777
1985,Berlin,Direct migration background,At least once per week,0.38560,40,75,0.27470,0.49650
1985,Berlin,Direct migration background,At least once per month,0.43489,35,75,0.32194,0.54784
1986,Schleswig-Holstein,No migration background,At least once per week,0.35486,99,271,0.29778,0.41193
1986,Schleswig-Holstein,No migration background,At least once per month,0.27570,81,271,0.22239,0.32900
1986,Schleswig-Holstein,No migration background,Seldom,0.32725,91,271,0.27128,0.38321
1986,Hamburg,No migration background,At least once per week,0.50845,96,174,0.43395,0.58295
1986,Hamburg,No migration background,At least once per month,0.25593,47,174,0.19090,0.32095
1986,Hamburg,No migration background,Seldom,0.17349,31,174,0.11706,0.22992
1986,Hamburg,Direct migration background,At least once per week,0.66139,50,50,0.52889,0.79390
1986,Lower Saxony,No migration background,At least once per week,0.38614,355,920,0.35466,0.41761
1986,Lower Saxony,No migration background,At least once per month,0.37039,348,920,0.33917,0.40161
1986,Lower Saxony,No migration background,Seldom,0.19480,181,920,0.16919,0.22041
1986,Lower Saxony,No migration background,Never,0.04867,36,920,0.03476,0.06259
1986,Lower Saxony,Direct migration background,At least once per week,0.35353,83,135,0.27259,0.43448
1986,Lower Saxony,Direct migration background,At least once per month,0.40271,52,135,0.31967,0.48575
1986,North Rhine-Westphalia,No migration background,At least once per week,0.43662,903,2036,0.41507,0.45817
1986,North Rhine-Westphalia,No migration background,At least once per month,0.33633,700,2036,0.31580,0.35686
