year,migback,sex,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,male,At least once per week,0.43944,1683,3780,0.42361,0.45526
1985,No migration background,male,At least once per month,0.31058,1190,3780,0.29583,0.32533
1985,No migration background,male,Seldom,0.21533,791,3780,0.20222,0.22843
1985,No migration background,male,Never,0.03466,116,3780,0.02882,0.04049
1985,No migration background,female,At least once per week,0.44371,1832,4136,0.42856,0.45885
1985,No migration background,female,At least once per month,0.31427,1325,4136,0.30012,0.32842
1985,No migration background,female,Seldom,0.19357,800,4136,0.18152,0.20561
1985,No migration background,female,Never,0.04845,179,4136,0.04191,0.05500
1985,Direct migration background,male,At least once per week,0.53844,898,1529,0.51344,0.56344
1985,Direct migration background,male,At least once per month,0.27785,383,1529,0.25539,0.30031
1985,Direct migration background,male,Seldom,0.15393,198,1529,0.13583,0.17202
1985,Direct migration background,male,Never,0.02978,50,1529,0.02126,0.03830
1985,Direct migration background,female,At least once per week,0.46385,713,1353,0.43726,0.49043
1985,Direct migration background,female,At least once per month,0.31860,385,1353,0.29376,0.34343
1985,Direct migration background,female,Seldom,0.17762,196,1353,0.15725,0.19799
1985,Direct migration background,female,Never,0.03994,59,1353,0.02950,0.05037
1985,Indirect migration background,male,At least once per week,0.57450,44,44,0.42672,0.72228
1985,Indirect migration background,female,At least once per week,0.66270,51,51,0.53165,0.79375
1986,No migration background,male,At least once per week,0.39884,1477,3632,0.38292,0.41477
1986,No migration background,male,At least once per month,0.34269,1257,3632,0.32725,0.35813
1986,No migration background,male,Seldom,0.21252,751,3632,0.19921,0.22583
1986,No migration background,male,Never,0.04594,147,3632,0.03913,0.05275
1986,No migration background,female,At least once per week,0.40390,1603,3946,0.38859,0.41921
1986,No migration background,female,At least once per month,0.33528,1355,3946,0.32055,0.35001
1986,No migration background,female,Seldom,0.21773,839,3946,0.20485,0.23061
1986,No migration background,female,Never,0.04309,149,3946,0.03675,0.04943
1986,Direct migration background,male,At least once per week,0.51568,874,1509,0.49046,0.54091
1986,Direct migration background,male,At least once per month,0.30712,408,1509,0.28384,0.33040
1986,Direct migration background,male,Seldom,0.13421,173,1509,0.11701,0.15142
1986,Direct migration background,male,Never,0.04299,54,1509,0.03275,0.05322
1986,Direct migration background,female,At least once per week,0.42880,681,1308,0.40197,0.45563
1986,Direct migration background,female,At least once per month,0.36716,406,1308,0.34103,0.39330
1986,Direct migration background,female,Seldom,0.16844,175,1308,0.14815,0.18874
1986,Direct migration background,female,Never,0.03559,46,1308,0.02554,0.04563
1986,Indirect migration background,male,At least once per week,0.59718,54,54,0.46514,0.72923
1986,Indirect migration background,female,At least once per week,0.48226,45,45,0.33461,0.62991
1988,No migration background,male,At least once per week,0.42233,1480,3399,0.40573,0.43894
1988,No migration background,male,At least once per month,0.33945,1145,3399,0.32353,0.35538
1988,No migration background,male,Seldom,0.20257,667,3399,0.18906,0.21608
1988,No migration background,male,Never,0.03564,107,3399,0.02941,0.04188
1988,No migration background,female,At least once per week,0.42281,1557,3644,0.40677,0.43885
1988,No migration background,female,At least once per month,0.33498,1254,3644,0.31966,0.35031
1988,No migration background,female,Seldom,0.19230,679,3644,0.17951,0.20510
1988,No migration background,female,Never,0.04990,154,3644,0.04283,0.05697
1988,Direct migration background,male,At least once per week,0.50147,857,1399,0.47526,0.52768
1988,Direct migration background,male,At least once per month,0.30294,353,1399,0.27885,0.32702
1988,Direct migration background,male,Seldom,0.15805,150,1399,0.13892,0.17717
1988,Direct migration background,male,Never,0.03755,39,1399,0.02758,0.04751
1988,Direct migration background,female,At least once per week,0.46369,716,1255,0.43609,0.49129
1988,Direct migration background,female,At least once per month,0.29629,332,1255,0.27102,0.32156
1988,Direct migration background,female,Seldom,0.20143,165,1255,0.17923,0.22363
1988,Direct migration background,female,Never,0.03859,42,1255,0.02793,0.04925
1988,Indirect migration background,male,At least once per week,0.70578,77,77,0.60333,0.80823
1988,Indirect migration background,female,At least once per week,0.66967,77,77,0.56392,0.77541
1990,No migration background,male,At least once per week,0.29830,593,2026,0.27837,0.31823
1990,No migration background,male,At least once per month,0.35726,741,2026,0.33639,0.37813
1990,No migration background,male,Seldom,0.29950,612,2026,0.27955,0.31945
1990,No migration background,male,Never,0.04494,80,2026,0.03591,0.05396
1990,No migration background,female,At least once per week,0.28485,625,2222,0.26608,0.30362
1990,No migration background,female,At least once per month,0.34953,828,2222,0.32969,0.36936
1990,No migration background,female,Seldom,0.31071,668,2222,0.29147,0.32996
1990,No migration background,female,Never,0.05491,101,2222,0.04544,0.06438
1992,No migration background,male,At least once per week,0.36762,1687,4902,0.35412,0.38112
1992,No migration background,male,At least once per month,0.36100,1831,4902,0.34756,0.37445
1992,No migration background,male,Seldom,0.23379,1227,4902,0.22194,0.24564
1992,No migration background,male,Never,0.03758,157,4902,0.03226,0.04291
1992,No migration background,female,At least once per week,0.37493,1877,5388,0.36201,0.38786
1992,No migration background,female,At least once per month,0.37722,2095,5388,0.36427,0.39016
1992,No migration background,female,Seldom,0.20286,1217,5388,0.19212,0.21359
1992,No migration background,female,Never,0.04499,199,5388,0.03946,0.05053
1992,Direct migration background,male,At least once per week,0.50332,763,1311,0.47625,0.53040
1992,Direct migration background,male,At least once per month,0.32224,364,1311,0.29693,0.34754
1992,Direct migration background,male,Seldom,0.13893,143,1311,0.12020,0.15766
1992,Direct migration background,male,Never,0.03551,41,1311,0.02549,0.04553
1992,Direct migration background,female,At least once per week,0.48474,688,1217,0.45665,0.51283
1992,Direct migration background,female,At least once per month,0.30872,325,1217,0.28276,0.33469
1992,Direct migration background,female,Seldom,0.16974,156,1217,0.14864,0.19084
1992,Direct migration background,female,Never,0.03679,48,1217,0.02621,0.04738
1992,Indirect migration background,male,At least once per week,0.75933,156,156,0.69203,0.82663
1992,Indirect migration background,female,At least once per week,0.62107,133,177,0.54939,0.69274
1992,Indirect migration background,female,At least once per month,0.22379,44,177,0.16222,0.28537
1994,No migration background,male,At least once per week,0.35067,1567,4740,0.33709,0.36426
1994,No migration background,male,At least once per month,0.36191,1766,4740,0.34823,0.37560
1994,No migration background,male,Seldom,0.25520,1267,4740,0.24279,0.26761
1994,No migration background,male,Never,0.03221,140,4740,0.02719,0.03724
1994,No migration background,female,At least once per week,0.35812,1748,5234,0.34513,0.37112
1994,No migration background,female,At least once per month,0.36438,1988,5234,0.35134,0.37742
1994,No migration background,female,Seldom,0.23736,1315,5234,0.22583,0.24888
1994,No migration background,female,Never,0.04014,183,5234,0.03482,0.04546
1994,Direct migration background,male,At least once per week,0.46773,661,1198,0.43946,0.49599
1994,Direct migration background,male,At least once per month,0.30782,335,1198,0.28167,0.33397
1994,Direct migration background,male,Seldom,0.19562,171,1198,0.17314,0.21809
1994,Direct migration background,male,Never,0.02883,31,1198,0.01935,0.03831
1994,Direct migration background,female,At least once per week,0.43871,596,1146,0.40996,0.46745
1994,Direct migration background,female,At least once per month,0.31425,330,1146,0.28736,0.34114
1994,Direct migration background,female,Seldom,0.19994,176,1146,0.17677,0.22311
1994,Direct migration background,female,Never,0.04711,44,1146,0.03484,0.05938
1994,Indirect migration background,male,At least once per week,0.73110,187,223,0.67277,0.78943
1994,Indirect migration background,male,At least once per month,0.16275,36,223,0.11419,0.21131
1994,Indirect migration background,female,At least once per week,0.66946,160,217,0.60672,0.73219
1994,Indirect migration background,female,At least once per month,0.19051,57,217,0.13814,0.24289
1996,No migration background,male,At least once per week,0.38468,1759,4707,0.37078,0.39858
1996,No migration background,male,At least once per month,0.36699,1799,4707,0.35322,0.38076
1996,No migration background,male,Seldom,0.22909,1065,4707,0.21708,0.24109
1996,No migration background,male,Never,0.01924,84,4707,0.01532,0.02317
1996,No migration background,female,At least once per week,0.40438,2024,5169,0.39100,0.41776
1996,No migration background,female,At least once per month,0.37300,1961,5169,0.35981,0.38618
1996,No migration background,female,Seldom,0.19571,1079,5169,0.18489,0.20652
1996,No migration background,female,Never,0.02691,105,5169,0.02250,0.03132
1996,Direct migration background,male,At least once per week,0.50190,754,1305,0.47476,0.52904
1996,Direct migration background,male,At least once per month,0.31755,378,1305,0.29228,0.34282
1996,Direct migration background,male,Seldom,0.14666,139,1305,0.12746,0.16586
1996,Direct migration background,male,Never,0.03389,34,1305,0.02407,0.04371
1996,Direct migration background,female,At least once per week,0.53080,727,1285,0.50350,0.55810
1996,Direct migration background,female,At least once per month,0.29375,366,1285,0.26884,0.31867
1996,Direct migration background,female,Seldom,0.14069,152,1285,0.12167,0.15971
1996,Direct migration background,female,Never,0.03476,40,1285,0.02474,0.04478
1996,Indirect migration background,male,At least once per week,0.76736,191,236,0.71334,0.82138
1996,Indirect migration background,male,At least once per month,0.13838,45,236,0.09423,0.18253
1996,Indirect migration background,female,At least once per week,0.67389,186,247,0.61531,0.73247
1996,Indirect migration background,female,At least once per month,0.20262,61,247,0.15239,0.25284
1997,No migration background,male,At least once per week,0.41417,1870,4654,0.40002,0.42833
1997,No migration background,male,At least once per month,0.34317,1716,4654,0.32953,0.35681
1997,No migration background,male,Seldom,0.21944,971,4654,0.20755,0.23133
1997,No migration background,male,Never,0.02321,97,4654,0.01889,0.02754
1997,No migration background,female,At least once per week,0.42579,2088,5089,0.41220,0.43937
1997,No migration background,female,At least once per month,0.35114,1894,5089,0.33803,0.36426
1997,No migration background,female,Seldom,0.19591,1001,5089,0.18501,0.20682
1997,No migration background,female,Never,0.02716,106,5089,0.02269,0.03162
1997,Direct migration background,male,At least once per week,0.50157,718,1239,0.47372,0.52942
1997,Direct migration background,male,At least once per month,0.30439,341,1239,0.27876,0.33002
1997,Direct migration background,male,Seldom,0.16013,146,1239,0.13970,0.18056
1997,Direct migration background,male,Never,0.03391,34,1239,0.02383,0.04399
1997,Direct migration background,female,At least once per week,0.49094,671,1217,0.46284,0.51904
1997,Direct migration background,female,At least once per month,0.31523,359,1217,0.28912,0.34135
1997,Direct migration background,female,Seldom,0.16132,145,1217,0.14065,0.18200
1997,Direct migration background,female,Never,0.03250,42,1217,0.02254,0.04247
1997,Indirect migration background,male,At least once per week,0.72983,214,268,0.67657,0.78309
1997,Indirect migration background,male,At least once per month,0.19009,54,268,0.14303,0.23716
1997,Indirect migration background,female,At least once per week,0.64847,189,272,0.59163,0.70532
1997,Indirect migration background,female,At least once per month,0.19800,51,272,0.15055,0.24544
1997,Indirect migration background,female,Seldom,0.14274,32,272,0.10109,0.18439
1999,No migration background,male,At least once per week,0.38247,1964,5179,0.36923,0.39570
1999,No migration background,male,At least once per month,0.35808,1920,5179,0.34502,0.37114
1999,No migration background,male,Seldom,0.23591,1189,5179,0.22435,0.24748
1999,No migration background,male,Never,0.02354,106,5179,0.01941,0.02767
1999,No migration background,female,At least once per week,0.39351,2181,5643,0.38077,0.40626
1999,No migration background,female,At least once per month,0.35893,2100,5643,0.34641,0.37145
1999,No migration background,female,Seldom,0.21846,1236,5643,0.20767,0.22924
1999,No migration background,female,Never,0.02910,126,5643,0.02471,0.03349
1999,Direct migration background,male,At least once per week,0.42766,545,1078,0.39811,0.45721
1999,Direct migration background,male,At least once per month,0.37335,372,1078,0.34446,0.40223
1999,Direct migration background,male,Seldom,0.16704,161,1078,0.14477,0.18932
1999,Direct migration background,female,At least once per week,0.44847,524,1065,0.41858,0.47835
1999,Direct migration background,female,At least once per month,0.34448,366,1065,0.31593,0.37303
1999,Direct migration background,female,Seldom,0.17715,175,1065,0.15421,0.20009
1999,Indirect migration background,male,At least once per week,0.73323,211,277,0.68105,0.78541
1999,Indirect migration background,male,At least once per month,0.18663,66,277,0.14066,0.23259
1999,Indirect migration background,female,At least once per week,0.62552,195,269,0.56758,0.68347
1999,Indirect migration background,female,At least once per month,0.27295,74,269,0.21962,0.32629
2001,No migration background,male,At least once per week,0.41350,3525,8683,0.40314,0.42386
2001,No migration background,male,At least once per month,0.35396,3195,8683,0.34390,0.36401
2001,No migration background,male,Seldom,0.20044,1706,8683,0.19202,0.20886
2001,No migration background,male,Never,0.03210,257,8683,0.02839,0.03580
2001,No migration background,female,At least once per week,0.42617,4006,9464,0.41621,0.43614
2001,No migration background,female,At least once per month,0.35230,3423,9464,0.34268,0.36193
2001,No migration background,female,Seldom,0.18696,1745,9464,0.17910,0.19481
2001,No migration background,female,Never,0.03457,290,9464,0.03089,0.03825
2001,Direct migration background,male,At least once per week,0.49732,757,1422,0.47132,0.52332
2001,Direct migration background,male,At least once per month,0.28604,399,1422,0.26255,0.30954
2001,Direct migration background,male,Seldom,0.17231,205,1422,0.15267,0.19194
2001,Direct migration background,male,Never,0.04433,61,1422,0.03363,0.05503
2001,Direct migration background,female,At least once per week,0.46579,743,1479,0.44036,0.49122
2001,Direct migration background,female,At least once per month,0.31935,454,1479,0.29558,0.34312
2001,Direct migration background,female,Seldom,0.16854,221,1479,0.14945,0.18762
2001,Direct migration background,female,Never,0.04632,61,1479,0.03561,0.05704
2001,Indirect migration background,male,At least once per week,0.66760,254,341,0.61753,0.71768
