,Unnamed: 0,year,age_gr,quintil_oecd,pli0094_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,17-29 y.,1st Quintile,At least once per week,0.68384,501,10628,0.64735,0.73012
1,1,1985,17-29 y.,1st Quintile,At least once per month,0.1976,152,10628,0.17571,0.21954
2,2,1985,17-29 y.,1st Quintile,Seldom,0.11856,93,10628,0.10017,0.13538
3,3,1985,17-29 y.,2nd Quintile,At least once per week,0.65079,378,10628,0.60456,0.6915
4,4,1985,17-29 y.,2nd Quintile,At least once per month,0.21576,124,10628,0.19662,0.23859
5,5,1985,17-29 y.,2nd Quintile,Seldom,0.13345,79,10628,0.11729,0.153
6,6,1985,17-29 y.,3rd Quintile,At least once per week,0.73922,460,10628,0.70019,0.77337
7,7,1985,17-29 y.,3rd Quintile,At least once per month,0.16692,116,10628,0.15061,0.18563
8,8,1985,17-29 y.,3rd Quintile,Seldom,0.09386,60,10628,0.08109,0.10803
9,9,1985,17-29 y.,4th Quintile,At least once per week,0.70738,436,10628,0.67092,0.74391
10,10,1985,17-29 y.,4th Quintile,At least once per month,0.2087,135,10628,0.19007,0.22406
11,11,1985,17-29 y.,4th Quintile,Seldom,0.08392,52,10628,0.07512,0.09391
12,12,1985,17-29 y.,5th Quintile,At least once per week,0.67292,328,10628,0.64111,0.70248
13,13,1985,17-29 y.,5th Quintile,At least once per month,0.23626,113,10628,0.21926,0.25243
14,14,1985,17-29 y.,5th Quintile,Seldom,0.09081,41,10628,0.08316,0.09843
15,15,1985,30-45 y.,1st Quintile,At least once per week,0.36158,285,10628,0.32863,0.39816
16,16,1985,30-45 y.,1st Quintile,At least once per month,0.32229,209,10628,0.29342,0.35222
17,17,1985,30-45 y.,1st Quintile,Seldom,0.27774,149,10628,0.25591,0.30277
18,18,1985,30-45 y.,1st Quintile,Never,0.03839,34,10628,0.02741,0.04778
19,19,1985,30-45 y.,2nd Quintile,At least once per week,0.41604,333,10628,0.38829,0.44676
20,20,1985,30-45 y.,2nd Quintile,At least once per month,0.34862,245,10628,0.32487,0.36647
21,21,1985,30-45 y.,2nd Quintile,Seldom,0.23534,143,10628,0.22017,0.25127
22,22,1985,30-45 y.,3rd Quintile,At least once per week,0.38278,271,10628,0.35111,0.41184
23,23,1985,30-45 y.,3rd Quintile,At least once per month,0.42941,241,10628,0.4077,0.45056
24,24,1985,30-45 y.,3rd Quintile,Seldom,0.18782,109,10628,0.16816,0.20502
25,25,1985,30-45 y.,4th Quintile,At least once per week,0.43175,301,10628,0.39845,0.46394
26,26,1985,30-45 y.,4th Quintile,At least once per month,0.39326,242,10628,0.37337,0.41168
27,27,1985,30-45 y.,4th Quintile,Seldom,0.17499,108,10628,0.15928,0.19099
28,28,1985,30-45 y.,5th Quintile,At least once per week,0.47833,362,10628,0.45444,0.50219
29,29,1985,30-45 y.,5th Quintile,At least once per month,0.37375,257,10628,0.35488,0.38917
30,30,1985,30-45 y.,5th Quintile,Seldom,0.14793,99,10628,0.13839,0.15658
31,31,1985,46-65 y.,1st Quintile,At least once per week,0.30433,198,10628,0.26794,0.3484
32,32,1985,46-65 y.,1st Quintile,At least once per month,0.32646,164,10628,0.29768,0.35524
33,33,1985,46-65 y.,1st Quintile,Seldom,0.29264,137,10628,0.2678,0.31738
34,34,1985,46-65 y.,1st Quintile,Never,0.07657,36,10628,0.05792,0.09014
35,35,1985,46-65 y.,2nd Quintile,At least once per week,0.34539,199,10628,0.31769,0.37235
36,36,1985,46-65 y.,2nd Quintile,At least once per month,0.36312,180,10628,0.3364,0.3863
37,37,1985,46-65 y.,2nd Quintile,Seldom,0.29149,153,10628,0.27015,0.31277
38,38,1985,46-65 y.,3rd Quintile,At least once per week,0.31495,231,10628,0.28875,0.33511
39,39,1985,46-65 y.,3rd Quintile,At least once per month,0.3695,246,10628,0.34809,0.39202
40,40,1985,46-65 y.,3rd Quintile,Seldom,0.26381,165,10628,0.24962,0.27815
41,41,1985,46-65 y.,3rd Quintile,Never,0.05174,37,10628,0.04299,0.06255
42,42,1985,46-65 y.,4th Quintile,At least once per week,0.33933,259,10628,0.31959,0.36222
43,43,1985,46-65 y.,4th Quintile,At least once per month,0.40448,265,10628,0.38303,0.42689
44,44,1985,46-65 y.,4th Quintile,Seldom,0.25619,169,10628,0.24205,0.26987
45,45,1985,46-65 y.,5th Quintile,At least once per week,0.3615,286,10628,0.34565,0.38115
46,46,1985,46-65 y.,5th Quintile,At least once per month,0.42451,319,10628,0.41058,0.43752
47,47,1985,46-65 y.,5th Quintile,Seldom,0.214,154,10628,0.20413,0.22348
48,48,1985,66 and older,1st Quintile,At least once per week,0.40829,88,10628,0.38686,0.42988
49,49,1985,66 and older,1st Quintile,At least once per month,0.24002,55,10628,0.22087,0.25569
50,50,1985,66 and older,1st Quintile,Seldom,0.35169,80,10628,0.32979,0.37693
51,51,1985,66 and older,2nd Quintile,At least once per week,0.41034,89,10628,0.38885,0.43197
52,52,1985,66 and older,2nd Quintile,At least once per month,0.31313,68,10628,0.29733,0.33002
53,53,1985,66 and older,2nd Quintile,Seldom,0.27652,67,10628,0.25646,0.29503
54,54,1985,66 and older,3rd Quintile,At least once per week,0.37878,71,10628,0.35722,0.40042
55,55,1985,66 and older,3rd Quintile,At least once per month,0.36206,70,10628,0.34114,0.38162
56,56,1985,66 and older,3rd Quintile,Seldom,0.25915,57,10628,0.24145,0.27921
57,57,1985,66 and older,4th Quintile,At least once per week,0.43794,74,10628,0.414,0.46187
