year,migback,pgisced97,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Pre-primary Level,At least once per week,0.78690,121,121,0.71363,0.86016
1985,No migration background,Primary Level,At least once per week,0.39763,33,33,0.22806,0.56720
1985,No migration background,Lower Secondary Level,At least once per week,0.41572,859,2072,0.39449,0.43694
1985,No migration background,Lower Secondary Level,At least once per month,0.29397,617,2072,0.27435,0.31359
1985,No migration background,Lower Secondary Level,Seldom,0.22577,475,2072,0.20777,0.24378
1985,No migration background,Lower Secondary Level,Never,0.06454,121,2072,0.05396,0.07512
1985,No migration background,Upper Secondary Level,At least once per week,0.43314,1821,4193,0.41814,0.44814
1985,No migration background,Upper Secondary Level,At least once per month,0.32755,1400,4193,0.31334,0.34176
1985,No migration background,Upper Secondary Level,Seldom,0.20297,836,4193,0.19080,0.21515
1985,No migration background,Upper Secondary Level,Never,0.03634,136,4193,0.03068,0.04201
1985,No migration background,Post-secondary Non-tertiary Level,At least once per week,0.64090,107,144,0.56227,0.71954
1985,No migration background,Post-secondary Non-tertiary Level,At least once per month,0.20656,37,144,0.14021,0.27292
1985,No migration background,First Stage of Tertiary Education,At least once per week,0.42104,242,550,0.37974,0.46234
1985,No migration background,First Stage of Tertiary Education,At least once per month,0.34115,190,550,0.30149,0.38081
1985,No migration background,First Stage of Tertiary Education,Seldom,0.20974,118,550,0.17568,0.24379
1985,No migration background,Second Stage of Tertiary Education,At least once per week,0.47269,308,629,0.43364,0.51173
1985,No migration background,Second Stage of Tertiary Education,At least once per month,0.36115,233,629,0.32359,0.39872
1985,No migration background,Second Stage of Tertiary Education,Seldom,0.14928,88,629,0.12140,0.17715
1985,Direct migration background,No answer / don't know,At least once per week,0.62279,35,35,0.45987,0.78571
1985,Direct migration background,Primary Level,At least once per week,0.51235,383,740,0.47631,0.54839
1985,Direct migration background,Primary Level,At least once per month,0.26117,201,740,0.22950,0.29284
1985,Direct migration background,Primary Level,Seldom,0.17578,117,740,0.14834,0.20322
1985,Direct migration background,Primary Level,Never,0.05070,39,740,0.03488,0.06652
1985,Direct migration background,Lower Secondary Level,At least once per week,0.50893,513,903,0.47630,0.54155
1985,Direct migration background,Lower Secondary Level,At least once per month,0.29362,242,903,0.26390,0.32334
1985,Direct migration background,Lower Secondary Level,Seldom,0.16094,117,903,0.13695,0.18492
1985,Direct migration background,Lower Secondary Level,Never,0.03652,31,903,0.02428,0.04876
1985,Direct migration background,Upper Secondary Level,At least once per week,0.48523,522,872,0.45203,0.51842
1985,Direct migration background,Upper Secondary Level,At least once per month,0.31930,240,872,0.28834,0.35026
