,Unnamed: 0,year,age_gr,sex,pli0094_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,17-29 y.,male,At least once per week,0.71671,1129,10896,0.69709,0.73789
1,1,1985,17-29 y.,male,At least once per month,0.17869,289,10896,0.16728,0.18898
2,2,1985,17-29 y.,male,Seldom,0.10461,162,10896,0.09617,0.11257
3,3,1985,17-29 y.,female,At least once per week,0.66897,976,10896,0.65007,0.69492
4,4,1985,17-29 y.,female,At least once per month,0.22915,352,10896,0.21693,0.24231
5,5,1985,17-29 y.,female,Seldom,0.10188,163,10896,0.09194,0.11214
6,6,1985,30-45 y.,male,At least once per week,0.40539,756,10896,0.38628,0.42375
7,7,1985,30-45 y.,male,At least once per month,0.37848,603,10896,0.36428,0.39261
8,8,1985,30-45 y.,male,Seldom,0.19495,297,10896,0.18313,0.20453
9,9,1985,30-45 y.,male,Never,0.02119,44,10896,0.01675,0.02587
10,10,1985,30-45 y.,female,At least once per week,0.42143,797,10896,0.40576,0.43751
11,11,1985,30-45 y.,female,At least once per month,0.35764,591,10896,0.3434,0.37318
12,12,1985,30-45 y.,female,Seldom,0.19537,312,10896,0.18649,0.20551
13,13,1985,30-45 y.,female,Never,0.02557,59,10896,0.01972,0.03122
14,14,1985,46-65 y.,male,At least once per week,0.31815,601,10896,0.30184,0.33534
15,15,1985,46-65 y.,male,At least once per month,0.36531,565,10896,0.35169,0.37731
16,16,1985,46-65 y.,male,Seldom,0.26887,405,10896,0.2587,0.28019
17,17,1985,46-65 y.,male,Never,0.04767,71,10896,0.04154,0.05318
18,18,1985,46-65 y.,female,At least once per week,0.33438,572,10896,0.3198,0.35024
19,19,1985,46-65 y.,female,At least once per month,0.38251,611,10896,0.37209,0.39593
20,20,1985,46-65 y.,female,Seldom,0.2351,373,10896,0.22535,0.24233
21,21,1985,46-65 y.,female,Never,0.04801,79,10896,0.04371,0.0526
22,22,1985,66 and older,male,At least once per week,0.32362,139,10896,0.3114,0.33564
23,23,1985,66 and older,male,At least once per month,0.28414,128,10896,0.27369,0.29469
24,24,1985,66 and older,male,Seldom,0.31172,130,10896,0.2979,0.32433
25,25,1985,66 and older,male,Never,0.08053,35,10896,0.07607,0.0846
26,26,1985,66 and older,female,At least once per week,0.40086,251,10896,0.39052,0.41236
27,27,1985,66 and older,female,At least once per month,0.26126,168,10896,0.24888,0.27172
28,28,1985,66 and older,female,Seldom,0.22615,158,10896,0.21428,0.23701
29,29,1985,66 and older,female,Never,0.11173,80,10896,0.10438,0.11946
30,30,1986,17-29 y.,male,At least once per week,0.70359,1117,10519,0.68088,0.72926
31,31,1986,17-29 y.,male,At least once per month,0.18664,288,10519,0.17496,0.19858
32,32,1986,17-29 y.,male,Seldom,0.09253,145,10519,0.08495,0.10084
33,33,1986,17-29 y.,male,Never,0.01725,34,10519,0.01346,0.02098
34,34,1986,17-29 y.,female,At least once per week,0.64465,925,10519,0.61885,0.66987
35,35,1986,17-29 y.,female,At least once per month,0.25663,372,10519,0.23922,0.2727
36,36,1986,17-29 y.,female,Seldom,0.09872,141,10519,0.08873,0.1071
37,37,1986,30-45 y.,male,At least once per week,0.38679,670,10519,0.36641,0.40621
38,38,1986,30-45 y.,male,At least once per month,0.40433,606,10519,0.3888,0.42079
39,39,1986,30-45 y.,male,Seldom,0.18599,264,10519,0.17533,0.19752
40,40,1986,30-45 y.,male,Never,0.02289,37,10519,0.0184,0.02699
41,41,1986,30-45 y.,female,At least once per week,0.3903,697,10519,0.37155,0.40911
42,42,1986,30-45 y.,female,At least once per month,0.38379,634,10519,0.3685,0.39892
43,43,1986,30-45 y.,female,Seldom,0.20198,314,10519,0.19016,0.21377
44,44,1986,30-45 y.,female,Never,0.02392,43,10519,0.0195,0.02872
45,45,1986,46-65 y.,male,At least once per week,0.25918,522,10519,0.24279,0.27611
46,46,1986,46-65 y.,male,At least once per month,0.40275,626,10519,0.39067,0.41609
47,47,1986,46-65 y.,male,Seldom,0.28918,411,10519,0.27773,0.30226
48,48,1986,46-65 y.,male,Never,0.04889,75,10519,0.04182,0.05708
49,49,1986,46-65 y.,female,At least once per week,0.28222,499,10519,0.26499,0.29916
50,50,1986,46-65 y.,female,At least once per month,0.39263,595,10519,0.37877,0.4062
51,51,1986,46-65 y.,female,Seldom,0.2826,414,10519,0.2741,0.29109
52,52,1986,46-65 y.,female,Never,0.04255,65,10519,0.03765,0.04896
53,53,1986,66 and older,male,At least once per week,0.23335,96,10519,0.2229,0.24401
54,54,1986,66 and older,male,At least once per month,0.35703,150,10519,0.34064,0.37274
55,55,1986,66 and older,male,Seldom,0.26771,113,10519,0.25173,0.28276
56,56,1986,66 and older,male,Never,0.14191,56,10519,0.12945,0.15169
57,57,1986,66 and older,female,At least once per week,0.35813,208,10519,0.34202,0.37143
58,58,1986,66 and older,female,At least once per month,0.29919,182,10519,0.28602,0.31248
59,59,1986,66 and older,female,Seldom,0.24876,158,10519,0.23687,0.26285
60,60,1986,66 and older,female,Never,0.09392,62,10519,0.08654,0.10111
61,61,1988,17-29 y.,male,At least once per week,0.73167,1081,9810,0.70301,0.76195
62,62,1988,17-29 y.,male,At least once per month,0.17179,253,9810,0.1584,0.18763
63,63,1988,17-29 y.,male,Seldom,0.09654,128,9810,0.08415,0.10856
64,64,1988,17-29 y.,female,At least once per week,0.66289,903,9810,0.62781,0.69536
65,65,1988,17-29 y.,female,At least once per month,0.24361,329,9810,0.22649,0.26169
66,66,1988,17-29 y.,female,Seldom,0.0935,121,9810,0.08368,0.10315
67,67,1988,30-45 y.,male,At least once per week,0.44087,662,9810,0.41662,0.46796
68,68,1988,30-45 y.,male,At least once per month,0.38345,516,9810,0.36671,0.40006
69,69,1988,30-45 y.,male,Seldom,0.17569,233,9810,0.16315,0.18777
70,70,1988,30-45 y.,female,At least once per week,0.44627,700,9810,0.421,0.47203
71,71,1988,30-45 y.,female,At least once per month,0.38647,546,9810,0.36881,0.40418
72,72,1988,30-45 y.,female,Seldom,0.16727,226,9810,0.156,0.17901
73,73,1988,46-65 y.,male,At least once per week,0.2813,567,9810,0.26505,0.29805
74,74,1988,46-65 y.,male,At least once per month,0.40978,584,9810,0.39197,0.42841
75,75,1988,46-65 y.,male,Seldom,0.2701,361,9810,0.25838,0.28338
76,76,1988,46-65 y.,male,Never,0.03882,53,9810,0.0322,0.04497
77,77,1988,46-65 y.,female,At least once per week,0.31625,539,9810,0.29665,0.33539
78,78,1988,46-65 y.,female,At least once per month,0.38136,552,9810,0.36478,0.39632
79,79,1988,46-65 y.,female,Seldom,0.25116,359,9810,0.23945,0.26261
80,80,1988,46-65 y.,female,Never,0.05124,70,9810,0.0449,0.05765
81,81,1988,66 and older,male,At least once per week,0.23995,104,9810,0.22313,0.2534
82,82,1988,66 and older,male,At least once per month,0.38348,160,9810,0.36803,0.40005
83,83,1988,66 and older,male,Seldom,0.26895,105,9810,0.25453,0.28405
84,84,1988,66 and older,male,Never,0.10762,44,9810,0.09734,0.11925
85,85,1988,66 and older,female,At least once per week,0.34838,208,9810,0.33274,0.36503
86,86,1988,66 and older,female,At least once per month,0.2944,186,9810,0.28149,0.30503
87,87,1988,66 and older,female,Seldom,0.24062,147,9810,0.22791,0.25321
88,88,1988,66 and older,female,Never,0.1166,73,9810,0.10644,0.12547
89,89,1990,17-29 y.,male,At least once per week,0.53167,295,4289,0.50562,0.55959
90,90,1990,17-29 y.,male,At least once per month,0.29633,160,4289,0.27472,0.31599
91,91,1990,17-29 y.,male,Seldom,0.172,98,4289,0.15834,0.18561
92,92,1990,17-29 y.,female,At least once per week,0.4143,238,4289,0.3912,0.43381
93,93,1990,17-29 y.,female,At least once per month,0.37558,211,4289,0.36036,0.39045
94,94,1990,17-29 y.,female,Seldom,0.21012,113,4289,0.19773,0.22371
95,95,1990,30-45 y.,male,At least once per week,0.24068,160,4289,0.22523,0.25656
96,96,1990,30-45 y.,male,At least once per month,0.44146,326,4289,0.42476,0.46131
97,97,1990,30-45 y.,male,Seldom,0.31786,231,4289,0.29851,0.34146
98,98,1990,30-45 y.,female,At least once per week,0.25101,179,4289,0.23689,0.26544
99,99,1990,30-45 y.,female,At least once per month,0.46874,350,4289,0.45247,0.487
100,100,1990,30-45 y.,female,Seldom,0.28026,221,4289,0.26693,0.29465
101,101,1990,46-65 y.,male,At least once per week,0.18859,123,4289,0.17544,0.20208
102,102,1990,46-65 y.,male,At least once per month,0.37471,243,4289,0.35652,0.3926
103,103,1990,46-65 y.,male,Seldom,0.37073,246,4289,0.35317,0.38589
104,104,1990,46-65 y.,male,Never,0.06597,42,4289,0.0589,0.07277
105,105,1990,46-65 y.,female,At least once per week,0.22216,145,4289,0.20971,0.23459
106,106,1990,46-65 y.,female,At least once per month,0.33718,235,4289,0.32573,0.35058
107,107,1990,46-65 y.,female,Seldom,0.37573,250,4289,0.35831,0.39496
108,108,1990,46-65 y.,female,Never,0.06493,46,4289,0.05865,0.07075
109,109,1990,66 and older,male,At least once per month,0.4235,39,4289,0.3671,0.48888
110,110,1990,66 and older,male,Seldom,0.5765,59,4289,0.52398,0.64017
111,111,1990,66 and older,female,At least once per week,0.28985,82,4289,0.26786,0.31001
112,112,1990,66 and older,female,At least once per month,0.20971,58,4289,0.18886,0.22852
113,113,1990,66 and older,female,Seldom,0.3781,108,4289,0.34802,0.40307
114,114,1990,66 and older,female,Never,0.12234,31,4289,0.10607,0.13906
115,115,1992,17-29 y.,male,At least once per week,0.65076,1153,13174,0.62145,0.67733
116,116,1992,17-29 y.,male,At least once per month,0.2437,427,13174,0.22871,0.26235
117,117,1992,17-29 y.,male,Seldom,0.10554,194,13174,0.09699,0.11554
118,118,1992,17-29 y.,female,At least once per week,0.62791,1075,13174,0.59724,0.65787
119,119,1992,17-29 y.,female,At least once per month,0.27756,493,13174,0.25893,0.29574
120,120,1992,17-29 y.,female,Seldom,0.09453,177,13174,0.08481,0.10457
121,121,1992,30-45 y.,male,At least once per week,0.37153,702,13174,0.35298,0.39285
122,122,1992,30-45 y.,male,At least once per month,0.40118,839,13174,0.38156,0.41871
123,123,1992,30-45 y.,male,Seldom,0.21041,468,13174,0.19646,0.22525
124,124,1992,30-45 y.,male,Never,0.01688,41,13174,0.01274,0.02173
125,125,1992,30-45 y.,female,At least once per week,0.37475,772,13174,0.3571,0.39424
126,126,1992,30-45 y.,female,At least once per month,0.4197,900,13174,0.40251,0.44128
127,127,1992,30-45 y.,female,Seldom,0.18735,465,13174,0.17564,0.20141
128,128,1992,30-45 y.,female,Never,0.01819,50,13174,0.01504,0.02202
129,129,1992,46-65 y.,male,At least once per week,0.26201,601,13174,0.24712,0.27531
130,130,1992,46-65 y.,male,At least once per month,0.40026,773,13174,0.3863,0.41747
131,131,1992,46-65 y.,male,Seldom,0.29575,575,13174,0.27898,0.31052
