year,age_gr,migback,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,No migration background,At least once per week,0.68873,1491,2168,0.66924,0.70823
1985,17-29 y.,No migration background,At least once per month,0.19989,451,2168,0.18305,0.21673
1985,17-29 y.,No migration background,Seldom,0.10185,226,2168,0.08911,0.11458
1985,17-29 y.,Direct migration background,At least once per week,0.65115,533,798,0.61806,0.68424
1985,17-29 y.,Direct migration background,At least once per month,0.22113,174,798,0.19232,0.24995
1985,17-29 y.,Direct migration background,Seldom,0.10796,91,798,0.08642,0.12951
1985,17-29 y.,Indirect migration background,At least once per week,0.72560,81,81,0.62782,0.82338
1985,30-45 y.,No migration background,At least once per week,0.39687,896,2267,0.37673,0.41701
1985,30-45 y.,No migration background,At least once per month,0.37757,861,2267,0.35761,0.39753
1985,30-45 y.,No migration background,Seldom,0.20457,462,2267,0.18796,0.22117
1985,30-45 y.,No migration background,Never,0.02100,48,2267,0.01509,0.02690
1985,30-45 y.,Direct migration background,At least once per week,0.51294,647,1176,0.48436,0.54152
1985,30-45 y.,Direct migration background,At least once per month,0.31283,332,1176,0.28632,0.33934
1985,30-45 y.,Direct migration background,Seldom,0.13543,142,1176,0.11586,0.15500
1985,30-45 y.,Direct migration background,Never,0.03880,55,1176,0.02776,0.04984
1985,46-65 y.,No migration background,At least once per week,0.31704,751,2411,0.29846,0.33561
1985,46-65 y.,No migration background,At least once per month,0.37846,918,2411,0.35909,0.39782
1985,46-65 y.,No migration background,Seldom,0.25633,631,2411,0.23890,0.27376
1985,46-65 y.,No migration background,Never,0.04818,111,2411,0.03963,0.05673
1985,46-65 y.,Direct migration background,At least once per week,0.41359,419,855,0.38056,0.44662
1985,46-65 y.,Direct migration background,At least once per month,0.33326,252,855,0.30164,0.36488
1985,46-65 y.,Direct migration background,Seldom,0.20695,146,855,0.17978,0.23412
1985,46-65 y.,Direct migration background,Never,0.04620,38,855,0.03212,0.06028
1985,66 and older,No migration background,At least once per week,0.37445,377,1049,0.34515,0.40375
1985,66 and older,No migration background,At least once per month,0.26883,285,1049,0.24198,0.29567
1985,66 and older,No migration background,Seldom,0.25292,272,1049,0.22660,0.27923
1985,66 and older,No migration background,Never,0.10381,115,1049,0.08534,0.12227
1986,17-29 y.,No migration background,At least once per week,0.67067,1414,2132,0.65071,0.69062
1986,17-29 y.,No migration background,At least once per month,0.21853,471,2132,0.20098,0.23607
1986,17-29 y.,No migration background,Seldom,0.09561,214,2132,0.08312,0.10809
1986,17-29 y.,No migration background,Never,0.01520,33,2132,0.01000,0.02039
1986,17-29 y.,Direct migration background,At least once per week,0.66316,538,772,0.62980,0.69652
1986,17-29 y.,Direct migration background,At least once per month,0.24084,172,772,0.21066,0.27103
1986,17-29 y.,Direct migration background,Seldom,0.07796,62,772,0.05903,0.09688
1986,17-29 y.,Indirect migration background,At least once per week,0.67390,90,90,0.57651,0.77130
1986,30-45 y.,No migration background,At least once per week,0.37143,786,2145,0.35098,0.39189
