year,pli0094_h,age_gr,proportion,n,lower_confidence,upper_confidence
1985,At least once per week,18-29 y.,0.37953006770211073,14443,0.37161579829233754,0.3874443371118839
1985,At least once per week,30-45 y.,0.3092393468737555,14443,0.3017016523135782,0.31677704143393276
1985,At least once per week,46-65 y.,0.23357228195937874,14443,0.22667189224795298,0.2404726716708045
1985,At least once per week,66 and older,0.07765830346475508,14443,0.07329347444346236,0.0820231324860478
1985,At least once per month,30-45 y.,0.36469150885766644,14443,0.3568412763193829,0.37254174139595
1985,At least once per month,46-65 y.,0.3591936469150886,14443,0.35136917396567463,0.36701811986450256
1985,At least once per month,18-29 y.,0.1857055589492975,14443,0.17936349593500464,0.19204762196359035
1985,At least once per month,66 and older,0.09040928527794746,14443,0.0857323981055487,0.09508617245034623
1985,Seldom,46-65 y.,0.3949238578680203,14443,0.3869514581379869,0.4028962575980537
1985,Seldom,30-45 y.,0.30913705583756346,14443,0.30160005005471285,0.31667406162041406
1985,Seldom,18-29 y.,0.14974619289340102,14443,0.1439267748905005,0.15556561089630155
1985,Seldom,66 and older,0.14619289340101524,14443,0.14043093154179098,0.1519548552602395
1985,Never,46-65 y.,0.36855036855036855,14443,0.36068271644832484,0.37641802065241226
1985,Never,66 and older,0.28255528255528256,14443,0.2752122863730712,0.2898982787374939
1985,Never,30-45 y.,0.25307125307125306,14443,0.24598056532558638,0.26016194081691973
1985,Never,18-29 y.,0.09582309582309582,14443,0.09102256603001962,0.10062362561617202
1986,At least once per week,18-29 y.,0.4087414891280474,13742,0.40052201253032566,0.4169609657257692
1986,At least once per week,30-45 y.,0.30024159894575003,13742,0.2925778619542152,0.30790533593728486
1986,At least once per week,46-65 y.,0.2242477487370964,13742,0.2172741546066106,0.23122134286758222
1986,At least once per week,66 and older,0.06676916318910608,13742,0.0625955364482279,0.07094278992998426
1986,At least once per month,30-45 y.,0.3639565600234811,13742,0.355912056172362,0.3720010638746002
1986,At least once per month,46-65 y.,0.3583798062811858,13742,0.3503622525989809,0.36639735996339073
1986,At least once per month,18-29 y.,0.18021719988259466,13742,0.1737906391053146,0.18664376065987473
1986,At least once per month,66 and older,0.09744643381273847,13742,0.09248793095811633,0.10240493666736061
1986,Seldom,46-65 y.,0.4281266216917488,13742,0.4198535429834554,0.4363997004000422
1986,Seldom,30-45 y.,0.29994810586403736,13742,0.29228650931766,0.30760970241041474
1986,Seldom,66 and older,0.14063310845874416,13742,0.13482059199182891,0.1464456249256594
