"corigin","year","migback","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Deutschland","1984","kein Migrationshintergrund","männlich","4115","1","1","1"
"Deutschland","1984","kein Migrationshintergrund","weiblich","4554","1","1","1"
"Deutschland","1984","direkter Migrationshintergrund","männlich","","","",""
"Deutschland","1984","direkter Migrationshintergrund","weiblich","","","",""
"Deutschland","1984","indirekter Migrationshintergrund","männlich","61","1","1","1"
"Deutschland","1984","indirekter Migrationshintergrund","weiblich","65","1","1","1"
"Deutschland","1984","Migrationshintergrund - n. w. differenzierbar","männlich","","","",""
"Deutschland","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Türkei","1984","kein Migrationshintergrund","männlich","","","",""
"Türkei","1984","kein Migrationshintergrund","weiblich","","","",""
"Türkei","1984","direkter Migrationshintergrund","männlich","539","0.264270726642542","0.24354037101309","0.285001082271994"
"Türkei","1984","direkter Migrationshintergrund","weiblich","483","0.230795031445175","0.209913421237702","0.251676641652647"
"Türkei","1984","indirekter Migrationshintergrund","männlich","","","",""
"Türkei","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Türkei","1984","Migrationshintergrund - n. w. differenzierbar","männlich","","","",""
"Türkei","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Ex-Jugoslawien","1984","kein Migrationshintergrund","männlich","","","",""
"Ex-Jugoslawien","1984","kein Migrationshintergrund","weiblich","","","",""
"Ex-Jugoslawien","1984","direkter Migrationshintergrund","männlich","165","0.080126165441163","0.0673625262888098","0.0928898045935161"
"Ex-Jugoslawien","1984","direkter Migrationshintergrund","weiblich","169","0.0937197726867456","0.0792761351123659","0.108163410261125"
"Ex-Jugoslawien","1984","indirekter Migrationshintergrund","männlich","","","",""
"Ex-Jugoslawien","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Ex-Jugoslawien","1984","Migrationshintergrund - n. w. differenzierbar","männlich","","","",""
"Ex-Jugoslawien","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Griechenland","1984","kein Migrationshintergrund","männlich","","","",""
"Griechenland","1984","kein Migrationshintergrund","weiblich","","","",""
"Griechenland","1984","direkter Migrationshintergrund","männlich","224","0.0632822076424733","0.0518358212969463","0.0747285939880002"
"Griechenland","1984","direkter Migrationshintergrund","weiblich","200","0.0466034936369677","0.0361568752051084","0.057050112068827"
"Griechenland","1984","indirekter Migrationshintergrund","männlich","","","",""
"Griechenland","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Griechenland","1984","Migrationshintergrund - n. w. differenzierbar","männlich","","","",""
"Griechenland","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Italien","1984","kein Migrationshintergrund","männlich","","","",""
"Italien","1984","kein Migrationshintergrund","weiblich","","","",""
"Italien","1984","direkter Migrationshintergrund","männlich","331","0.140403293145104","0.124070546564192","0.156736039726016"
"Italien","1984","direkter Migrationshintergrund","weiblich","234","0.0840044154732216","0.0702567972258667","0.0977520337205766"
"Italien","1984","indirekter Migrationshintergrund","männlich","","","",""
"Italien","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Italien","1984","Migrationshintergrund - n. w. differenzierbar","männlich","","","",""
"Italien","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Spanien","1984","kein Migrationshintergrund","männlich","","","",""
"Spanien","1984","kein Migrationshintergrund","weiblich","","","",""
"Spanien","1984","direkter Migrationshintergrund","männlich","215","0.0357677125082624","0.0270368002669144","0.0444986247496104"
"Spanien","1984","direkter Migrationshintergrund","weiblich","162","0.0265712523402076","0.0186007111131881","0.0345417935672271"
"Spanien","1984","indirekter Migrationshintergrund","männlich","","","",""
