"corigin","year","sampreg","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Deutschland","1984","Westdeutschland","männlich","4176","0.905266684580899","0.897803106712447","0.912730262449351"
"Deutschland","1984","Westdeutschland","weiblich","4619","0.9175485463057","0.910692682966238","0.924404409645162"
"Deutschland","1984","Ostdeutschland","männlich","","","",""
"Deutschland","1984","Ostdeutschland","weiblich","","","",""
"Türkei","1984","Westdeutschland","männlich","539","0.025035242103063","0.0210534572747771","0.0290170269313489"
"Türkei","1984","Westdeutschland","weiblich","483","0.0190293858480764","0.0156238233654265","0.0224349483307262"
"Türkei","1984","Ostdeutschland","männlich","","","",""
"Türkei","1984","Ostdeutschland","weiblich","","","",""
"Ex-Jugoslawien","1984","Westdeutschland","männlich","165","0.00759061730406077","0.00537858528114475","0.00980264932697679"
"Ex-Jugoslawien","1984","Westdeutschland","weiblich","169","0.00772733149792154","0.00554470836337461","0.00990995463246848"
"Ex-Jugoslawien","1984","Ostdeutschland","männlich","","","",""
"Ex-Jugoslawien","1984","Ostdeutschland","weiblich","","","",""
"Griechenland","1984","Westdeutschland","männlich","224","0.00599493333701147","0.00402752771061761","0.00796233896340533"
"Griechenland","1984","Westdeutschland","weiblich","200","0.00384252579760105","0.00230039623507969","0.00538465536012241"
"Griechenland","1984","Ostdeutschland","männlich","","","",""
"Griechenland","1984","Ostdeutschland","weiblich","","","",""
"Italien","1984","Westdeutschland","männlich","331","0.0133008694553957","0.0103811587706199","0.0162205801401714"
"Italien","1984","Westdeutschland","weiblich","234","0.00692628617250708","0.00485905318451894","0.00899351916049523"
"Italien","1984","Ostdeutschland","männlich","","","",""
"Italien","1984","Ostdeutschland","weiblich","","","",""
"Spanien","1984","Westdeutschland","männlich","215","0.00338839399086495","0.00190735206596933","0.00486943591576057"
"Spanien","1984","Westdeutschland","weiblich","162","0.00219083838192819","0.00102543202742915","0.00335624473642723"
"Spanien","1984","Ostdeutschland","männlich","","","",""
"Spanien","1984","Ostdeutschland","weiblich","","","",""
"österreich","1984","Westdeutschland","männlich","14","","",""
"österreich","1984","Westdeutschland","weiblich","21","","",""
"österreich","1984","Ostdeutschland","männlich","","","",""
"österreich","1984","Ostdeutschland","weiblich","","","",""
"Frankreich","1984","Westdeutschland","männlich","9","","",""
"Frankreich","1984","Westdeutschland","weiblich","5","","",""
"Frankreich","1984","Ostdeutschland","männlich","","","",""
"Frankreich","1984","Ostdeutschland","weiblich","","","",""
"Benelux","1984","Westdeutschland","männlich","2","","",""
"Benelux","1984","Westdeutschland","weiblich","3","","",""
"Benelux","1984","Ostdeutschland","männlich","","","",""
"Benelux","1984","Ostdeutschland","weiblich","","","",""
"Dänemark","1984","Westdeutschland","männlich","","","",""
"Dänemark","1984","Westdeutschland","weiblich","","","",""
"Dänemark","1984","Ostdeutschland","männlich","","","",""
"Dänemark","1984","Ostdeutschland","weiblich","","","",""
"Grossbritannien","1984","Westdeutschland","männlich","1","","",""
"Grossbritannien","1984","Westdeutschland","weiblich","2","","",""
"Grossbritannien","1984","Ostdeutschland","männlich","","","",""
"Grossbritannien","1984","Ostdeutschland","weiblich","","","",""
"Schweden","1984","Westdeutschland","männlich","1","","",""
"Schweden","1984","Westdeutschland","weiblich","","","",""
"Schweden","1984","Ostdeutschland","männlich","","","",""
"Schweden","1984","Ostdeutschland","weiblich","","","",""
"Norwegen","1984","Westdeutschland","männlich","","","",""
"Norwegen","1984","Westdeutschland","weiblich","","","",""
"Norwegen","1984","Ostdeutschland","männlich","","","",""
"Norwegen","1984","Ostdeutschland","weiblich","","","",""
"Finnland","1984","Westdeutschland","männlich","","","",""
"Finnland","1984","Westdeutschland","weiblich","1","","",""
"Finnland","1984","Ostdeutschland","männlich","","","",""
"Finnland","1984","Ostdeutschland","weiblich","","","",""
"USA","1984","Westdeutschland","männlich","8","","",""
"USA","1984","Westdeutschland","weiblich","9","","",""
"USA","1984","Ostdeutschland","männlich","","","",""
"USA","1984","Ostdeutschland","weiblich","","","",""
"Schweiz","1984","Westdeutschland","männlich","4","","",""
"Schweiz","1984","Westdeutschland","weiblich","7","","",""
"Schweiz","1984","Ostdeutschland","männlich","","","",""
"Schweiz","1984","Ostdeutschland","weiblich","","","",""
"Chile","1984","Westdeutschland","männlich","2","","",""
"Chile","1984","Westdeutschland","weiblich","1","","",""
"Chile","1984","Ostdeutschland","männlich","","","",""
"Chile","1984","Ostdeutschland","weiblich","","","",""
"Rumaenien","1984","Westdeutschland","männlich","4","","",""
"Rumaenien","1984","Westdeutschland","weiblich","7","","",""
"Rumaenien","1984","Ostdeutschland","männlich","","","",""
"Rumaenien","1984","Ostdeutschland","weiblich","","","",""
"Polen","1984","Westdeutschland","männlich","19","","",""
"Polen","1984","Westdeutschland","weiblich","19","","",""
"Polen","1984","Ostdeutschland","männlich","","","",""
"Polen","1984","Ostdeutschland","weiblich","","","",""
"Korea","1984","Westdeutschland","männlich","2","","",""
"Korea","1984","Westdeutschland","weiblich","3","","",""
"Korea","1984","Ostdeutschland","männlich","","","",""
"Korea","1984","Ostdeutschland","weiblich","","","",""
"Iran","1984","Westdeutschland","männlich","1","","",""
"Iran","1984","Westdeutschland","weiblich","1","","",""
"Iran","1984","Ostdeutschland","männlich","","","",""
"Iran","1984","Ostdeutschland","weiblich","","","",""
"Indonesien","1984","Westdeutschland","männlich","1","","",""
"Indonesien","1984","Westdeutschland","weiblich","1","","",""
"Indonesien","1984","Ostdeutschland","männlich","","","",""
"Indonesien","1984","Ostdeutschland","weiblich","","","",""
"Ungarn","1984","Westdeutschland","männlich","5","","",""
"Ungarn","1984","Westdeutschland","weiblich","10","","",""
"Ungarn","1984","Ostdeutschland","männlich","","","",""
"Ungarn","1984","Ostdeutschland","weiblich","","","",""
"Bolivien","1984","Westdeutschland","männlich","","","",""
"Bolivien","1984","Westdeutschland","weiblich","","","",""
"Bolivien","1984","Ostdeutschland","männlich","","","",""
"Bolivien","1984","Ostdeutschland","weiblich","","","",""
"Portugal","1984","Westdeutschland","männlich","2","","",""
"Portugal","1984","Westdeutschland","weiblich","2","","",""
"Portugal","1984","Ostdeutschland","männlich","","","",""
"Portugal","1984","Ostdeutschland","weiblich","","","",""
"Bulgarien","1984","Westdeutschland","männlich","4","","",""
"Bulgarien","1984","Westdeutschland","weiblich","5","","",""
"Bulgarien","1984","Ostdeutschland","männlich","","","",""
"Bulgarien","1984","Ostdeutschland","weiblich","","","",""
"Syrien","1984","Westdeutschland","männlich","","","",""
"Syrien","1984","Westdeutschland","weiblich","1","","",""
"Syrien","1984","Ostdeutschland","männlich","","","",""
"Syrien","1984","Ostdeutschland","weiblich","","","",""
"Tschechien","1984","Westdeutschland","männlich","15","","",""
"Tschechien","1984","Westdeutschland","weiblich","27","","",""
"Tschechien","1984","Ostdeutschland","männlich","","","",""
"Tschechien","1984","Ostdeutschland","weiblich","","","",""
"Russland","1984","Westdeutschland","männlich","2","","",""
"Russland","1984","Westdeutschland","weiblich","3","","",""
"Russland","1984","Ostdeutschland","männlich","","","",""
"Russland","1984","Ostdeutschland","weiblich","","","",""
"Mexiko","1984","Westdeutschland","männlich","1","","",""
"Mexiko","1984","Westdeutschland","weiblich","3","","",""
"Mexiko","1984","Ostdeutschland","männlich","","","",""
"Mexiko","1984","Ostdeutschland","weiblich","","","",""
"Argentinien","1984","Westdeutschland","männlich","2","","",""
"Argentinien","1984","Westdeutschland","weiblich","","","",""
"Argentinien","1984","Ostdeutschland","männlich","","","",""
