"corigin","year","migback","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Deutschland","1984","kein Migrationshintergrund","Westdeutschland","8669","1","1","1"
"Deutschland","1984","kein Migrationshintergrund","Ostdeutschland","","","",""
"Deutschland","1984","direkter Migrationshintergrund","Westdeutschland","","","",""
"Deutschland","1984","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Deutschland","1984","indirekter Migrationshintergrund","Westdeutschland","126","1","1","1"
"Deutschland","1984","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Deutschland","1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Deutschland","1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Türkei","1984","kein Migrationshintergrund","Westdeutschland","","","",""
"Türkei","1984","kein Migrationshintergrund","Ostdeutschland","","","",""
"Türkei","1984","direkter Migrationshintergrund","Westdeutschland","1022","0.247652501682998","0.232929710349544","0.262375293016452"
"Türkei","1984","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Türkei","1984","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Türkei","1984","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Türkei","1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Türkei","1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ex-Jugoslawien","1984","kein Migrationshintergrund","Westdeutschland","","","",""
"Ex-Jugoslawien","1984","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ex-Jugoslawien","1984","direkter Migrationshintergrund","Westdeutschland","334","0.0868743934282711","0.0772677712599794","0.0964810155965627"
"Ex-Jugoslawien","1984","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ex-Jugoslawien","1984","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ex-Jugoslawien","1984","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ex-Jugoslawien","1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ex-Jugoslawien","1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Griechenland","1984","kein Migrationshintergrund","Westdeutschland","","","",""
"Griechenland","1984","kein Migrationshintergrund","Ostdeutschland","","","",""
"Griechenland","1984","direkter Migrationshintergrund","Westdeutschland","424","0.0550024506502665","0.0472262775833184","0.0627786237172146"
"Griechenland","1984","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Griechenland","1984","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Griechenland","1984","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Griechenland","1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Griechenland","1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Italien","1984","kein Migrationshintergrund","Westdeutschland","","","",""
"Italien","1984","kein Migrationshintergrund","Ostdeutschland","","","",""
"Italien","1984","direkter Migrationshintergrund","Westdeutschland","565","0.112405391052519","0.101631800783232","0.123178981321805"
"Italien","1984","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Italien","1984","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Italien","1984","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Italien","1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Italien","1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Spanien","1984","kein Migrationshintergrund","Westdeutschland","","","",""
"Spanien","1984","kein Migrationshintergrund","Ostdeutschland","","","",""
"Spanien","1984","direkter Migrationshintergrund","Westdeutschland","377","0.0312023452170631","0.0252721401070488","0.0371325503270775"
"Spanien","1984","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Spanien","1984","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Spanien","1984","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Spanien","1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Spanien","1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
