"corigin","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Deutschland","1984","(noch) kein Abschluss","241","0.567525571358132","0.540385184094036","0.594665958622228"
"Deutschland","1984","Hauptschule","5522","0.924828016630553","0.918742340494416","0.930913692766689"
"Deutschland","1984","Realschule","1746","0.955597198116922","0.946265991832177","0.964928404401666"
"Deutschland","1984","(Fach-)Abitur","596","0.880545352528167","0.858856883369571","0.902233821686762"
"Deutschland","1984","AkademikerIn","669","0.919082651277509","0.899993432024908","0.93817187053011"
"Türkei","1984","(noch) kein Abschluss","363","0.18328598680223","0.162090531951712","0.204481441652749"
"Türkei","1984","Hauptschule","480","0.0162288329439573","0.0133124736148115","0.0191451922731031"
"Türkei","1984","Realschule","20","","",""
"Türkei","1984","(Fach-)Abitur","119","0.0419377138279409","0.0285332095591068","0.0553422180967751"
"Türkei","1984","AkademikerIn","15","","",""
"Ex-Jugoslawien","1984","(noch) kein Abschluss","87","0.0445604688942561","0.0332567958977288","0.0558641418907835"
"Ex-Jugoslawien","1984","Hauptschule","193","0.00730637925481263","0.00534071624767936","0.00927204226194591"
"Ex-Jugoslawien","1984","Realschule","11","","",""
"Ex-Jugoslawien","1984","(Fach-)Abitur","25","","",""
"Ex-Jugoslawien","1984","AkademikerIn","7","","",""
"Griechenland","1984","(noch) kein Abschluss","148","0.0411778842216342","0.0302924905079724","0.052063277935296"
"Griechenland","1984","Hauptschule","209","0.00357343710657015","0.00219617669900488","0.00495069751413541"
"Griechenland","1984","Realschule","7","","",""
"Griechenland","1984","(Fach-)Abitur","31","0.00569866940021401","0.000664854397546169","0.0107324844028818"
"Griechenland","1984","AkademikerIn","21","","",""
"Italien","1984","(noch) kein Abschluss","242","0.0969365439136854","0.0807279252004278","0.113145162626943"
"Italien","1984","Hauptschule","271","0.00780363945325546","0.00577269635416779","0.00983458255234313"
"Italien","1984","Realschule","8","","",""
"Italien","1984","(Fach-)Abitur","20","","",""
"Italien","1984","AkademikerIn","9","","",""
"Spanien","1984","(noch) kein Abschluss","134","0.0247966247146348","0.0162776566794935","0.033315592749776"
"Spanien","1984","Hauptschule","201","0.00225783181431609","0.00116234967538294","0.00335331395324923"
"Spanien","1984","Realschule","8","","",""
"Spanien","1984","(Fach-)Abitur","17","","",""
"Spanien","1984","AkademikerIn","11","","",""
"österreich","1984","(noch) kein Abschluss","","","",""
