"corigin","year","quintil_oecd","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Deutschland","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","1882","0.754756110553014","0.739419427805007","0.77009279330102"
"Deutschland","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","1701","0.909086519927952","0.896323339119204","0.921849700736699"
"Deutschland","1995","2","Städtischer Raum","1829","0.858742780845073","0.844965636185659","0.872519925504487"
"Deutschland","1995","2","Ländlicher Raum","1263","0.926394676787399","0.91263242058815","0.940156932986649"
"Deutschland","1995","3","Städtischer Raum","1243","0.877658211407236","0.861092170720086","0.894224252094385"
"Deutschland","1995","3","Ländlicher Raum","643","0.938082925167988","0.920152351412448","0.956013498923528"
"Deutschland","1995","4","Städtischer Raum","917","0.911852311740812","0.894833187685236","0.928871435796389"
"Deutschland","1995","4","Ländlicher Raum","379","0.936567896888061","0.912711761340466","0.960424032435656"
"Deutschland","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","526","0.915444631791922","0.892956878831906","0.937932384751939"
"Deutschland","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","120","0.906852132089877","0.857082189278157","0.956622074901597"
"Türkei","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","444","0.0711511267315708","0.0619869714878523","0.0803152819752893"
"Türkei","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","41","0.00640411018216485","0.00286269811924932","0.00994552224508037"
"Türkei","1995","2","Städtischer Raum","150","0.021452470210305","0.0157211858190996","0.0271837546015104"
"Türkei","1995","2","Ländlicher Raum","7","","",""
"Türkei","1995","3","Städtischer Raum","38","0.0153034690492716","0.00909742649112696","0.0215095116074163"
"Türkei","1995","3","Ländlicher Raum","2","","",""
"Türkei","1995","4","Städtischer Raum","18","","",""
"Türkei","1995","4","Ländlicher Raum","","","",""
"Türkei","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","5","","",""
"Türkei","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"Ex-Jugoslawien","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","46","0.0118359000441292","0.00798072414932883","0.0156910759389296"
"Ex-Jugoslawien","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","10","","",""
"Ex-Jugoslawien","1995","2","Städtischer Raum","22","","",""
"Ex-Jugoslawien","1995","2","Ländlicher Raum","4","","",""
"Ex-Jugoslawien","1995","3","Städtischer Raum","19","","",""
"Ex-Jugoslawien","1995","3","Ländlicher Raum","5","","",""
"Ex-Jugoslawien","1995","4","Städtischer Raum","6","","",""
"Ex-Jugoslawien","1995","4","Ländlicher Raum","","","",""
"Ex-Jugoslawien","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","","","",""
"Ex-Jugoslawien","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","1","","",""
"Griechenland","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","74","0.00885267340687948","0.00551352788991096","0.012191818923848"
"Griechenland","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","16","","",""
"Griechenland","1995","2","Städtischer Raum","57","0.00488867863522187","0.00212966452859356","0.00764769274185018"
"Griechenland","1995","2","Ländlicher Raum","12","","",""
"Griechenland","1995","3","Städtischer Raum","29","","",""
"Griechenland","1995","3","Ländlicher Raum","2","","",""
"Griechenland","1995","4","Städtischer Raum","24","","",""
"Griechenland","1995","4","Ländlicher Raum","2","","",""
"Griechenland","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","3","","",""
"Griechenland","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","1","","",""
"Italien","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","135","0.0177111786520822","0.0130092898914064","0.022413067412758"
"Italien","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","21","","",""
"Italien","1995","2","Städtischer Raum","73","0.0115091735073751","0.00728996747765902","0.0157283795370913"
"Italien","1995","2","Ländlicher Raum","15","","",""
"Italien","1995","3","Städtischer Raum","30","0.00684588614363669","0.0026772714054706","0.0110145008818028"
"Italien","1995","3","Ländlicher Raum","6","","",""
"Italien","1995","4","Städtischer Raum","25","","",""
"Italien","1995","4","Ländlicher Raum","4","","",""
"Italien","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","3","","",""
"Italien","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"Spanien","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","28","","",""
"Spanien","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","2","","",""
"Spanien","1995","2","Städtischer Raum","39","0.00330739498922535","0.00103624407752367","0.00557854590092704"
"Spanien","1995","2","Ländlicher Raum","2","","",""
"Spanien","1995","3","Städtischer Raum","16","","",""
"Spanien","1995","3","Ländlicher Raum","1","","",""
"Spanien","1995","4","Städtischer Raum","13","","",""
"Spanien","1995","4","Ländlicher Raum","1","","",""
"Spanien","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","1","","",""
"Spanien","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","1","","",""
"österreich","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","6","","",""
"österreich","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","",""
"österreich","1995","2","Städtischer Raum","5","","",""
"österreich","1995","2","Ländlicher Raum","1","","",""
"österreich","1995","3","Städtischer Raum","3","","",""
"österreich","1995","3","Ländlicher Raum","6","","",""
"österreich","1995","4","Städtischer Raum","3","","",""
"österreich","1995","4","Ländlicher Raum","","","",""
"österreich","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","4","","",""
"österreich","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","1","","",""
"Frankreich","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","1","","",""
"Frankreich","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","1","","",""
"Frankreich","1995","2","Städtischer Raum","2","","",""
"Frankreich","1995","2","Ländlicher Raum","1","","",""
"Frankreich","1995","3","Städtischer Raum","2","","",""
"Frankreich","1995","3","Ländlicher Raum","1","","",""
"Frankreich","1995","4","Städtischer Raum","3","","",""
"Frankreich","1995","4","Ländlicher Raum","","","",""
"Frankreich","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","3","","",""
"Frankreich","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"Benelux","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","","","",""
"Benelux","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","",""
"Benelux","1995","2","Städtischer Raum","1","","",""
"Benelux","1995","2","Ländlicher Raum","","","",""
"Benelux","1995","3","Städtischer Raum","","","",""
"Benelux","1995","3","Ländlicher Raum","","","",""
"Benelux","1995","4","Städtischer Raum","","","",""
"Benelux","1995","4","Ländlicher Raum","","","",""
"Benelux","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","","","",""
"Benelux","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"Dänemark","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","","","",""
"Dänemark","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","",""
"Dänemark","1995","2","Städtischer Raum","","","",""
"Dänemark","1995","2","Ländlicher Raum","","","",""
"Dänemark","1995","3","Städtischer Raum","","","",""
"Dänemark","1995","3","Ländlicher Raum","","","",""
"Dänemark","1995","4","Städtischer Raum","","","",""
"Dänemark","1995","4","Ländlicher Raum","","","",""
"Dänemark","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","","","",""
"Dänemark","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"Grossbritannien","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","1","","",""
"Grossbritannien","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","",""
"Grossbritannien","1995","2","Städtischer Raum","","","",""
"Grossbritannien","1995","2","Ländlicher Raum","","","",""
"Grossbritannien","1995","3","Städtischer Raum","","","",""
"Grossbritannien","1995","3","Ländlicher Raum","","","",""
"Grossbritannien","1995","4","Städtischer Raum","3","","",""
"Grossbritannien","1995","4","Ländlicher Raum","","","",""
"Grossbritannien","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","2","","",""
"Grossbritannien","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"Schweden","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","","","",""
"Schweden","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","",""
"Schweden","1995","2","Städtischer Raum","","","",""
"Schweden","1995","2","Ländlicher Raum","","","",""
"Schweden","1995","3","Städtischer Raum","","","",""
"Schweden","1995","3","Ländlicher Raum","","","",""
"Schweden","1995","4","Städtischer Raum","","","",""
"Schweden","1995","4","Ländlicher Raum","1","","",""
"Schweden","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","","","",""
"Schweden","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"Norwegen","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","","","",""
"Norwegen","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","",""
"Norwegen","1995","2","Städtischer Raum","","","",""
"Norwegen","1995","2","Ländlicher Raum","","","",""
"Norwegen","1995","3","Städtischer Raum","","","",""
"Norwegen","1995","3","Ländlicher Raum","","","",""
"Norwegen","1995","4","Städtischer Raum","","","",""
"Norwegen","1995","4","Ländlicher Raum","","","",""
"Norwegen","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","","","",""
"Norwegen","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"Finnland","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","","","",""
"Finnland","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","",""
"Finnland","1995","2","Städtischer Raum","","","",""
"Finnland","1995","2","Ländlicher Raum","","","",""
"Finnland","1995","3","Städtischer Raum","","","",""
"Finnland","1995","3","Ländlicher Raum","","","",""
"Finnland","1995","4","Städtischer Raum","","","",""
"Finnland","1995","4","Ländlicher Raum","","","",""
"Finnland","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","","","",""
"Finnland","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"USA","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","1","","",""
"USA","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","",""
"USA","1995","2","Städtischer Raum","2","","",""
"USA","1995","2","Ländlicher Raum","2","","",""
"USA","1995","3","Städtischer Raum","1","","",""
"USA","1995","3","Ländlicher Raum","","","",""
"USA","1995","4","Städtischer Raum","1","","",""
"USA","1995","4","Ländlicher Raum","","","",""
"USA","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","","","",""
"USA","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","1","","",""
"Schweiz","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","2","","",""
"Schweiz","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","1","","",""
"Schweiz","1995","2","Städtischer Raum","","","",""
"Schweiz","1995","2","Ländlicher Raum","","","",""
"Schweiz","1995","3","Städtischer Raum","2","","",""
"Schweiz","1995","3","Ländlicher Raum","","","",""
"Schweiz","1995","4","Städtischer Raum","","","",""
"Schweiz","1995","4","Ländlicher Raum","1","","",""
"Schweiz","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","2","","",""
"Schweiz","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"Chile","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","","","",""
"Chile","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","",""
"Chile","1995","2","Städtischer Raum","","","",""
"Chile","1995","2","Ländlicher Raum","","","",""
"Chile","1995","3","Städtischer Raum","2","","",""
"Chile","1995","3","Ländlicher Raum","","","",""
"Chile","1995","4","Städtischer Raum","1","","",""
"Chile","1995","4","Ländlicher Raum","","","",""
"Chile","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","","","",""
"Chile","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"Rumaenien","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","30","0.00857701755518657","0.0052898135454061","0.011864221564967"
"Rumaenien","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","",""
"Rumaenien","1995","2","Städtischer Raum","30","0.0108538953056534","0.00675520240610801","0.0149525882051989"
"Rumaenien","1995","2","Ländlicher Raum","4","","",""
"Rumaenien","1995","3","Städtischer Raum","4","","",""
"Rumaenien","1995","3","Ländlicher Raum","4","","",""
"Rumaenien","1995","4","Städtischer Raum","1","","",""
"Rumaenien","1995","4","Ländlicher Raum","2","","",""
"Rumaenien","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","10","","",""
"Rumaenien","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","1","","",""
"Polen","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","94","0.0274791626658259","0.0216516903024325","0.0333066350292192"
"Polen","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","36","0.0140109194147285","0.00879282969924942","0.0192290091302077"
"Polen","1995","2","Städtischer Raum","66","0.0202765396220974","0.0147012039875105","0.0258518752566843"
"Polen","1995","2","Ländlicher Raum","11","","",""
"Polen","1995","3","Städtischer Raum","11","","",""
"Polen","1995","3","Ländlicher Raum","3","","",""
"Polen","1995","4","Städtischer Raum","11","","",""
"Polen","1995","4","Ländlicher Raum","1","","",""
"Polen","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","1","","",""
"Polen","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","1","","",""
"Korea","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","","","",""
"Korea","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","1","","",""
"Korea","1995","2","Städtischer Raum","","","",""
"Korea","1995","2","Ländlicher Raum","","","",""
"Korea","1995","3","Städtischer Raum","1","","",""
"Korea","1995","3","Ländlicher Raum","","","",""
"Korea","1995","4","Städtischer Raum","","","",""
"Korea","1995","4","Ländlicher Raum","","","",""
"Korea","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","","","",""
"Korea","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"Iran","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","6","","",""
"Iran","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","",""
"Iran","1995","2","Städtischer Raum","","","",""
"Iran","1995","2","Ländlicher Raum","","","",""
"Iran","1995","3","Städtischer Raum","","","",""
"Iran","1995","3","Ländlicher Raum","","","",""
"Iran","1995","4","Städtischer Raum","","","",""
"Iran","1995","4","Ländlicher Raum","","","",""
"Iran","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","1","","",""
"Iran","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"Indonesien","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","","","",""
"Indonesien","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","",""
"Indonesien","1995","2","Städtischer Raum","","","",""
"Indonesien","1995","2","Ländlicher Raum","","","",""
"Indonesien","1995","3","Städtischer Raum","","","",""
"Indonesien","1995","3","Ländlicher Raum","","","",""
"Indonesien","1995","4","Städtischer Raum","","","",""
"Indonesien","1995","4","Ländlicher Raum","","","",""
"Indonesien","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","","","",""
"Indonesien","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"Ungarn","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","2","","",""
"Ungarn","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","2","","",""
"Ungarn","1995","2","Städtischer Raum","3","","",""
"Ungarn","1995","2","Ländlicher Raum","3","","",""
"Ungarn","1995","3","Städtischer Raum","2","","",""
"Ungarn","1995","3","Ländlicher Raum","1","","",""
"Ungarn","1995","4","Städtischer Raum","4","","",""
"Ungarn","1995","4","Ländlicher Raum","","","",""
"Ungarn","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","3","","",""
"Ungarn","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"Bolivien","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","","","",""
"Bolivien","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","",""
"Bolivien","1995","2","Städtischer Raum","","","",""
"Bolivien","1995","2","Ländlicher Raum","","","",""
"Bolivien","1995","3","Städtischer Raum","","","",""
"Bolivien","1995","3","Ländlicher Raum","","","",""
"Bolivien","1995","4","Städtischer Raum","","","",""
"Bolivien","1995","4","Ländlicher Raum","","","",""
"Bolivien","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","","","",""
"Bolivien","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"Portugal","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","4","","",""
"Portugal","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","",""
"Portugal","1995","2","Städtischer Raum","","","",""
"Portugal","1995","2","Ländlicher Raum","","","",""
"Portugal","1995","3","Städtischer Raum","3","","",""
"Portugal","1995","3","Ländlicher Raum","","","",""
"Portugal","1995","4","Städtischer Raum","","","",""
"Portugal","1995","4","Ländlicher Raum","","","",""
"Portugal","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","","","",""
"Portugal","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"Bulgarien","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","5","","",""
"Bulgarien","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","1","","",""
"Bulgarien","1995","2","Städtischer Raum","4","","",""
"Bulgarien","1995","2","Ländlicher Raum","","","",""
"Bulgarien","1995","3","Städtischer Raum","1","","",""
"Bulgarien","1995","3","Ländlicher Raum","","","",""
"Bulgarien","1995","4","Städtischer Raum","","","",""
"Bulgarien","1995","4","Ländlicher Raum","","","",""
"Bulgarien","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","","","",""
"Bulgarien","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"Syrien","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","","","",""
"Syrien","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","",""
"Syrien","1995","2","Städtischer Raum","","","",""
"Syrien","1995","2","Ländlicher Raum","","","",""
"Syrien","1995","3","Städtischer Raum","","","",""
"Syrien","1995","3","Ländlicher Raum","","","",""
"Syrien","1995","4","Städtischer Raum","","","",""
"Syrien","1995","4","Ländlicher Raum","","","",""
"Syrien","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","","","",""
"Syrien","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"Tschechien","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","11","","",""
"Tschechien","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","13","","",""
"Tschechien","1995","2","Städtischer Raum","9","","",""
"Tschechien","1995","2","Ländlicher Raum","8","","",""
"Tschechien","1995","3","Städtischer Raum","6","","",""
"Tschechien","1995","3","Ländlicher Raum","6","","",""
"Tschechien","1995","4","Städtischer Raum","6","","",""
"Tschechien","1995","4","Ländlicher Raum","1","","",""
"Tschechien","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","2","","",""
"Tschechien","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"Russland","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","36","0.0082823197635957","0.00505160183163549","0.0115130376955559"
"Russland","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","21","","",""
