"corigin","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Deutschland","1985","Städtischer Raum","männlich","2896","0.891036604099818","0.881638816226954","0.900434391972682"
"Deutschland","1985","Städtischer Raum","weiblich","3204","0.907306579249554","0.898718174159625","0.915894984339484"
"Deutschland","1985","Ländlicher Raum","männlich","979","0.954998131190392","0.943016506648761","0.966979755732022"
"Deutschland","1985","Ländlicher Raum","weiblich","1041","0.949715127028182","0.937376412284127","0.962053841772238"
"Türkei","1985","Städtischer Raum","männlich","422","0.0275370378162911","0.0226015203228843","0.0324725553096979"
"Türkei","1985","Städtischer Raum","weiblich","363","0.0206652520018733","0.0164521985355976","0.0248783054681491"
"Türkei","1985","Ländlicher Raum","männlich","38","0.00637477832417646","0.00177493522730841","0.0109746214210445"
"Türkei","1985","Ländlicher Raum","weiblich","36","0.00491288641910712","0.000965101528407788","0.00886067130980644"
"Ex-Jugoslawien","1985","Städtischer Raum","männlich","123","0.00846545694071524","0.00570222921932649","0.011228684662104"
"Ex-Jugoslawien","1985","Städtischer Raum","weiblich","113","0.00885245375088165","0.00607841818995465","0.0116264893118087"
"Ex-Jugoslawien","1985","Ländlicher Raum","männlich","19","","",""
"Ex-Jugoslawien","1985","Ländlicher Raum","weiblich","20","","",""
"Griechenland","1985","Städtischer Raum","männlich","176","0.00735310535626639","0.0047763669018688","0.00992984381066397"
"Griechenland","1985","Städtischer Raum","weiblich","154","0.0046146618908435","0.00260752682369897","0.00662179695798802"
"Griechenland","1985","Ländlicher Raum","männlich","23","","",""
"Griechenland","1985","Ländlicher Raum","weiblich","18","","",""
"Italien","1985","Städtischer Raum","männlich","246","0.0145785195582999","0.0109635447541994","0.0181934943624003"
"Italien","1985","Städtischer Raum","weiblich","183","0.00819586235725702","0.0055258005063585","0.0108659242081555"
"Italien","1985","Ländlicher Raum","männlich","32","0.00757279145333074","0.00256234413041103","0.0125832387762505"
"Italien","1985","Ländlicher Raum","weiblich","22","","",""
"Spanien","1985","Städtischer Raum","männlich","143","0.0035382607392304","0.00174739601892794","0.00532912545953287"
"Spanien","1985","Städtischer Raum","weiblich","114","0.00235476353815688","0.000919364160467832","0.00379016291584592"
"Spanien","1985","Ländlicher Raum","männlich","22","","",""
"Spanien","1985","Ländlicher Raum","weiblich","13","","",""
"österreich","1985","Städtischer Raum","männlich","13","","",""
"österreich","1985","Städtischer Raum","weiblich","17","","",""
"österreich","1985","Ländlicher Raum","männlich","1","","",""
"österreich","1985","Ländlicher Raum","weiblich","3","","",""
"Frankreich","1985","Städtischer Raum","männlich","7","","",""
"Frankreich","1985","Städtischer Raum","weiblich","4","","",""
"Frankreich","1985","Ländlicher Raum","männlich","1","","",""
"Frankreich","1985","Ländlicher Raum","weiblich","1","","",""
"Benelux","1985","Städtischer Raum","männlich","2","","",""
"Benelux","1985","Städtischer Raum","weiblich","2","","",""
"Benelux","1985","Ländlicher Raum","männlich","","","",""
"Benelux","1985","Ländlicher Raum","weiblich","","","",""
"Dänemark","1985","Städtischer Raum","männlich","","","",""
"Dänemark","1985","Städtischer Raum","weiblich","","","",""
"Dänemark","1985","Ländlicher Raum","männlich","","","",""
"Dänemark","1985","Ländlicher Raum","weiblich","","","",""
"Grossbritannien","1985","Städtischer Raum","männlich","1","","",""
"Grossbritannien","1985","Städtischer Raum","weiblich","2","","",""
"Grossbritannien","1985","Ländlicher Raum","männlich","","","",""
"Grossbritannien","1985","Ländlicher Raum","weiblich","","","",""
"Schweden","1985","Städtischer Raum","männlich","1","","",""
"Schweden","1985","Städtischer Raum","weiblich","","","",""
"Schweden","1985","Ländlicher Raum","männlich","","","",""
"Schweden","1985","Ländlicher Raum","weiblich","","","",""
"Norwegen","1985","Städtischer Raum","männlich","","","",""
"Norwegen","1985","Städtischer Raum","weiblich","","","",""
"Norwegen","1985","Ländlicher Raum","männlich","","","",""
"Norwegen","1985","Ländlicher Raum","weiblich","","","",""
"Finnland","1985","Städtischer Raum","männlich","","","",""
"Finnland","1985","Städtischer Raum","weiblich","","","",""
"Finnland","1985","Ländlicher Raum","männlich","","","",""
"Finnland","1985","Ländlicher Raum","weiblich","1","","",""
"USA","1985","Städtischer Raum","männlich","3","","",""
"USA","1985","Städtischer Raum","weiblich","5","","",""
"USA","1985","Ländlicher Raum","männlich","","","",""
"USA","1985","Ländlicher Raum","weiblich","2","","",""
"Schweiz","1985","Städtischer Raum","männlich","2","","",""
"Schweiz","1985","Städtischer Raum","weiblich","6","","",""
"Schweiz","1985","Ländlicher Raum","männlich","1","","",""
"Schweiz","1985","Ländlicher Raum","weiblich","1","","",""
"Chile","1985","Städtischer Raum","männlich","2","","",""
"Chile","1985","Städtischer Raum","weiblich","1","","",""
"Chile","1985","Ländlicher Raum","männlich","","","",""
"Chile","1985","Ländlicher Raum","weiblich","","","",""
"Rumaenien","1985","Städtischer Raum","männlich","4","","",""
"Rumaenien","1985","Städtischer Raum","weiblich","7","","",""
"Rumaenien","1985","Ländlicher Raum","männlich","1","","",""
"Rumaenien","1985","Ländlicher Raum","weiblich","1","","",""
"Polen","1985","Städtischer Raum","männlich","16","","",""
"Polen","1985","Städtischer Raum","weiblich","17","","",""
"Polen","1985","Ländlicher Raum","männlich","1","","",""
"Polen","1985","Ländlicher Raum","weiblich","2","","",""
"Korea","1985","Städtischer Raum","männlich","1","","",""
"Korea","1985","Städtischer Raum","weiblich","2","","",""
"Korea","1985","Ländlicher Raum","männlich","","","",""
"Korea","1985","Ländlicher Raum","weiblich","","","",""
"Iran","1985","Städtischer Raum","männlich","1","","",""
"Iran","1985","Städtischer Raum","weiblich","1","","",""
"Iran","1985","Ländlicher Raum","männlich","","","",""
"Iran","1985","Ländlicher Raum","weiblich","","","",""
"Indonesien","1985","Städtischer Raum","männlich","","","",""
"Indonesien","1985","Städtischer Raum","weiblich","","","",""
"Indonesien","1985","Ländlicher Raum","männlich","","","",""
"Indonesien","1985","Ländlicher Raum","weiblich","","","",""
"Ungarn","1985","Städtischer Raum","männlich","4","","",""
"Ungarn","1985","Städtischer Raum","weiblich","8","","",""
"Ungarn","1985","Ländlicher Raum","männlich","1","","",""
"Ungarn","1985","Ländlicher Raum","weiblich","2","","",""
