"corigin","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Deutschland","1984","(noch) kein Abschluss","männlich","119","0.590354591138602","0.550089257827035","0.630619924450169"
"Deutschland","1984","(noch) kein Abschluss","weiblich","122","0.54665493365297","0.509959716083046","0.583350151222894"
"Deutschland","1984","Hauptschule","männlich","2523","0.914406646330839","0.905113007564905","0.923700285096772"
"Deutschland","1984","Hauptschule","weiblich","2999","0.933448674815668","0.925450014555655","0.941447335075681"
"Deutschland","1984","Realschule","männlich","721","0.953080396942224","0.938201896454426","0.967958897430023"
"Deutschland","1984","Realschule","weiblich","1025","0.957281122360347","0.945308963298675","0.969253281422019"
"Deutschland","1984","(Fach-)Abitur","männlich","349","0.88730931883049","0.859892367298511","0.914726270362469"
"Deutschland","1984","(Fach-)Abitur","weiblich","247","0.870872882541695","0.835640291650718","0.906105473432673"
"Deutschland","1984","AkademikerIn","männlich","456","0.928737170115738","0.906834951875362","0.950639388356113"
"Deutschland","1984","AkademikerIn","weiblich","213","0.899452244304179","0.862468874661897","0.936435613946461"
"Türkei","1984","(noch) kein Abschluss","männlich","141","0.15590051595164","0.126198127490714","0.185602904412566"
"Türkei","1984","(noch) kein Abschluss","weiblich","222","0.208322201497567","0.178387123414656","0.238257279580477"
"Türkei","1984","Hauptschule","männlich","279","0.0206970082963915","0.0159675825979811","0.025426433994802"
"Türkei","1984","Hauptschule","weiblich","201","0.0125327151286685","0.0089626378478455","0.0161027924094916"
"Türkei","1984","Realschule","männlich","7","","",""
"Türkei","1984","Realschule","weiblich","13","","",""
"Türkei","1984","(Fach-)Abitur","männlich","86","0.0530902020205601","0.0336500733505784","0.0725303306905419"
"Türkei","1984","(Fach-)Abitur","weiblich","33","0.0259896587229753","0.00927334391491193","0.0427059735310386"
"Türkei","1984","AkademikerIn","männlich","13","","",""
"Türkei","1984","AkademikerIn","weiblich","2","","",""
"Ex-Jugoslawien","1984","(noch) kein Abschluss","männlich","24","","",""
"Ex-Jugoslawien","1984","(noch) kein Abschluss","weiblich","63","0.0630276365710123","0.0451146794698103","0.0809405936722143"
"Ex-Jugoslawien","1984","Hauptschule","männlich","113","0.0087539042335608","0.0056594239505844","0.0118483845165372"
"Ex-Jugoslawien","1984","Hauptschule","weiblich","80","0.00610897260891817","0.00360835578348749","0.00860958943434885"
"Ex-Jugoslawien","1984","Realschule","männlich","5","","",""
"Ex-Jugoslawien","1984","Realschule","weiblich","6","","",""
"Ex-Jugoslawien","1984","(Fach-)Abitur","männlich","12","","",""
"Ex-Jugoslawien","1984","(Fach-)Abitur","weiblich","13","","",""
"Ex-Jugoslawien","1984","AkademikerIn","männlich","4","","",""
"Ex-Jugoslawien","1984","AkademikerIn","weiblich","3","","",""
"Griechenland","1984","(noch) kein Abschluss","männlich","68","0.0410868842728025","0.024834689671896","0.0573390788737091"
"Griechenland","1984","(noch) kein Abschluss","weiblich","80","0.041261077761327","0.0266002379859673","0.0559219175366867"
"Griechenland","1984","Hauptschule","männlich","117","0.00475298396922876","0.0024682023502994","0.00703776558815812"
"Griechenland","1984","Hauptschule","weiblich","92","0.00259770454704441","0.000964187262874797","0.00423122183121403"
"Griechenland","1984","Realschule","männlich","5","","",""
"Griechenland","1984","Realschule","weiblich","2","","",""
"Griechenland","1984","(Fach-)Abitur","männlich","18","","",""
"Griechenland","1984","(Fach-)Abitur","weiblich","13","","",""
"Griechenland","1984","AkademikerIn","männlich","13","","",""
"Griechenland","1984","AkademikerIn","weiblich","8","","",""
"Italien","1984","(noch) kein Abschluss","männlich","129","0.114672447120944","0.0885837548256993","0.140761139416188"
