"corigin","year","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Deutschland","1995","1 Einkommensschwächstes Quintil","3583","0.81384125125","0.803022077229379","0.824660425270621"
"Deutschland","1995","2","3092","0.880694189734054","0.870439111716662","0.890949267751446"
"Deutschland","1995","3","1886","0.894828349455522","0.882000546660998","0.907656152250047"
"Deutschland","1995","4","1296","0.91817954082215","0.904153735841278","0.932205345803023"
"Deutschland","1995","5 Einkommensstärkstes Quintil","646","0.913865371314004","0.893357827441563","0.934372915186446"
"Türkei","1995","1 Einkommensschwächstes Quintil","485","0.0463628390698846","0.0405181807758754","0.0522074973638938"
"Türkei","1995","2","157","0.0151385186288545","0.0112755171737783","0.0190015200839307"
"Türkei","1995","3","40","0.0114475814721289","0.00699932534557264","0.0158958375986851"
"Türkei","1995","4","18","","",""
"Türkei","1995","5 Einkommensstärkstes Quintil","5","","",""
"Ex-Jugoslawien","1995","1 Einkommensschwächstes Quintil","56","0.00907195472850393","0.00643650929775698","0.0117074001592509"
"Ex-Jugoslawien","1995","2","26","","",""
"Ex-Jugoslawien","1995","3","24","","",""
"Ex-Jugoslawien","1995","4","6","","",""
"Ex-Jugoslawien","1995","5 Einkommensstärkstes Quintil","1","","",""
"Griechenland","1995","1 Einkommensschwächstes Quintil","90","0.00621711993666012","0.00403226348092051","0.00840197639239973"
"Griechenland","1995","2","69","0.0038647396697368","0.00190176414389906","0.00582771519557455"
"Griechenland","1995","3","31","0.00497093366623032","0.00203010359796117","0.00791176373449947"
"Griechenland","1995","4","26","","",""
"Griechenland","1995","5 Einkommensstärkstes Quintil","4","","",""
"Italien","1995","1 Einkommensschwächstes Quintil","156","0.0122611489799112","0.00920222147952426","0.0153200764802982"
"Italien","1995","2","88","0.00912366245137597","0.0061155785931665","0.0121317463095855"
"Italien","1995","3","36","0.00525521156233715","0.00223189237005962","0.00827853075461467"
"Italien","1995","4","29","","",""
"Italien","1995","5 Einkommensstärkstes Quintil","3","","",""
"Spanien","1995","1 Einkommensschwächstes Quintil","30","0.00172432653452054","0.000571092287979755","0.00287756078106132"
"Spanien","1995","2","41","0.00228990761555516","0.000777716196853794","0.00380209903425653"
"Spanien","1995","3","17","","",""
"Spanien","1995","4","14","","",""
"Spanien","1995","5 Einkommensstärkstes Quintil","2","","",""
"österreich","1995","1 Einkommensschwächstes Quintil","6","","",""
"österreich","1995","2","6","","",""
"österreich","1995","3","9","","",""
"österreich","1995","4","3","","",""
"österreich","1995","5 Einkommensstärkstes Quintil","5","","",""
"Frankreich","1995","1 Einkommensschwächstes Quintil","2","","",""
"Frankreich","1995","2","3","","",""
"Frankreich","1995","3","3","","",""
"Frankreich","1995","4","3","","",""
"Frankreich","1995","5 Einkommensstärkstes Quintil","3","","",""
"Benelux","1995","1 Einkommensschwächstes Quintil","","","",""
"Benelux","1995","2","1","","",""
"Benelux","1995","3","","","",""
"Benelux","1995","4","","","",""
"Benelux","1995","5 Einkommensstärkstes Quintil","","","",""
"Dänemark","1995","1 Einkommensschwächstes Quintil","","","",""
"Dänemark","1995","2","","","",""
"Dänemark","1995","3","","","",""
"Dänemark","1995","4","","","",""
"Dänemark","1995","5 Einkommensstärkstes Quintil","","","",""
"Grossbritannien","1995","1 Einkommensschwächstes Quintil","1","","",""
"Grossbritannien","1995","2","","","",""
"Grossbritannien","1995","3","","","",""
"Grossbritannien","1995","4","3","","",""
"Grossbritannien","1995","5 Einkommensstärkstes Quintil","2","","",""
"Schweden","1995","1 Einkommensschwächstes Quintil","","","",""
"Schweden","1995","2","","","",""
"Schweden","1995","3","","","",""
"Schweden","1995","4","1","","",""
"Schweden","1995","5 Einkommensstärkstes Quintil","","","",""
"Norwegen","1995","1 Einkommensschwächstes Quintil","","","",""
"Norwegen","1995","2","","","",""
"Norwegen","1995","3","","","",""
"Norwegen","1995","4","","","",""
"Norwegen","1995","5 Einkommensstärkstes Quintil","","","",""
"Finnland","1995","1 Einkommensschwächstes Quintil","","","",""
"Finnland","1995","2","","","",""
"Finnland","1995","3","","","",""
"Finnland","1995","4","","","",""
"Finnland","1995","5 Einkommensstärkstes Quintil","","","",""
"USA","1995","1 Einkommensschwächstes Quintil","1","","",""
"USA","1995","2","4","","",""
"USA","1995","3","1","","",""
"USA","1995","4","1","","",""
"USA","1995","5 Einkommensstärkstes Quintil","1","","",""
"Schweiz","1995","1 Einkommensschwächstes Quintil","3","","",""
"Schweiz","1995","2","","","",""
"Schweiz","1995","3","2","","",""
"Schweiz","1995","4","1","","",""
"Schweiz","1995","5 Einkommensstärkstes Quintil","2","","",""
"Chile","1995","1 Einkommensschwächstes Quintil","","","",""
"Chile","1995","2","","","",""
"Chile","1995","3","2","","",""
"Chile","1995","4","1","","",""
"Chile","1995","5 Einkommensstärkstes Quintil","","","",""
