"corigin","year","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Deutschland","1984","kein Migrationshintergrund","8669","1","1","1"
"Deutschland","1984","direkter Migrationshintergrund","","","",""
"Deutschland","1984","indirekter Migrationshintergrund","126","1","1","1"
"Deutschland","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Türkei","1984","kein Migrationshintergrund","","","",""
"Türkei","1984","direkter Migrationshintergrund","1022","0.247652501682998","0.232929710349544","0.262375293016452"
"Türkei","1984","indirekter Migrationshintergrund","","","",""
"Türkei","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ex-Jugoslawien","1984","kein Migrationshintergrund","","","",""
"Ex-Jugoslawien","1984","direkter Migrationshintergrund","334","0.0868743934282711","0.0772677712599794","0.0964810155965627"
"Ex-Jugoslawien","1984","indirekter Migrationshintergrund","","","",""
"Ex-Jugoslawien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Griechenland","1984","kein Migrationshintergrund","","","",""
"Griechenland","1984","direkter Migrationshintergrund","424","0.0550024506502665","0.0472262775833184","0.0627786237172146"
"Griechenland","1984","indirekter Migrationshintergrund","","","",""
"Griechenland","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Italien","1984","kein Migrationshintergrund","","","",""
"Italien","1984","direkter Migrationshintergrund","565","0.112405391052519","0.101631800783232","0.123178981321805"
"Italien","1984","indirekter Migrationshintergrund","","","",""
"Italien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Spanien","1984","kein Migrationshintergrund","","","",""
"Spanien","1984","direkter Migrationshintergrund","377","0.0312023452170631","0.0252721401070488","0.0371325503270775"
"Spanien","1984","indirekter Migrationshintergrund","","","",""
"Spanien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"österreich","1984","kein Migrationshintergrund","","","",""
"österreich","1984","direkter Migrationshintergrund","35","0.0374641622451238","0.0309871305308625","0.043941193959385"
"österreich","1984","indirekter Migrationshintergrund","","","",""
"österreich","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Frankreich","1984","kein Migrationshintergrund","","","",""
"Frankreich","1984","direkter Migrationshintergrund","14","","",""
"Frankreich","1984","indirekter Migrationshintergrund","","","",""
"Frankreich","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Benelux","1984","kein Migrationshintergrund","","","",""
"Benelux","1984","direkter Migrationshintergrund","5","","",""
"Benelux","1984","indirekter Migrationshintergrund","","","",""
"Benelux","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Dänemark","1984","kein Migrationshintergrund","","","",""
"Dänemark","1984","direkter Migrationshintergrund","","","",""
"Dänemark","1984","indirekter Migrationshintergrund","","","",""
"Dänemark","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grossbritannien","1984","kein Migrationshintergrund","","","",""
"Grossbritannien","1984","direkter Migrationshintergrund","3","","",""
"Grossbritannien","1984","indirekter Migrationshintergrund","","","",""
"Grossbritannien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Schweden","1984","kein Migrationshintergrund","","","",""
"Schweden","1984","direkter Migrationshintergrund","1","","",""
"Schweden","1984","indirekter Migrationshintergrund","","","",""
"Schweden","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Norwegen","1984","kein Migrationshintergrund","","","",""
"Norwegen","1984","direkter Migrationshintergrund","","","",""
"Norwegen","1984","indirekter Migrationshintergrund","","","",""
"Norwegen","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Finnland","1984","kein Migrationshintergrund","","","",""
"Finnland","1984","direkter Migrationshintergrund","1","","",""
"Finnland","1984","indirekter Migrationshintergrund","","","",""
"Finnland","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"USA","1984","kein Migrationshintergrund","","","",""
"USA","1984","direkter Migrationshintergrund","17","","",""
"USA","1984","indirekter Migrationshintergrund","","","",""
"USA","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Schweiz","1984","kein Migrationshintergrund","","","",""
"Schweiz","1984","direkter Migrationshintergrund","11","","",""
"Schweiz","1984","indirekter Migrationshintergrund","","","",""
"Schweiz","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Chile","1984","kein Migrationshintergrund","","","",""
"Chile","1984","direkter Migrationshintergrund","3","","",""
"Chile","1984","indirekter Migrationshintergrund","","","",""
"Chile","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Rumaenien","1984","kein Migrationshintergrund","","","",""
"Rumaenien","1984","direkter Migrationshintergrund","11","","",""
"Rumaenien","1984","indirekter Migrationshintergrund","","","",""
"Rumaenien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Polen","1984","kein Migrationshintergrund","","","",""
"Polen","1984","direkter Migrationshintergrund","38","0.0441214271971966","0.0371167891969702","0.0511260651974231"
"Polen","1984","indirekter Migrationshintergrund","","","",""
"Polen","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Korea","1984","kein Migrationshintergrund","","","",""
"Korea","1984","direkter Migrationshintergrund","5","","",""
"Korea","1984","indirekter Migrationshintergrund","","","",""
"Korea","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Iran","1984","kein Migrationshintergrund","","","",""
"Iran","1984","direkter Migrationshintergrund","2","","",""
"Iran","1984","indirekter Migrationshintergrund","","","",""
"Iran","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Indonesien","1984","kein Migrationshintergrund","","","",""
"Indonesien","1984","direkter Migrationshintergrund","2","","",""
"Indonesien","1984","indirekter Migrationshintergrund","","","",""
"Indonesien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ungarn","1984","kein Migrationshintergrund","","","",""
"Ungarn","1984","direkter Migrationshintergrund","15","","",""
"Ungarn","1984","indirekter Migrationshintergrund","","","",""
"Ungarn","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Bolivien","1984","kein Migrationshintergrund","","","",""
"Bolivien","1984","direkter Migrationshintergrund","","","",""
"Bolivien","1984","indirekter Migrationshintergrund","","","",""
"Bolivien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Portugal","1984","kein Migrationshintergrund","","","",""
"Portugal","1984","direkter Migrationshintergrund","4","","",""
"Portugal","1984","indirekter Migrationshintergrund","","","",""
"Portugal","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Bulgarien","1984","kein Migrationshintergrund","","","",""
"Bulgarien","1984","direkter Migrationshintergrund","9","","",""
"Bulgarien","1984","indirekter Migrationshintergrund","","","",""
"Bulgarien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Syrien","1984","kein Migrationshintergrund","","","",""
"Syrien","1984","direkter Migrationshintergrund","1","","",""
"Syrien","1984","indirekter Migrationshintergrund","","","",""
"Syrien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Tschechien","1984","kein Migrationshintergrund","","","",""
"Tschechien","1984","direkter Migrationshintergrund","42","0.0489969626839174","0.0416342968794984","0.0563596284883364"
"Tschechien","1984","indirekter Migrationshintergrund","","","",""
"Tschechien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Russland","1984","kein Migrationshintergrund","","","",""
"Russland","1984","direkter Migrationshintergrund","5","","",""
"Russland","1984","indirekter Migrationshintergrund","","","",""
"Russland","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mexiko","1984","kein Migrationshintergrund","","","",""
"Mexiko","1984","direkter Migrationshintergrund","4","","",""
"Mexiko","1984","indirekter Migrationshintergrund","","","",""
"Mexiko","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Argentinien","1984","kein Migrationshintergrund","","","",""
"Argentinien","1984","direkter Migrationshintergrund","2","","",""
"Argentinien","1984","indirekter Migrationshintergrund","","","",""
"Argentinien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Cap Verden","1984","kein Migrationshintergrund","","","",""
"Cap Verden","1984","direkter Migrationshintergrund","1","","",""
"Cap Verden","1984","indirekter Migrationshintergrund","","","",""
"Cap Verden","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Benin","1984","kein Migrationshintergrund","","","",""
"Benin","1984","direkter Migrationshintergrund","","","",""
"Benin","1984","indirekter Migrationshintergrund","","","",""
"Benin","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Philippinen","1984","kein Migrationshintergrund","","","",""
"Philippinen","1984","direkter Migrationshintergrund","2","","",""
"Philippinen","1984","indirekter Migrationshintergrund","","","",""
"Philippinen","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Israel","1984","kein Migrationshintergrund","","","",""
"Israel","1984","direkter Migrationshintergrund","1","","",""
"Israel","1984","indirekter Migrationshintergrund","","","",""
"Israel","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Japan","1984","kein Migrationshintergrund","","","",""
"Japan","1984","direkter Migrationshintergrund","1","","",""
"Japan","1984","indirekter Migrationshintergrund","","","",""
"Japan","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Australien","1984","kein Migrationshintergrund","","","",""
"Australien","1984","direkter Migrationshintergrund","2","","",""
"Australien","1984","indirekter Migrationshintergrund","","","",""
"Australien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Indien","1984","kein Migrationshintergrund","","","",""
"Indien","1984","direkter Migrationshintergrund","1","","",""
"Indien","1984","indirekter Migrationshintergrund","","","",""
"Indien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Afghanistan","1984","kein Migrationshintergrund","","","",""
"Afghanistan","1984","direkter Migrationshintergrund","2","","",""
"Afghanistan","1984","indirekter Migrationshintergrund","","","",""
"Afghanistan","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Thailand","1984","kein Migrationshintergrund","","","",""
"Thailand","1984","direkter Migrationshintergrund","","","",""
"Thailand","1984","indirekter Migrationshintergrund","","","",""
"Thailand","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Jamaika","1984","kein Migrationshintergrund","","","",""
"Jamaika","1984","direkter Migrationshintergrund","1","","",""
"Jamaika","1984","indirekter Migrationshintergrund","","","",""
"Jamaika","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Saudi-Arabien","1984","kein Migrationshintergrund","","","",""
