"corigin","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Deutschland","1985","(noch) kein Abschluss","Städtischer Raum","181","0.561688361031236","0.529985935340787","0.593390786721686"
"Deutschland","1985","(noch) kein Abschluss","Ländlicher Raum","62","0.821169529666143","0.758361199879439","0.883977859452847"
"Deutschland","1985","Hauptschule","Städtischer Raum","3578","0.910233171621294","0.902184291297008","0.91828205194558"
"Deutschland","1985","Hauptschule","Ländlicher Raum","1359","0.955511807671863","0.94527405170506","0.965749563638666"
"Deutschland","1985","Realschule","Städtischer Raum","1295","0.950375179224963","0.938999401660564","0.961750956789363"
"Deutschland","1985","Realschule","Ländlicher Raum","382","0.964986633955251","0.947040407278064","0.982932860632437"
"Deutschland","1985","(Fach-)Abitur","Städtischer Raum","467","0.88065229313812","0.856104075539118","0.905200510737122"
"Deutschland","1985","(Fach-)Abitur","Ländlicher Raum","90","0.93429531058392","0.887782229363506","0.980808391804334"
"Deutschland","1985","AkademikerIn","Städtischer Raum","530","0.909672503618851","0.887235397555424","0.932109609682278"
"Deutschland","1985","AkademikerIn","Ländlicher Raum","115","0.970774034690781","0.940885014130957","1.0006630552506"
"Türkei","1985","(noch) kein Abschluss","Städtischer Raum","264","0.17196384553783","0.147853884785207","0.196073806290452"
"Türkei","1985","(noch) kein Abschluss","Ländlicher Raum","21","","",""
"Türkei","1985","Hauptschule","Städtischer Raum","365","0.0186867283195136","0.0148736855876072","0.02249977105142"
"Türkei","1985","Hauptschule","Ländlicher Raum","41","0.00441313358151159","0.00112175771479029","0.0077045094482329"
"Türkei","1985","Realschule","Städtischer Raum","22","","",""
"Türkei","1985","Realschule","Ländlicher Raum","1","","",""
"Türkei","1985","(Fach-)Abitur","Städtischer Raum","92","0.0418996615132758","0.026728408761092","0.0570709142654596"
"Türkei","1985","(Fach-)Abitur","Ländlicher Raum","5","","",""
"Türkei","1985","AkademikerIn","Städtischer Raum","14","","",""
"Türkei","1985","AkademikerIn","Ländlicher Raum","","","",""
"Ex-Jugoslawien","1985","(noch) kein Abschluss","Städtischer Raum","62","0.048587593630762","0.0348503253536706","0.0623248619078534"
"Ex-Jugoslawien","1985","(noch) kein Abschluss","Ländlicher Raum","10","","",""
"Ex-Jugoslawien","1985","Hauptschule","Städtischer Raum","136","0.00858692597102412","0.00598887671455873","0.0111849752274895"
"Ex-Jugoslawien","1985","Hauptschule","Ländlicher Raum","25","","",""
"Ex-Jugoslawien","1985","Realschule","Städtischer Raum","9","","",""
