"corigin","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Deutschland","1984","(noch) kein Abschluss","Westdeutschland","241","0.567525571358132","0.540385184094036","0.594665958622228"
"Deutschland","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Deutschland","1984","Hauptschule","Westdeutschland","5522","0.924828016630553","0.918742340494416","0.930913692766689"
"Deutschland","1984","Hauptschule","Ostdeutschland","","","",""
"Deutschland","1984","Realschule","Westdeutschland","1746","0.955597198116922","0.946265991832177","0.964928404401666"
"Deutschland","1984","Realschule","Ostdeutschland","","","",""
"Deutschland","1984","(Fach-)Abitur","Westdeutschland","596","0.880545352528167","0.858856883369571","0.902233821686762"
"Deutschland","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Deutschland","1984","AkademikerIn","Westdeutschland","669","0.919082651277509","0.899993432024908","0.93817187053011"
"Deutschland","1984","AkademikerIn","Ostdeutschland","","","",""
"Türkei","1984","(noch) kein Abschluss","Westdeutschland","363","0.18328598680223","0.162090531951712","0.204481441652749"
"Türkei","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Türkei","1984","Hauptschule","Westdeutschland","480","0.0162288329439573","0.0133124736148115","0.0191451922731031"
"Türkei","1984","Hauptschule","Ostdeutschland","","","",""
"Türkei","1984","Realschule","Westdeutschland","20","","",""
"Türkei","1984","Realschule","Ostdeutschland","","","",""
"Türkei","1984","(Fach-)Abitur","Westdeutschland","119","0.0419377138279409","0.0285332095591068","0.0553422180967751"
"Türkei","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Türkei","1984","AkademikerIn","Westdeutschland","15","","",""
"Türkei","1984","AkademikerIn","Ostdeutschland","","","",""
"Ex-Jugoslawien","1984","(noch) kein Abschluss","Westdeutschland","87","0.0445604688942561","0.0332567958977288","0.0558641418907835"
"Ex-Jugoslawien","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ex-Jugoslawien","1984","Hauptschule","Westdeutschland","193","0.00730637925481263","0.00534071624767936","0.00927204226194591"
"Ex-Jugoslawien","1984","Hauptschule","Ostdeutschland","","","",""
"Ex-Jugoslawien","1984","Realschule","Westdeutschland","11","","",""
"Ex-Jugoslawien","1984","Realschule","Ostdeutschland","","","",""
"Ex-Jugoslawien","1984","(Fach-)Abitur","Westdeutschland","25","","",""
"Ex-Jugoslawien","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Ex-Jugoslawien","1984","AkademikerIn","Westdeutschland","7","","",""
"Ex-Jugoslawien","1984","AkademikerIn","Ostdeutschland","","","",""
"Griechenland","1984","(noch) kein Abschluss","Westdeutschland","148","0.0411778842216342","0.0302924905079724","0.052063277935296"
"Griechenland","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Griechenland","1984","Hauptschule","Westdeutschland","209","0.00357343710657015","0.00219617669900488","0.00495069751413541"
"Griechenland","1984","Hauptschule","Ostdeutschland","","","",""
"Griechenland","1984","Realschule","Westdeutschland","7","","",""
"Griechenland","1984","Realschule","Ostdeutschland","","","",""
"Griechenland","1984","(Fach-)Abitur","Westdeutschland","31","0.00569866940021401","0.000664854397546169","0.0107324844028818"
"Griechenland","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Griechenland","1984","AkademikerIn","Westdeutschland","21","","",""
"Griechenland","1984","AkademikerIn","Ostdeutschland","","","",""
"Italien","1984","(noch) kein Abschluss","Westdeutschland","242","0.0969365439136854","0.0807279252004278","0.113145162626943"
"Italien","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Italien","1984","Hauptschule","Westdeutschland","271","0.00780363945325546","0.00577269635416779","0.00983458255234313"
"Italien","1984","Hauptschule","Ostdeutschland","","","",""
"Italien","1984","Realschule","Westdeutschland","8","","",""
"Italien","1984","Realschule","Ostdeutschland","","","",""
"Italien","1984","(Fach-)Abitur","Westdeutschland","20","","",""
"Italien","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Italien","1984","AkademikerIn","Westdeutschland","9","","",""
"Italien","1984","AkademikerIn","Ostdeutschland","","","",""
"Spanien","1984","(noch) kein Abschluss","Westdeutschland","134","0.0247966247146348","0.0162776566794935","0.033315592749776"
"Spanien","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Spanien","1984","Hauptschule","Westdeutschland","201","0.00225783181431609","0.00116234967538294","0.00335331395324923"
"Spanien","1984","Hauptschule","Ostdeutschland","","","",""
"Spanien","1984","Realschule","Westdeutschland","8","","",""
"Spanien","1984","Realschule","Ostdeutschland","","","",""
"Spanien","1984","(Fach-)Abitur","Westdeutschland","17","","",""
"Spanien","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Spanien","1984","AkademikerIn","Westdeutschland","11","","",""
"Spanien","1984","AkademikerIn","Ostdeutschland","","","",""
"österreich","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"österreich","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"österreich","1984","Hauptschule","Westdeutschland","21","","",""
"österreich","1984","Hauptschule","Ostdeutschland","","","",""
"österreich","1984","Realschule","Westdeutschland","8","","",""
"österreich","1984","Realschule","Ostdeutschland","","","",""
"österreich","1984","(Fach-)Abitur","Westdeutschland","3","","",""
"österreich","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"österreich","1984","AkademikerIn","Westdeutschland","3","","",""
"österreich","1984","AkademikerIn","Ostdeutschland","","","",""
"Frankreich","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Frankreich","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Frankreich","1984","Hauptschule","Westdeutschland","5","","",""
"Frankreich","1984","Hauptschule","Ostdeutschland","","","",""
"Frankreich","1984","Realschule","Westdeutschland","5","","",""
"Frankreich","1984","Realschule","Ostdeutschland","","","",""
"Frankreich","1984","(Fach-)Abitur","Westdeutschland","1","","",""
"Frankreich","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Frankreich","1984","AkademikerIn","Westdeutschland","3","","",""
"Frankreich","1984","AkademikerIn","Ostdeutschland","","","",""
"Benelux","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Benelux","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Benelux","1984","Hauptschule","Westdeutschland","4","","",""
"Benelux","1984","Hauptschule","Ostdeutschland","","","",""
"Benelux","1984","Realschule","Westdeutschland","","","",""
"Benelux","1984","Realschule","Ostdeutschland","","","",""
"Benelux","1984","(Fach-)Abitur","Westdeutschland","1","","",""
"Benelux","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Benelux","1984","AkademikerIn","Westdeutschland","","","",""
"Benelux","1984","AkademikerIn","Ostdeutschland","","","",""
"Dänemark","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Dänemark","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Dänemark","1984","Hauptschule","Westdeutschland","","","",""
"Dänemark","1984","Hauptschule","Ostdeutschland","","","",""
"Dänemark","1984","Realschule","Westdeutschland","","","",""
"Dänemark","1984","Realschule","Ostdeutschland","","","",""
"Dänemark","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Dänemark","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Dänemark","1984","AkademikerIn","Westdeutschland","","","",""
"Dänemark","1984","AkademikerIn","Ostdeutschland","","","",""
