"corigin","year","quintil_oecd","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Deutschland","1995","1 Einkommensschwächstes Quintil","Westdeutschland","1933","0.763346616768325","0.748749856913892","0.777943376622758"
"Deutschland","1995","1 Einkommensschwächstes Quintil","Ostdeutschland","1650","0.951467645222711","0.941297463267171","0.961637827178252"
"Deutschland","1995","2","Westdeutschland","1930","0.859998209854708","0.846734397597852","0.873262022111563"
"Deutschland","1995","2","Ostdeutschland","1162","0.951876648810955","0.939812318799548","0.963940978822363"
"Deutschland","1995","3","Westdeutschland","1394","0.884647341817489","0.869408191190461","0.899886492444517"
"Deutschland","1995","3","Ostdeutschland","492","0.952469747840878","0.933985582087776","0.970953913593981"
"Deutschland","1995","4","Westdeutschland","1091","0.912157993517728","0.896522147536919","0.927793839498536"
"Deutschland","1995","4","Ostdeutschland","205","0.983599925013614","0.966339615315245","1.00086023471198"
"Deutschland","1995","5 Einkommensstärkstes Quintil","Westdeutschland","605","0.91100740308713","0.889559163619153","0.932455642555108"
"Deutschland","1995","5 Einkommensstärkstes Quintil","Ostdeutschland","41","0.981864106090055","0.94150712967012","1.02222108250999"
"Türkei","1995","1 Einkommensschwächstes Quintil","Westdeutschland","485","0.0633731998356454","0.0550060928922595","0.0717403067790314"
"Türkei","1995","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Türkei","1995","2","Westdeutschland","157","0.0195399748444567","0.0142490725226125","0.0248308771663009"
"Türkei","1995","2","Ostdeutschland","","","",""
"Türkei","1995","3","Westdeutschland","40","0.0134695295453798","0.00797040779177366","0.0189686512989859"
"Türkei","1995","3","Ostdeutschland","","","",""
"Türkei","1995","4","Westdeutschland","18","","",""
"Türkei","1995","4","Ostdeutschland","","","",""
"Türkei","1995","5 Einkommensstärkstes Quintil","Westdeutschland","5","","",""
"Türkei","1995","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ex-Jugoslawien","1995","1 Einkommensschwächstes Quintil","Westdeutschland","56","0.0124004226540745","0.0085998599397964","0.0162009853683527"
"Ex-Jugoslawien","1995","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ex-Jugoslawien","1995","2","Westdeutschland","26","","",""
"Ex-Jugoslawien","1995","2","Ostdeutschland","","","",""
"Ex-Jugoslawien","1995","3","Westdeutschland","24","","",""
"Ex-Jugoslawien","1995","3","Ostdeutschland","","","",""
"Ex-Jugoslawien","1995","4","Westdeutschland","6","","",""
"Ex-Jugoslawien","1995","4","Ostdeutschland","","","",""
"Ex-Jugoslawien","1995","5 Einkommensstärkstes Quintil","Westdeutschland","1","","",""
"Ex-Jugoslawien","1995","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Griechenland","1995","1 Einkommensschwächstes Quintil","Westdeutschland","90","0.008498159130295","0.00534570770296045","0.0116506105576295"
"Griechenland","1995","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Griechenland","1995","2","Westdeutschland","69","0.00498839534953528","0.00229532744717099","0.00768146325189958"
"Griechenland","1995","2","Ostdeutschland","","","",""
"Griechenland","1995","3","Westdeutschland","31","0.00584893307363031","0.00221123720085959","0.00948662894640104"
"Griechenland","1995","3","Ostdeutschland","","","",""
"Griechenland","1995","4","Westdeutschland","26","","",""
"Griechenland","1995","4","Ostdeutschland","","","",""
"Griechenland","1995","5 Einkommensstärkstes Quintil","Westdeutschland","4","","",""
"Griechenland","1995","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Italien","1995","1 Einkommensschwächstes Quintil","Westdeutschland","156","0.0167597209339853","0.0123511032954731","0.0211683385724974"
"Italien","1995","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Italien","1995","2","Westdeutschland","88","0.011776326281318","0.00765264264167147","0.0159000099209644"
"Italien","1995","2","Ostdeutschland","","","",""
