"corigin","year","migback","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Deutschland","1985","kein Migrationshintergrund","Städtischer Raum","5977","1","1","1"
"Deutschland","1985","kein Migrationshintergrund","Ländlicher Raum","2002","1","1","1"
"Deutschland","1985","direkter Migrationshintergrund","Städtischer Raum","","","",""
"Deutschland","1985","direkter Migrationshintergrund","Ländlicher Raum","","","",""
"Deutschland","1985","indirekter Migrationshintergrund","Städtischer Raum","123","1","1","1"
"Deutschland","1985","indirekter Migrationshintergrund","Ländlicher Raum","18","","",""
"Deutschland","1985","Migrationshintergrund - n. w. differenzierbar","Städtischer Raum","","","",""
"Deutschland","1985","Migrationshintergrund - n. w. differenzierbar","Ländlicher Raum","","","",""
"Türkei","1985","kein Migrationshintergrund","Städtischer Raum","","","",""
"Türkei","1985","kein Migrationshintergrund","Ländlicher Raum","","","",""
"Türkei","1985","direkter Migrationshintergrund","Städtischer Raum","785","0.238111968841642","0.221425906771291","0.254798030911992"
"Türkei","1985","direkter Migrationshintergrund","Ländlicher Raum","74","0.117168269073752","0.0827277521122191","0.151608786035285"
"Türkei","1985","indirekter Migrationshintergrund","Städtischer Raum","","","",""
"Türkei","1985","indirekter Migrationshintergrund","Ländlicher Raum","","","",""
"Türkei","1985","Migrationshintergrund - n. w. differenzierbar","Städtischer Raum","","","",""
"Türkei","1985","Migrationshintergrund - n. w. differenzierbar","Ländlicher Raum","","","",""
"Ex-Jugoslawien","1985","kein Migrationshintergrund","Städtischer Raum","","","",""
"Ex-Jugoslawien","1985","kein Migrationshintergrund","Ländlicher Raum","","","",""
"Ex-Jugoslawien","1985","direkter Migrationshintergrund","Städtischer Raum","236","0.0864280565106793","0.0754198538422678","0.0974362591790907"
"Ex-Jugoslawien","1985","direkter Migrationshintergrund","Ländlicher Raum","39","0.0844748954834793","0.0546948986092344","0.114254892357724"
"Ex-Jugoslawien","1985","indirekter Migrationshintergrund","Städtischer Raum","","","",""
"Ex-Jugoslawien","1985","indirekter Migrationshintergrund","Ländlicher Raum","","","",""
"Ex-Jugoslawien","1985","Migrationshintergrund - n. w. differenzierbar","Städtischer Raum","","","",""
"Ex-Jugoslawien","1985","Migrationshintergrund - n. w. differenzierbar","Ländlicher Raum","","","",""
"Griechenland","1985","kein Migrationshintergrund","Städtischer Raum","","","",""
"Griechenland","1985","kein Migrationshintergrund","Ländlicher Raum","","","",""
"Griechenland","1985","direkter Migrationshintergrund","Städtischer Raum","330","0.0588007775673338","0.0495846181024341","0.0680169370322336"
"Griechenland","1985","direkter Migrationshintergrund","Ländlicher Raum","41","0.0452953051249478","0.0230270180514047","0.067563592198491"
"Griechenland","1985","indirekter Migrationshintergrund","Städtischer Raum","","","",""
"Griechenland","1985","indirekter Migrationshintergrund","Ländlicher Raum","","","",""
"Griechenland","1985","Migrationshintergrund - n. w. differenzierbar","Städtischer Raum","","","",""
"Griechenland","1985","Migrationshintergrund - n. w. differenzierbar","Ländlicher Raum","","","",""
"Italien","1985","kein Migrationshintergrund","Städtischer Raum","","","",""
"Italien","1985","kein Migrationshintergrund","Ländlicher Raum","","","",""
"Italien","1985","direkter Migrationshintergrund","Städtischer Raum","429","0.111535447191366","0.0992031445119092","0.123867749870823"
"Italien","1985","direkter Migrationshintergrund","Ländlicher Raum","54","0.112985108960518","0.0790849490155167","0.14688526890552"
"Italien","1985","indirekter Migrationshintergrund","Städtischer Raum","","","",""
"Italien","1985","indirekter Migrationshintergrund","Ländlicher Raum","","","",""
"Italien","1985","Migrationshintergrund - n. w. differenzierbar","Städtischer Raum","","","",""
"Italien","1985","Migrationshintergrund - n. w. differenzierbar","Ländlicher Raum","","","",""
"Spanien","1985","kein Migrationshintergrund","Städtischer Raum","","","",""
"Spanien","1985","kein Migrationshintergrund","Ländlicher Raum","","","",""
"Spanien","1985","direkter Migrationshintergrund","Städtischer Raum","257","0.0290048079905842","0.0224303310970446","0.0355792848841239"
"Spanien","1985","direkter Migrationshintergrund","Ländlicher Raum","35","0.02624412258692","0.00912558099502649","0.0433626641788134"
"Spanien","1985","indirekter Migrationshintergrund","Städtischer Raum","","","",""
"Spanien","1985","indirekter Migrationshintergrund","Ländlicher Raum","","","",""
"Spanien","1985","Migrationshintergrund - n. w. differenzierbar","Städtischer Raum","","","",""
"Spanien","1985","Migrationshintergrund - n. w. differenzierbar","Ländlicher Raum","","","",""
"österreich","1985","kein Migrationshintergrund","Städtischer Raum","","","",""
"österreich","1985","kein Migrationshintergrund","Ländlicher Raum","","","",""
"österreich","1985","direkter Migrationshintergrund","Städtischer Raum","30","0.044602416155092","0.0365153884996682","0.0526894438105158"
"österreich","1985","direkter Migrationshintergrund","Ländlicher Raum","4","","",""
"österreich","1985","indirekter Migrationshintergrund","Städtischer Raum","","","",""
"österreich","1985","indirekter Migrationshintergrund","Ländlicher Raum","","","",""
"österreich","1985","Migrationshintergrund - n. w. differenzierbar","Städtischer Raum","","","",""
"österreich","1985","Migrationshintergrund - n. w. differenzierbar","Ländlicher Raum","","","",""
"Frankreich","1985","kein Migrationshintergrund","Städtischer Raum","","","",""
"Frankreich","1985","kein Migrationshintergrund","Ländlicher Raum","","","",""
"Frankreich","1985","direkter Migrationshintergrund","Städtischer Raum","11","","",""
"Frankreich","1985","direkter Migrationshintergrund","Ländlicher Raum","2","","",""
"Frankreich","1985","indirekter Migrationshintergrund","Städtischer Raum","","","",""
"Frankreich","1985","indirekter Migrationshintergrund","Ländlicher Raum","","","",""
"Frankreich","1985","Migrationshintergrund - n. w. differenzierbar","Städtischer Raum","","","",""
"Frankreich","1985","Migrationshintergrund - n. w. differenzierbar","Ländlicher Raum","","","",""
"Benelux","1985","kein Migrationshintergrund","Städtischer Raum","","","",""
"Benelux","1985","kein Migrationshintergrund","Ländlicher Raum","","","",""
"Benelux","1985","direkter Migrationshintergrund","Städtischer Raum","4","","",""
"Benelux","1985","direkter Migrationshintergrund","Ländlicher Raum","","","",""
"Benelux","1985","indirekter Migrationshintergrund","Städtischer Raum","","","",""
"Benelux","1985","indirekter Migrationshintergrund","Ländlicher Raum","","","",""
"Benelux","1985","Migrationshintergrund - n. w. differenzierbar","Städtischer Raum","","","",""
"Benelux","1985","Migrationshintergrund - n. w. differenzierbar","Ländlicher Raum","","","",""
"Dänemark","1985","kein Migrationshintergrund","Städtischer Raum","","","",""
"Dänemark","1985","kein Migrationshintergrund","Ländlicher Raum","","","",""
"Dänemark","1985","direkter Migrationshintergrund","Städtischer Raum","","","",""
"Dänemark","1985","direkter Migrationshintergrund","Ländlicher Raum","","","",""
"Dänemark","1985","indirekter Migrationshintergrund","Städtischer Raum","","","",""
