"corigin","year","quintil_oecd","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Deutschland","1995","1 Einkommensschwächstes Quintil","männlich","1599","0.793556441884165","0.776986142201265","0.810126741567065"
"Deutschland","1995","1 Einkommensschwächstes Quintil","weiblich","1984","0.830426208132404","0.816218939791647","0.844633476473161"
"Deutschland","1995","2","männlich","1476","0.88597871790561","0.871424463524954","0.900532972286265"
"Deutschland","1995","2","weiblich","1616","0.875946273095493","0.861520926079235","0.890371620111752"
"Deutschland","1995","3","männlich","925","0.880079276843003","0.860863633125727","0.899294920560279"
"Deutschland","1995","3","weiblich","961","0.909371106035667","0.892398319067736","0.926343893003599"
"Deutschland","1995","4","männlich","667","0.911634812313115","0.891561523480485","0.931708101145745"
"Deutschland","1995","4","weiblich","629","0.925484019397594","0.906016138721607","0.944951900073581"
"Deutschland","1995","5 Einkommensstärkstes Quintil","männlich","334","0.920290271751769","0.892767339511486","0.947813203992053"
"Deutschland","1995","5 Einkommensstärkstes Quintil","weiblich","312","0.906788562164509","0.876199161076084","0.937377963252934"
"Türkei","1995","1 Einkommensschwächstes Quintil","männlich","253","0.0561991640177817","0.0467705926900228","0.0656277353455405"
"Türkei","1995","1 Einkommensschwächstes Quintil","weiblich","232","0.0383206128798299","0.0310526605377413","0.0455885652219184"
"Türkei","1995","2","männlich","77","0.0155707856349929","0.00990144089831057","0.0212401303716752"
"Türkei","1995","2","weiblich","80","0.0147501456948636","0.00947476298768155","0.0200255284020456"
"Türkei","1995","3","männlich","23","","",""
"Türkei","1995","3","weiblich","17","","",""
"Türkei","1995","4","männlich","11","","",""
"Türkei","1995","4","weiblich","7","","",""
"Türkei","1995","5 Einkommensstärkstes Quintil","männlich","2","","",""
"Türkei","1995","5 Einkommensstärkstes Quintil","weiblich","3","","",""
"Ex-Jugoslawien","1995","1 Einkommensschwächstes Quintil","männlich","29","","",""
"Ex-Jugoslawien","1995","1 Einkommensschwächstes Quintil","weiblich","27","","",""
"Ex-Jugoslawien","1995","2","männlich","11","","",""
"Ex-Jugoslawien","1995","2","weiblich","15","","",""
"Ex-Jugoslawien","1995","3","männlich","14","","",""
