year,pgisced97,plh0038,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,Very concerned,0.53411,107,162,0.45706,0.61117
1984,Pre-primary Level,Somewhat concerned,0.30163,55,162,0.23073,0.37252
1984,Primary Level,Very concerned,0.39139,392,975,0.36073,0.42204
1984,Primary Level,Somewhat concerned,0.35459,345,975,0.32455,0.38464
1984,Primary Level,Not concerned at all,0.22684,238,975,0.20054,0.25314
1984,Lower Secondary Level,Very concerned,0.52166,1761,3413,0.50489,0.53842
1984,Lower Secondary Level,Somewhat concerned,0.37210,1255,3413,0.35588,0.38832
1984,Lower Secondary Level,Not concerned at all,0.09720,397,3413,0.08726,0.10714
1984,Upper Secondary Level,Very concerned,0.53032,2980,5650,0.51730,0.54333
1984,Upper Secondary Level,Somewhat concerned,0.37198,2125,5650,0.35938,0.38458
1984,Upper Secondary Level,Not concerned at all,0.08953,545,5650,0.08208,0.09698
1984,Post-secondary Non-tertiary Level,Very concerned,0.62723,189,280,0.57049,0.68397
1984,Post-secondary Non-tertiary Level,Somewhat concerned,0.28321,91,280,0.23034,0.33608
1984,First Stage of Tertiary Education,Very concerned,0.53823,358,655,0.50002,0.57644
1984,First Stage of Tertiary Education,Somewhat concerned,0.37117,245,655,0.33415,0.40820
1984,First Stage of Tertiary Education,Not concerned at all,0.08249,52,655,0.06140,0.10357
1984,Second Stage of Tertiary Education,Very concerned,0.55710,446,782,0.52226,0.59194
1984,Second Stage of Tertiary Education,Somewhat concerned,0.34870,271,782,0.31527,0.38212
1984,Second Stage of Tertiary Education,Not concerned at all,0.08781,65,782,0.06796,0.10766
1985,Pre-primary Level,Very concerned,0.45694,83,186,0.38516,0.52872
1985,Pre-primary Level,Somewhat concerned,0.37743,71,186,0.30758,0.44728
1985,Pre-primary Level,Not concerned at all,0.15697,32,186,0.10455,0.20940
1985,Primary Level,Very concerned,0.39340,346,806,0.35965,0.42714
1985,Primary Level,Somewhat concerned,0.35905,294,806,0.32591,0.39219
1985,Primary Level,Not concerned at all,0.19827,166,806,0.17073,0.22581
1985,Lower Secondary Level,Very concerned,0.47712,1448,3020,0.45930,0.49494
1985,Lower Secondary Level,Somewhat concerned,0.39377,1187,3020,0.37634,0.41120
