year,plh0038,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Very concerned,0.53404,6266,12032,0.52512,0.54295
1984,Somewhat concerned,0.37018,4409,12032,0.36155,0.37881
1984,Not concerned at all,0.09579,1357,12032,0.09053,0.10104
1985,Very concerned,0.48994,5294,10891,0.48055,0.49933
1985,Somewhat concerned,0.40431,4318,10891,0.39509,0.41353
1985,Not concerned at all,0.10575,1279,10891,0.09998,0.11153
1986,Very concerned,0.45366,4775,10486,0.44413,0.46319
1986,Somewhat concerned,0.42476,4360,10486,0.41529,0.43422
1986,Not concerned at all,0.12159,1351,10486,0.11533,0.12784
1987,Very concerned,0.46201,4585,10338,0.45240,0.47163
1987,Somewhat concerned,0.42514,4475,10338,0.41561,0.43467
1987,Not concerned at all,0.11284,1278,10338,0.10674,0.11894
1988,Very concerned,0.40722,3979,9876,0.39753,0.41691
1988,Somewhat concerned,0.46629,4628,9876,0.45645,0.47613
1988,Not concerned at all,0.12648,1269,9876,0.11993,0.13304
1989,Very concerned,0.33917,3271,9552,0.32967,0.34866
1989,Somewhat concerned,0.47718,4526,9552,0.46716,0.48720
1989,Not concerned at all,0.18365,1755,9552,0.17589,0.19142
1990,Very concerned,0.28852,4301,13773,0.28096,0.29609
1990,Somewhat concerned,0.46416,6277,13773,0.45583,0.47249
1990,Not concerned at all,0.24731,3195,13773,0.24011,0.25452
1991,Very concerned,0.43533,5838,13483,0.42696,0.44370
1991,Somewhat concerned,0.45475,6125,13483,0.44634,0.46315
1991,Not concerned at all,0.10992,1520,13483,0.10464,0.11520
1992,Very concerned,0.41664,5768,13224,0.40824,0.42504
1992,Somewhat concerned,0.46151,5908,13224,0.45301,0.47001
1992,Not concerned at all,0.12185,1548,13224,0.11627,0.12742
1993,Very concerned,0.46842,6315,13015,0.45984,0.47699
1993,Somewhat concerned,0.43906,5573,13015,0.43053,0.44758
1993,Not concerned at all,0.09252,1127,13015,0.08755,0.09750
1994,Very concerned,0.45555,5986,12803,0.44692,0.46418
1994,Somewhat concerned,0.44977,5655,12803,0.44115,0.45839
1994,Not concerned at all,0.09468,1162,12803,0.08961,0.09975
1995,Very concerned,0.45848,6253,13158,0.44997,0.46700
1995,Somewhat concerned,0.44117,5665,13158,0.43269,0.44966
1995,Not concerned at all,0.10034,1240,13158,0.09521,0.10548
1996,Very concerned,0.38717,5225,12994,0.37879,0.39554
1996,Somewhat concerned,0.48318,6154,12994,0.47459,0.49177
1996,Not concerned at all,0.12965,1615,12994,0.12388,0.13543
1997,Very concerned,0.32762,4226,12757,0.31947,0.33576
1997,Somewhat concerned,0.47619,6112,12757,0.46753,0.48486
1997,Not concerned at all,0.19619,2419,12757,0.18930,0.20308
1998,Very concerned,0.38309,5359,14166,0.37508,0.39109
1998,Somewhat concerned,0.46622,6749,14166,0.45800,0.47443
1998,Not concerned at all,0.15070,2058,14166,0.14481,0.15659
1999,Very concerned,0.39975,5203,13634,0.39153,0.40797
1999,Somewhat concerned,0.46479,6497,13634,0.45642,0.47316
1999,Not concerned at all,0.13546,1934,13634,0.12972,0.14121
2000,Very concerned,0.32770,7777,23896,0.32174,0.33365
2000,Somewhat concerned,0.48357,11679,23896,0.47724,0.48991
2000,Not concerned at all,0.18873,4440,23896,0.18377,0.19369
2001,Very concerned,0.29724,6338,21743,0.29116,0.30331
2001,Somewhat concerned,0.49567,10920,21743,0.48902,0.50231
2001,Not concerned at all,0.20710,4485,21743,0.20171,0.21248
2002,Very concerned,0.44579,9973,22895,0.43935,0.45223
2002,Somewhat concerned,0.43436,10173,22895,0.42794,0.44078
2002,Not concerned at all,0.11985,2749,22895,0.11564,0.12406
2003,Very concerned,0.63475,13547,22058,0.62840,0.64111
2003,Somewhat concerned,0.30395,7136,22058,0.29788,0.31002
2003,Not concerned at all,0.06129,1375,22058,0.05813,0.06446
2004,Very concerned,0.41223,8555,21444,0.40564,0.41882
2004,Somewhat concerned,0.45238,9946,21444,0.44572,0.45904
2004,Not concerned at all,0.13539,2943,21444,0.13081,0.13997
2005,Very concerned,0.40058,8009,20587,0.39389,0.40727
2005,Somewhat concerned,0.45996,9684,20587,0.45315,0.46677
2005,Not concerned at all,0.13946,2894,20587,0.13473,0.14419
2006,Very concerned,0.42762,9322,21826,0.42106,0.43419
2006,Somewhat concerned,0.45748,10022,21826,0.45087,0.46409
2006,Not concerned at all,0.11489,2482,21826,0.11066,0.11913
2007,Very concerned,0.36953,7365,20371,0.36290,0.37616
2007,Somewhat concerned,0.48711,10102,20371,0.48025,0.49397
2007,Not concerned at all,0.14336,2904,20371,0.13854,0.14817
2008,Very concerned,0.32867,6125,19243,0.32204,0.33531
2008,Somewhat concerned,0.50841,9984,19243,0.50135,0.51547
2008,Not concerned at all,0.16291,3134,19243,0.15770,0.16813
2009,Very concerned,0.31540,5457,17952,0.30860,0.32220
2009,Somewhat concerned,0.52204,9581,17952,0.51474,0.52935
2009,Not concerned at all,0.16256,2914,17952,0.15716,0.16796
2010,Very concerned,0.32040,7439,23867,0.31448,0.32632
2010,Somewhat concerned,0.51244,12536,23867,0.50610,0.51878
2010,Not concerned at all,0.16716,3892,23867,0.16242,0.17189
2011,Very concerned,0.34073,6850,20476,0.33424,0.34722
2011,Somewhat concerned,0.50305,10414,20476,0.49621,0.50990
2011,Not concerned at all,0.15621,3212,20476,0.15124,0.16119
2012,Very concerned,0.31812,6598,20380,0.31173,0.32452
2012,Somewhat concerned,0.50791,10299,20380,0.50104,0.51477
2012,Not concerned at all,0.17397,3483,20380,0.16877,0.17918
2013,Very concerned,0.29943,5670,18763,0.29287,0.30598
2013,Somewhat concerned,0.51986,9790,18763,0.51271,0.52701
2013,Not concerned at all,0.18071,3303,18763,0.17521,0.18622
2014,Very concerned,0.37529,10531,26943,0.36951,0.38107
