year,migback,pgisced97,plh0038,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Pre-primary Level,Very concerned,0.55434,87,137,0.47081,0.63788
1984,No migration background,Pre-primary Level,Somewhat concerned,0.31075,50,137,0.23297,0.38853
1984,No migration background,Primary Level,Somewhat concerned,0.45033,34,34,0.28058,0.62008
1984,No migration background,Lower Secondary Level,Very concerned,0.52582,1215,2319,0.50549,0.54615
1984,No migration background,Lower Secondary Level,Somewhat concerned,0.38110,890,2319,0.36133,0.40087
1984,No migration background,Lower Secondary Level,Not concerned at all,0.09308,214,2319,0.08125,0.10491
1984,No migration background,Upper Secondary Level,Very concerned,0.53512,2462,4592,0.52069,0.54955
1984,No migration background,Upper Secondary Level,Somewhat concerned,0.37702,1734,4592,0.36300,0.39104
1984,No migration background,Upper Secondary Level,Not concerned at all,0.08786,396,4592,0.07967,0.09605
1984,No migration background,Post-secondary Non-tertiary Level,Very concerned,0.63408,118,170,0.56146,0.70671
1984,No migration background,Post-secondary Non-tertiary Level,Somewhat concerned,0.27680,52,170,0.20934,0.34425
1984,No migration background,First Stage of Tertiary Education,Very concerned,0.55025,332,600,0.51041,0.59009
1984,No migration background,First Stage of Tertiary Education,Somewhat concerned,0.36827,221,600,0.32965,0.40690
1984,No migration background,First Stage of Tertiary Education,Not concerned at all,0.08148,47,600,0.05957,0.10339
1984,No migration background,Second Stage of Tertiary Education,Very concerned,0.56232,373,661,0.52447,0.60017
1984,No migration background,Second Stage of Tertiary Education,Somewhat concerned,0.35509,238,661,0.31858,0.39160
1984,No migration background,Second Stage of Tertiary Education,Not concerned at all,0.08259,50,661,0.06159,0.10359
1984,Direct migration background,Primary Level,Very concerned,0.42357,364,897,0.39121,0.45592
1984,Direct migration background,Primary Level,Somewhat concerned,0.32054,309,897,0.28998,0.35109
1984,Direct migration background,Primary Level,Not concerned at all,0.25590,224,897,0.22733,0.28447
1984,Direct migration background,Lower Secondary Level,Very concerned,0.53149,520,1043,0.50120,0.56179
1984,Direct migration background,Lower Secondary Level,Somewhat concerned,0.32438,350,1043,0.29596,0.35281
1984,Direct migration background,Lower Secondary Level,Not concerned at all,0.14412,173,1043,0.12280,0.16545
1984,Direct migration background,Upper Secondary Level,Very concerned,0.52193,485,1007,0.49106,0.55280
1984,Direct migration background,Upper Secondary Level,Somewhat concerned,0.35486,376,1007,0.32530,0.38443
1984,Direct migration background,Upper Secondary Level,Not concerned at all,0.12320,146,1007,0.10289,0.14352
1984,Direct migration background,Post-secondary Non-tertiary Level,Very concerned,0.59105,70,109,0.49833,0.68378
1984,Direct migration background,Post-secondary Non-tertiary Level,Somewhat concerned,0.32107,39,109,0.23302,0.40913
1984,Direct migration background,Second Stage of Tertiary Education,Very concerned,0.53985,71,103,0.44312,0.63657
1984,Direct migration background,Second Stage of Tertiary Education,Somewhat concerned,0.30696,32,103,0.21745,0.39647
1984,Indirect migration background,Upper Secondary Level,Very concerned,0.68642,33,33,0.52567,0.84717
1985,No migration background,Pre-primary Level,Very concerned,0.45856,70,128,0.37190,0.54522
1985,No migration background,Pre-primary Level,Somewhat concerned,0.37965,58,128,0.29525,0.46406
1985,No migration background,Primary Level,Somewhat concerned,0.43415,36,36,0.26994,0.59836
1985,No migration background,Lower Secondary Level,Very concerned,0.48255,992,2060,0.46097,0.50413
1985,No migration background,Lower Secondary Level,Somewhat concerned,0.40699,840,2060,0.38577,0.42821
1985,No migration background,Lower Secondary Level,Not concerned at all,0.11046,228,2060,0.09692,0.12400
1985,No migration background,Upper Secondary Level,Very concerned,0.49675,2071,4186,0.48160,0.51190
1985,No migration background,Upper Secondary Level,Somewhat concerned,0.40378,1709,4186,0.38891,0.41865
1985,No migration background,Upper Secondary Level,Not concerned at all,0.09947,406,4186,0.09040,0.10853
1985,No migration background,Post-secondary Non-tertiary Level,Very concerned,0.55149,99,164,0.47514,0.62784
1985,No migration background,Post-secondary Non-tertiary Level,Somewhat concerned,0.39291,65,164,0.31793,0.46789
1985,No migration background,First Stage of Tertiary Education,Very concerned,0.44080,248,564,0.39978,0.48181
1985,No migration background,First Stage of Tertiary Education,Somewhat concerned,0.46790,264,564,0.42668,0.50912
1985,No migration background,First Stage of Tertiary Education,Not concerned at all,0.09130,52,564,0.06751,0.11510
