,Unnamed: 0,year,migback,sampreg,plh0038,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,No migration background,West,Very concerned,0.53636,4621,12018,0.5322,0.53976
1,1,1984,No migration background,West,Somewhat concerned,0.37352,3224,12018,0.37,0.37698
2,2,1984,No migration background,West,Not concerned at all,0.09011,756,12018,0.08844,0.09172
3,3,1984,Direct migration background,West,Very concerned,0.50972,1576,12018,0.47923,0.54074
4,4,1984,Direct migration background,West,Somewhat concerned,0.33859,1146,12018,0.3184,0.35914
5,5,1984,Direct migration background,West,Not concerned at all,0.15169,587,12018,0.14015,0.16666
6,6,1984,Indirect migration background,West,Very concerned,0.6218,69,12018,0.41927,0.827
7,7,1984,Indirect migration background,West,Somewhat concerned,0.3782,39,12018,0.22722,0.57067
8,8,1985,No migration background,West,Very concerned,0.48934,3862,10867,0.48371,0.49421
9,9,1985,No migration background,West,Somewhat concerned,0.40808,3243,10867,0.40288,0.41231
10,10,1985,No migration background,West,Not concerned at all,0.10258,792,10867,0.1002,0.10438
11,11,1985,Direct migration background,West,Very concerned,0.49343,1364,10867,0.46785,0.52163
12,12,1985,Direct migration background,West,Somewhat concerned,0.36992,1028,10867,0.34725,0.40086
13,13,1985,Direct migration background,West,Not concerned at all,0.13665,463,10867,0.1235,0.1504
14,14,1985,Indirect migration background,West,Very concerned,0.59766,68,10867,0.4113,0.77589
15,15,1985,Indirect migration background,West,Somewhat concerned,0.40234,47,10867,0.27512,0.52157
16,16,1986,No migration background,West,Very concerned,0.45542,3437,10464,0.45004,0.46117
17,17,1986,No migration background,West,Somewhat concerned,0.42533,3216,10464,0.41937,0.43064
18,18,1986,No migration background,West,Not concerned at all,0.11925,888,10464,0.11657,0.12246
19,19,1986,Direct migration background,West,Very concerned,0.43345,1256,10464,0.40683,0.46279
20,20,1986,Direct migration background,West,Somewhat concerned,0.42168,1095,10464,0.39553,0.45342
21,21,1986,Direct migration background,West,Not concerned at all,0.14487,441,10464,0.12773,0.15801
22,22,1986,Indirect migration background,West,Very concerned,0.58641,82,10464,0.41779,0.76637
23,23,1986,Indirect migration background,West,Somewhat concerned,0.41359,49,10464,0.2744,0.59152
24,24,1987,No migration background,West,Very concerned,0.46552,3410,10317,0.45949,0.47155
25,25,1987,No migration background,West,Somewhat concerned,0.42561,3189,10317,0.42013,0.43044
26,26,1987,No migration background,West,Not concerned at all,0.10887,788,10317,0.10616,0.11168
27,27,1987,Direct migration background,West,Very concerned,0.42858,1103,10317,0.40189,0.46255
28,28,1987,Direct migration background,West,Somewhat concerned,0.42055,1207,10317,0.39536,0.44575
29,29,1987,Direct migration background,West,Not concerned at all,0.15087,469,10317,0.13445,0.1677
30,30,1987,Indirect migration background,West,Very concerned,0.54694,72,10317,0.42623,0.72012
31,31,1987,Indirect migration background,West,Somewhat concerned,0.45306,79,10317,0.3184,0.59256
32,32,1988,No migration background,West,Very concerned,0.40439,2816,9876,0.39787,0.41039
33,33,1988,No migration background,West,Somewhat concerned,0.47024,3361,9876,0.4653,0.4765
34,34,1988,No migration background,West,Not concerned at all,0.12537,842,9876,0.12174,0.12866
35,35,1988,Direct migration background,West,Very concerned,0.42331,1064,9876,0.39718,0.45576
36,36,1988,Direct migration background,West,Somewhat concerned,0.44096,1180,9876,0.41272,0.47701
37,37,1988,Direct migration background,West,Not concerned at all,0.13573,394,9876,0.11999,0.15326
38,38,1988,Indirect migration background,West,Very concerned,0.53857,99,9876,0.43033,0.70806
39,39,1988,Indirect migration background,West,Somewhat concerned,0.32926,87,9876,0.25048,0.43019
40,40,1988,Indirect migration background,West,Not concerned at all,0.13217,33,9876,0.07907,0.19559
41,41,1989,No migration background,West,Very concerned,0.33442,2214,9552,0.32852,0.33975
42,42,1989,No migration background,West,Somewhat concerned,0.48263,3329,9552,0.47508,0.48942
43,43,1989,No migration background,West,Not concerned at all,0.18295,1211,9552,0.17856,0.18731
44,44,1989,Direct migration background,West,Very concerned,0.3759,962,9552,0.34657,0.40198
45,45,1989,Direct migration background,West,Somewhat concerned,0.43496,1083,9552,0.40407,0.46143
46,46,1989,Direct migration background,West,Not concerned at all,0.18914,500,9552,0.16865,0.20796
47,47,1989,Indirect migration background,West,Very concerned,0.37293,95,9552,0.28713,0.47849
48,48,1989,Indirect migration background,West,Somewhat concerned,0.44011,114,9552,0.33021,0.55955
49,49,1989,Indirect migration background,West,Not concerned at all,0.18696,44,9552,0.12656,0.26273
50,50,1990,No migration background,West,Very concerned,0.2498,1641,13752,0.24461,0.25467
51,51,1990,No migration background,West,Somewhat concerned,0.48252,3194,13752,0.47369,0.49069
52,52,1990,No migration background,West,Not concerned at all,0.26769,1744,13752,0.26177,0.27344
53,53,1990,No migration background,East,Very concerned,0.40802,1703,13752,0.39943,0.41576
54,54,1990,No migration background,East,Somewhat concerned,0.40593,1764,13752,0.39706,0.41528
55,55,1990,No migration background,East,Not concerned at all,0.18605,796,13752,0.18101,0.19052
56,56,1990,Direct migration background,West,Very concerned,0.32065,798,13752,0.29737,0.34185
57,57,1990,Direct migration background,West,Somewhat concerned,0.45404,1139,13752,0.42626,0.48128
