year,migback,regtyp,plh0038,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Urban regions,Very concerned,0.42584,2975,5946,0.41327,0.43841
1985,No migration background,Urban regions,Somewhat concerned,0.33883,2372,5946,0.32680,0.35086
1985,No migration background,Urban regions,Not concerned at all,0.08794,599,5946,0.08074,0.09514
1985,No migration background,Rural regions,Very concerned,0.37811,887,1950,0.35658,0.39964
1985,No migration background,Rural regions,Somewhat concerned,0.36154,870,1950,0.34021,0.38287
1985,No migration background,Rural regions,Not concerned at all,0.08313,193,1950,0.07087,0.09539
1985,Direct migration background,Urban regions,Very concerned,0.43882,1201,2515,0.41943,0.45822
1985,Direct migration background,Urban regions,Somewhat concerned,0.32989,897,2515,0.31151,0.34827
1985,Direct migration background,Urban regions,Not concerned at all,0.12662,417,2515,0.11362,0.13962
1985,Direct migration background,Rural regions,Very concerned,0.44114,163,340,0.38829,0.49400
1985,Direct migration background,Rural regions,Somewhat concerned,0.32585,131,340,0.27596,0.37574
1985,Direct migration background,Rural regions,Not concerned at all,0.09240,46,340,0.06157,0.12323
1985,Indirect migration background,Urban regions,Very concerned,0.07042,60,101,0.02027,0.12057
1985,Indirect migration background,Urban regions,Somewhat concerned,0.05233,41,101,0.00868,0.09598
1986,No migration background,Urban regions,Very concerned,0.39762,2664,5710,0.38492,0.41032
1986,No migration background,Urban regions,Somewhat concerned,0.35948,2396,5710,0.34704,0.37193
1986,No migration background,Urban regions,Not concerned at all,0.09829,650,5710,0.09057,0.10601
1986,No migration background,Rural regions,Very concerned,0.35041,774,1831,0.32855,0.37227
1986,No migration background,Rural regions,Somewhat concerned,0.36169,819,1831,0.33967,0.38370
1986,No migration background,Rural regions,Not concerned at all,0.10863,238,1831,0.09437,0.12288
1986,Direct migration background,Urban regions,Very concerned,0.38996,1095,2436,0.37059,0.40934
1986,Direct migration background,Urban regions,Somewhat concerned,0.39051,971,2436,0.37113,0.40988
1986,Direct migration background,Urban regions,Not concerned at all,0.12676,370,2436,0.11354,0.13997
1986,Direct migration background,Rural regions,Very concerned,0.40654,161,356,0.35544,0.45763
1986,Direct migration background,Rural regions,Somewhat concerned,0.33338,124,356,0.28434,0.38242
1986,Direct migration background,Rural regions,Not concerned at all,0.15565,71,356,0.11793,0.19336
1986,Indirect migration background,Urban regions,Very concerned,0.07373,70,114,0.02555,0.12192
1986,Indirect migration background,Urban regions,Somewhat concerned,0.06280,44,114,0.01807,0.10753
1987,No migration background,Urban regions,Very concerned,0.40532,2624,5588,0.39245,0.41820
1987,No migration background,Urban regions,Somewhat concerned,0.35373,2371,5588,0.34119,0.36626
1987,No migration background,Urban regions,Not concerned at all,0.09166,593,5588,0.08409,0.09922
1987,No migration background,Rural regions,Very concerned,0.35321,786,1799,0.33111,0.37530
1987,No migration background,Rural regions,Somewhat concerned,0.37173,817,1799,0.34939,0.39407
1987,No migration background,Rural regions,Not concerned at all,0.09174,196,1799,0.07840,0.10508
1987,Direct migration background,Urban regions,Very concerned,0.39368,968,2418,0.37420,0.41315
