year,regtyp,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Urban regions,Very often,0.00577,107,14596,0.00454,0.00700
2003,Urban regions,Often,0.02640,488,14596,0.02380,0.02900
2003,Urban regions,Sometimes,0.11741,2088,14596,0.11218,0.12263
2003,Urban regions,Seldom,0.25849,4733,14596,0.25139,0.26560
2003,Urban regions,Never,0.41496,7180,14596,0.40696,0.42295
2003,Rural regions,Often,0.01661,146,7370,0.01369,0.01952
2003,Rural regions,Sometimes,0.09536,874,7370,0.08865,0.10206
2003,Rural regions,Seldom,0.24440,2297,7370,0.23459,0.25421
2003,Rural regions,Never,0.47135,4053,7370,0.45995,0.48275
2008,Urban regions,Very often,0.00460,68,12572,0.00342,0.00578
2008,Urban regions,Often,0.02524,340,12572,0.02250,0.02798
2008,Urban regions,Sometimes,0.11065,1633,12572,0.10516,0.11613
2008,Urban regions,Seldom,0.26485,4080,12572,0.25713,0.27256
2008,Urban regions,Never,0.42465,6451,12572,0.41601,0.43329
2008,Rural regions,Often,0.01705,112,6580,0.01392,0.02018
2008,Rural regions,Sometimes,0.08840,653,6580,0.08154,0.09526
2008,Rural regions,Seldom,0.24858,1957,6580,0.23814,0.25902
2008,Rural regions,Never,0.48203,3858,6580,0.46995,0.49410
2013,Urban regions,Very often,0.00251,72,16097,0.00174,0.00328
2013,Urban regions,Often,0.02258,515,16097,0.02028,0.02487
2013,Urban regions,Sometimes,0.09810,2217,16097,0.09351,0.10270
2013,Urban regions,Seldom,0.24137,5177,16097,0.23476,0.24798
2013,Urban regions,Never,0.37813,8116,16097,0.37064,0.38562
2013,Rural regions,Often,0.01566,205,9260,0.01313,0.01819
2013,Rural regions,Sometimes,0.08563,994,9260,0.07993,0.09133
2013,Rural regions,Seldom,0.23251,2735,9260,0.22390,0.24111
2013,Rural regions,Never,0.46148,5326,9260,0.45133,0.47164
2018,Urban regions,Very often,0.00590,162,16596,0.00474,0.00707
2018,Urban regions,Often,0.03999,807,16596,0.03701,0.04297
2018,Urban regions,Sometimes,0.15245,3087,16596,0.14698,0.15792
2018,Urban regions,Seldom,0.27253,5497,16596,0.26576,0.27931
2018,Urban regions,Never,0.36053,7043,16596,0.35323,0.36784
2018,Rural regions,Very often,0.00341,49,8942,0.00220,0.00462
2018,Rural regions,Often,0.02628,259,8942,0.02296,0.02959
2018,Rural regions,Sometimes,0.12065,1249,8942,0.11390,0.12740
2018,Rural regions,Seldom,0.26390,2854,8942,0.25477,0.27304
2018,Rural regions,Never,0.42060,4531,8942,0.41037,0.43083
