year,age_gr,pgisced97,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,Pre-primary Level,Often,0.15718,114,591,0.12781,0.18655
2003,17-29 y.,Pre-primary Level,Sometimes,0.32424,191,591,0.28647,0.36202
2003,17-29 y.,Pre-primary Level,Seldom,0.28385,179,591,0.24747,0.32024
2003,17-29 y.,Pre-primary Level,Never,0.19815,107,591,0.16599,0.23032
2003,17-29 y.,Lower Secondary Level,Often,0.11165,93,797,0.08977,0.13353
2003,17-29 y.,Lower Secondary Level,Sometimes,0.25794,209,797,0.22755,0.28833
2003,17-29 y.,Lower Secondary Level,Seldom,0.32190,275,797,0.28944,0.35435
2003,17-29 y.,Lower Secondary Level,Never,0.27527,220,797,0.24425,0.30630
2003,17-29 y.,Upper Secondary Level,Often,0.07721,120,1716,0.06457,0.08984
2003,17-29 y.,Upper Secondary Level,Sometimes,0.26402,481,1716,0.24316,0.28489
2003,17-29 y.,Upper Secondary Level,Seldom,0.36486,652,1716,0.34208,0.38764
2003,17-29 y.,Upper Secondary Level,Never,0.26721,463,1716,0.24627,0.28816
2003,17-29 y.,Post-secondary Non-tertiary Level,Sometimes,0.29082,74,265,0.23604,0.34561
2003,17-29 y.,Post-secondary Non-tertiary Level,Seldom,0.39648,124,265,0.33747,0.45549
2003,17-29 y.,Post-secondary Non-tertiary Level,Never,0.27237,67,265,0.21867,0.32607
2003,17-29 y.,First Stage of Tertiary Education,Seldom,0.31197,36,36,0.15848,0.46546
2003,17-29 y.,Second Stage of Tertiary Education,Sometimes,0.23259,49,194,0.17299,0.29220
2003,17-29 y.,Second Stage of Tertiary Education,Seldom,0.41644,88,194,0.34689,0.48599
2003,17-29 y.,Second Stage of Tertiary Education,Never,0.32232,57,194,0.25638,0.38826
2003,30-45 y.,Primary Level,Never,0.53959,45,45,0.39231,0.68686
2003,30-45 y.,Lower Secondary Level,Sometimes,0.16610,78,405,0.12981,0.20239
2003,30-45 y.,Lower Secondary Level,Seldom,0.32462,137,405,0.27896,0.37028
2003,30-45 y.,Lower Secondary Level,Never,0.43111,190,405,0.38282,0.47940
2003,30-45 y.,Upper Secondary Level,Often,0.01609,63,3548,0.01195,0.02023
2003,30-45 y.,Upper Secondary Level,Sometimes,0.14845,467,3548,0.13675,0.16015
2003,30-45 y.,Upper Secondary Level,Seldom,0.37739,1321,3548,0.36144,0.39335
2003,30-45 y.,Upper Secondary Level,Never,0.44997,1697,3548,0.43360,0.46635
2003,30-45 y.,Post-secondary Non-tertiary Level,Sometimes,0.17023,88,530,0.13820,0.20226
2003,30-45 y.,Post-secondary Non-tertiary Level,Seldom,0.44712,226,530,0.40475,0.48949
2003,30-45 y.,Post-secondary Non-tertiary Level,Never,0.35387,216,530,0.31312,0.39462
2003,30-45 y.,First Stage of Tertiary Education,Sometimes,0.14104,92,682,0.11490,0.16718
2003,30-45 y.,First Stage of Tertiary Education,Seldom,0.38510,275,682,0.34855,0.42165
2003,30-45 y.,First Stage of Tertiary Education,Never,0.44607,315,682,0.40873,0.48340
2003,30-45 y.,Second Stage of Tertiary Education,Often,0.03155,42,1565,0.02288,0.04021
2003,30-45 y.,Second Stage of Tertiary Education,Sometimes,0.17808,256,1565,0.15912,0.19704
2003,30-45 y.,Second Stage of Tertiary Education,Seldom,0.41993,640,1565,0.39547,0.44439
2003,30-45 y.,Second Stage of Tertiary Education,Never,0.35917,627,1565,0.33539,0.38294
2003,46-65 y.,Primary Level,Never,0.58811,57,57,0.45920,0.71702
2003,46-65 y.,Lower Secondary Level,Sometimes,0.07777,53,670,0.05747,0.09806
2003,46-65 y.,Lower Secondary Level,Seldom,0.18421,125,670,0.15483,0.21358
2003,46-65 y.,Lower Secondary Level,Never,0.70574,492,670,0.67120,0.74027
2003,46-65 y.,Upper Secondary Level,Often,0.01333,34,3853,0.00971,0.01696
2003,46-65 y.,Upper Secondary Level,Sometimes,0.08404,313,3853,0.07528,0.09280
2003,46-65 y.,Upper Secondary Level,Seldom,0.27087,1106,3853,0.25683,0.28490
2003,46-65 y.,Upper Secondary Level,Never,0.62299,2400,3853,0.60768,0.63829
2003,46-65 y.,Post-secondary Non-tertiary Level,Sometimes,0.19118,37,231,0.14036,0.24200
2003,46-65 y.,Post-secondary Non-tertiary Level,Seldom,0.28242,79,231,0.22424,0.34060
2003,46-65 y.,Post-secondary Non-tertiary Level,Never,0.49979,115,231,0.43517,0.56441
2003,46-65 y.,First Stage of Tertiary Education,Sometimes,0.11089,58,635,0.08645,0.13533
2003,46-65 y.,First Stage of Tertiary Education,Seldom,0.36780,226,635,0.33026,0.40533
2003,46-65 y.,First Stage of Tertiary Education,Never,0.49170,351,635,0.45279,0.53062
2003,46-65 y.,Second Stage of Tertiary Education,Often,0.02477,38,1983,0.01793,0.03162
2003,46-65 y.,Second Stage of Tertiary Education,Sometimes,0.12150,221,1983,0.10711,0.13588
2003,46-65 y.,Second Stage of Tertiary Education,Seldom,0.37034,733,1983,0.34908,0.39160
2003,46-65 y.,Second Stage of Tertiary Education,Never,0.47241,991,1983,0.45043,0.49439
2003,66 and older,Primary Level,Never,0.79330,38,38,0.66282,0.92378
2003,66 and older,Lower Secondary Level,Seldom,0.15158,130,741,0.12574,0.17741
2003,66 and older,Lower Secondary Level,Never,0.78892,611,741,0.75951,0.81832
2003,66 and older,Upper Secondary Level,Sometimes,0.03963,79,1845,0.03072,0.04853
2003,66 and older,Upper Secondary Level,Seldom,0.17474,320,1845,0.15741,0.19207
2003,66 and older,Upper Secondary Level,Never,0.76621,1446,1845,0.74689,0.78553
2003,66 and older,Post-secondary Non-tertiary Level,Never,0.76902,78,78,0.67488,0.86316
2003,66 and older,First Stage of Tertiary Education,Seldom,0.23805,57,230,0.18289,0.29321
2003,66 and older,First Stage of Tertiary Education,Never,0.69618,173,230,0.63661,0.75575
2003,66 and older,Second Stage of Tertiary Education,Sometimes,0.07660,45,562,0.05459,0.09861
2003,66 and older,Second Stage of Tertiary Education,Seldom,0.27878,155,562,0.24168,0.31589
2003,66 and older,Second Stage of Tertiary Education,Never,0.62915,362,562,0.58918,0.66912
2008,17-29 y.,Pre-primary Level,Often,0.10740,71,336,0.07425,0.14056
2008,17-29 y.,Pre-primary Level,Sometimes,0.21010,118,336,0.16647,0.25372
2008,17-29 y.,Pre-primary Level,Seldom,0.15574,97,336,0.11691,0.19457
2008,17-29 y.,Pre-primary Level,Never,0.08572,50,336,0.05574,0.11570
2008,17-29 y.,Lower Secondary Level,Often,0.07975,38,530,0.05666,0.10283
