year,age_gr,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,Very often,0.02163,80,3997,0.01712,0.02614
2003,17-29 y.,Often,0.09024,373,3997,0.08136,0.09912
2003,17-29 y.,Sometimes,0.27187,1099,3997,0.25808,0.28567
2003,17-29 y.,Seldom,0.34569,1432,3997,0.33094,0.36043
2003,17-29 y.,Never,0.26684,1013,3997,0.25312,0.28055
2003,30-45 y.,Often,0.02172,148,6867,0.01827,0.02516
2003,30-45 y.,Sometimes,0.15770,999,6867,0.14908,0.16632
2003,30-45 y.,Seldom,0.38706,2621,6867,0.37554,0.39858
2003,30-45 y.,Never,0.42286,3099,6867,0.41118,0.43455
2003,46-65 y.,Often,0.01752,97,7498,0.01455,0.02049
2003,46-65 y.,Sometimes,0.09769,699,7498,0.09097,0.10441
2003,46-65 y.,Seldom,0.28775,2292,7498,0.27751,0.29800
2003,46-65 y.,Never,0.58680,4410,7498,0.57565,0.59794
2003,66 and older,Sometimes,0.04170,165,3561,0.03513,0.04826
2003,66 and older,Seldom,0.18566,685,3561,0.17289,0.19843
2003,66 and older,Never,0.74982,2711,3561,0.73560,0.76405
2008,17-29 y.,Very often,0.01679,55,3150,0.01230,0.02128
2008,17-29 y.,Often,0.07688,261,3150,0.06758,0.08619
2008,17-29 y.,Sometimes,0.23976,800,3150,0.22485,0.25467
2008,17-29 y.,Seldom,0.33783,1166,3150,0.32131,0.35435
2008,17-29 y.,Never,0.25334,868,3150,0.23815,0.26853
2008,30-45 y.,Often,0.02491,94,5126,0.02064,0.02917
2008,30-45 y.,Sometimes,0.13959,675,5126,0.13010,0.14908
2008,30-45 y.,Seldom,0.38750,1974,5126,0.37416,0.40084
2008,30-45 y.,Never,0.43913,2383,5126,0.42554,0.45271
2008,46-65 y.,Often,0.01438,73,6632,0.01152,0.01725
2008,46-65 y.,Sometimes,0.09147,598,6632,0.08453,0.09841
2008,46-65 y.,Seldom,0.29380,2028,6632,0.28283,0.30476
2008,46-65 y.,Never,0.58901,3933,6632,0.57717,0.60085
2008,66 and older,Sometimes,0.04991,213,4207,0.04333,0.05649
2008,66 and older,Seldom,0.19815,869,4207,0.18610,0.21020
2008,66 and older,Never,0.72964,3125,4207,0.71621,0.74306
2013,17-29 y.,Very often,0.00548,36,3557,0.00306,0.00791
2013,17-29 y.,Often,0.06212,326,3557,0.05418,0.07005
2013,17-29 y.,Sometimes,0.20685,981,3557,0.19354,0.22017
2013,17-29 y.,Seldom,0.28026,1263,3557,0.26550,0.29502
2013,17-29 y.,Never,0.19643,951,3557,0.18337,0.20948
2013,30-45 y.,Very often,0.00273,36,7974,0.00159,0.00388
2013,30-45 y.,Often,0.02097,201,7974,0.01783,0.02412
2013,30-45 y.,Sometimes,0.12340,1060,7974,0.11618,0.13062
2013,30-45 y.,Seldom,0.32076,2837,7974,0.31051,0.33100
2013,30-45 y.,Never,0.36555,3840,7974,0.35498,0.37612
2013,46-65 y.,Often,0.01755,157,8932,0.01482,0.02027
2013,46-65 y.,Sometimes,0.09175,906,8932,0.08577,0.09774
2013,46-65 y.,Seldom,0.30714,2804,8932,0.29757,0.31670
2013,46-65 y.,Never,0.52367,5065,8932,0.51331,0.53403
2013,66 and older,Often,0.00911,36,4894,0.00645,0.01177
2013,66 and older,Sometimes,0.05670,264,4894,0.05022,0.06318
2013,66 and older,Seldom,0.19930,1008,4894,0.18810,0.21049
2013,66 and older,Never,0.71502,3586,4894,0.70237,0.72766
2018,17-29 y.,Very often,0.01530,92,4265,0.01162,0.01899
2018,17-29 y.,Often,0.12200,517,4265,0.11218,0.13183
2018,17-29 y.,Sometimes,0.28184,1368,4265,0.26833,0.29534
2018,17-29 y.,Seldom,0.28299,1356,4265,0.26947,0.29651
2018,17-29 y.,Never,0.20950,932,4265,0.19728,0.22171
2018,30-45 y.,Very often,0.00539,48,6719,0.00364,0.00714
2018,30-45 y.,Often,0.04391,275,6719,0.03901,0.04881
2018,30-45 y.,Sometimes,0.22221,1313,6719,0.21227,0.23215
2018,30-45 y.,Seldom,0.38162,2516,6719,0.37000,0.39324
2018,30-45 y.,Never,0.33239,2567,6719,0.32112,0.34365
2018,46-65 y.,Very often,0.00444,55,9593,0.00311,0.00577
2018,46-65 y.,Often,0.02453,219,9593,0.02144,0.02763
2018,46-65 y.,Sometimes,0.14024,1298,9593,0.13329,0.14719
2018,46-65 y.,Seldom,0.34862,3285,9593,0.33909,0.35816
2018,46-65 y.,Never,0.47549,4736,9593,0.46549,0.48548
2018,66 and older,Often,0.01018,55,4945,0.00738,0.01298
2018,66 and older,Sometimes,0.07461,357,4945,0.06728,0.08193
2018,66 and older,Seldom,0.23086,1194,4945,0.21912,0.24261
2018,66 and older,Never,0.67075,3339,4945,0.65765,0.68385
