year,pgisced97,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Pre-primary Level,Often,0.15616,114,592,0.12690,0.18543
2003,Pre-primary Level,Sometimes,0.32215,191,592,0.28447,0.35982
2003,Pre-primary Level,Seldom,0.28202,179,592,0.24574,0.31830
2003,Pre-primary Level,Never,0.19899,108,592,0.16680,0.23118
2003,Primary Level,Sometimes,0.14527,42,254,0.10185,0.18869
2003,Primary Level,Seldom,0.17448,52,254,0.12771,0.22124
2003,Primary Level,Never,0.61054,160,254,0.55045,0.67063
2003,Lower Secondary Level,Often,0.04333,129,2671,0.03561,0.05106
2003,Lower Secondary Level,Sometimes,0.11966,362,2671,0.10735,0.13197
2003,Lower Secondary Level,Seldom,0.22718,667,2671,0.21129,0.24307
2003,Lower Secondary Level,Never,0.58705,1513,2671,0.56838,0.60573
2003,Upper Secondary Level,Very often,0.00508,50,11019,0.00375,0.00641
2003,Upper Secondary Level,Often,0.02066,224,11019,0.01801,0.02332
2003,Upper Secondary Level,Sometimes,0.11907,1340,11019,0.11303,0.12512
2003,Upper Secondary Level,Seldom,0.29535,3399,11019,0.28683,0.30387
2003,Upper Secondary Level,Never,0.55193,6006,11019,0.54264,0.56121
2003,Post-secondary Non-tertiary Level,Sometimes,0.18295,202,1122,0.16031,0.20558
2003,Post-secondary Non-tertiary Level,Seldom,0.37255,444,1122,0.34425,0.40086
2003,Post-secondary Non-tertiary Level,Never,0.41232,476,1122,0.38351,0.44114
2003,First Stage of Tertiary Education,Sometimes,0.11997,185,1644,0.10426,0.13568
2003,First Stage of Tertiary Education,Seldom,0.34653,594,1644,0.32352,0.36954
2003,First Stage of Tertiary Education,Never,0.50255,865,1644,0.47838,0.52673
2003,Second Stage of Tertiary Education,Often,0.02331,88,4312,0.01881,0.02782
2003,Second Stage of Tertiary Education,Sometimes,0.14191,571,4312,0.13149,0.15233
2003,Second Stage of Tertiary Education,Seldom,0.37637,1616,4312,0.36191,0.39084
2003,Second Stage of Tertiary Education,Never,0.44713,2037,4312,0.43229,0.46197
2008,Pre-primary Level,Often,0.10740,71,336,0.07425,0.14056
2008,Pre-primary Level,Sometimes,0.21010,118,336,0.16647,0.25372
2008,Pre-primary Level,Seldom,0.15574,97,336,0.11691,0.19457
2008,Pre-primary Level,Never,0.08572,50,336,0.05574,0.11570
2008,Primary Level,Never,0.63581,121,121,0.54971,0.72191
2008,Lower Secondary Level,Often,0.03644,61,1983,0.02819,0.04469
2008,Lower Secondary Level,Sometimes,0.12118,260,1983,0.10681,0.13555
2008,Lower Secondary Level,Seldom,0.22454,486,1983,0.20617,0.24291
2008,Lower Secondary Level,Never,0.58148,1176,1983,0.55976,0.60320
2008,Upper Secondary Level,Very often,0.00478,37,9657,0.00340,0.00615
2008,Upper Secondary Level,Often,0.02296,183,9657,0.01997,0.02594
2008,Upper Secondary Level,Sometimes,0.10882,1020,9657,0.10260,0.11503
2008,Upper Secondary Level,Seldom,0.28965,2845,9657,0.28060,0.29870
2008,Upper Secondary Level,Never,0.56485,5572,9657,0.55496,0.57474
2008,Post-secondary Non-tertiary Level,Often,0.03187,31,1086,0.02142,0.04232
2008,Post-secondary Non-tertiary Level,Sometimes,0.16216,161,1086,0.14023,0.18409
2008,Post-secondary Non-tertiary Level,Seldom,0.37788,397,1086,0.34903,0.40674
2008,Post-secondary Non-tertiary Level,Never,0.41924,497,1086,0.38988,0.44860
