,Unnamed: 0,year,age_gr,quintil_oecd,plb0417_v2,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1994,17-29 y.,1st Quintile,"No, definitely not",0.11086,51,4453,0.09183,0.14212
1,1,1994,17-29 y.,1st Quintile,Probably,0.15577,56,4453,0.12667,0.18637
2,2,1994,17-29 y.,1st Quintile,"Yes, definitely",0.73337,236,4453,0.65877,0.80164
3,3,1994,17-29 y.,2nd Quintile,"No, definitely not",0.09763,38,4453,0.07828,0.12082
4,4,1994,17-29 y.,2nd Quintile,Probably,0.1513,40,4453,0.10744,0.19305
5,5,1994,17-29 y.,2nd Quintile,"Yes, definitely",0.75108,184,4453,0.6614,0.85543
6,6,1994,17-29 y.,3rd Quintile,"Yes, definitely",1.0,165,4453,0.9059,1.10982
7,7,1994,17-29 y.,4th Quintile,"Yes, definitely",1.0,141,4453,0.88524,1.13725
8,8,1994,17-29 y.,5th Quintile,"Yes, definitely",1.0,83,4453,0.90474,1.10198
9,9,1994,30-45 y.,1st Quintile,"No, definitely not",0.25594,69,4453,0.21769,0.30705
10,10,1994,30-45 y.,1st Quintile,Probably,0.23661,64,4453,0.19631,0.27847
11,11,1994,30-45 y.,1st Quintile,"Yes, definitely",0.50745,151,4453,0.4395,0.57994
12,12,1994,30-45 y.,2nd Quintile,"No, definitely not",0.27625,60,4453,0.22748,0.31842
13,13,1994,30-45 y.,2nd Quintile,Probably,0.31522,64,4453,0.25627,0.38668
14,14,1994,30-45 y.,2nd Quintile,"Yes, definitely",0.40853,84,4453,0.3482,0.48661
15,15,1994,30-45 y.,3rd Quintile,Probably,0.52436,42,4453,0.42944,0.63663
16,16,1994,30-45 y.,3rd Quintile,"Yes, definitely",0.47564,54,4453,0.39313,0.56504
17,17,1994,30-45 y.,4th Quintile,"Yes, definitely",1.0,40,4453,0.81108,1.23099
18,18,1994,46-65 y.,1st Quintile,"No, definitely not",0.83666,418,4453,0.78589,0.89366
19,19,1994,46-65 y.,1st Quintile,Probably not,0.05614,31,4453,0.04656,0.06566
20,20,1994,46-65 y.,1st Quintile,"Yes, definitely",0.1072,46,4453,0.08363,0.13508
21,21,1994,46-65 y.,2nd Quintile,"No, definitely not",1.0,287,4453,0.93611,1.06782
22,22,1994,46-65 y.,3rd Quintile,"No, definitely not",1.0,248,4453,0.91551,1.08933
23,23,1994,46-65 y.,4th Quintile,"No, definitely not",1.0,212,4453,0.92569,1.08198
24,24,1994,46-65 y.,5th Quintile,"No, definitely not",1.0,167,4453,0.92954,1.0794
25,25,1994,66 and older,1st Quintile,"No, definitely not",1.0,385,4453,0.94416,1.06271
26,26,1994,66 and older,2nd Quintile,"No, definitely not",1.0,383,4453,0.95912,1.04902
27,27,1994,66 and older,3rd Quintile,"No, definitely not",1.0,263,4453,0.94893,1.05943
28,28,1994,66 and older,4th Quintile,"No, definitely not",1.0,204,4453,0.92173,1.06939
29,29,1994,66 and older,5th Quintile,"No, definitely not",1.0,187,4453,0.93175,1.07483
30,30,1995,17-29 y.,1st Quintile,"No, definitely not",0.11695,62,4616,0.09386,0.14437
31,31,1995,17-29 y.,1st Quintile,Probably,0.16391,65,4616,0.13283,0.19851
32,32,1995,17-29 y.,1st Quintile,"Yes, definitely",0.71914,245,4616,0.64824,0.81019
33,33,1995,17-29 y.,2nd Quintile,"No, definitely not",0.1364,39,4616,0.09856,0.17284
34,34,1995,17-29 y.,2nd Quintile,Probably,0.16281,48,4616,0.11147,0.23942
35,35,1995,17-29 y.,2nd Quintile,"Yes, definitely",0.70079,191,4616,0.6221,0.78991
36,36,1995,17-29 y.,3rd Quintile,Probably,0.17373,33,4616,0.1254,0.21629
37,37,1995,17-29 y.,3rd Quintile,"Yes, definitely",0.82627,152,4616,0.72702,0.91985
38,38,1995,17-29 y.,4th Quintile,"Yes, definitely",1.0,118,4616,0.89835,1.12004
39,39,1995,17-29 y.,5th Quintile,"Yes, definitely",1.0,99,4616,0.89967,1.08423
40,40,1995,30-45 y.,1st Quintile,"No, definitely not",0.23313,76,4616,0.19303,0.28053
41,41,1995,30-45 y.,1st Quintile,Probably,0.24022,80,4616,0.21261,0.27021
42,42,1995,30-45 y.,1st Quintile,"Yes, definitely",0.52665,171,4616,0.45233,0.58081
43,43,1995,30-45 y.,2nd Quintile,"No, definitely not",0.24183,55,4616,0.20437,0.29414
44,44,1995,30-45 y.,2nd Quintile,Probably,0.25328,57,4616,0.22002,0.29235
45,45,1995,30-45 y.,2nd Quintile,"Yes, definitely",0.50489,107,4616,0.42739,0.59357
