year,age_gr,migback,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,No migration background,"No, definitely not",0.07071,59,800,0.05294,0.08848
1994,17-29 y.,No migration background,Probably not,0.05274,42,800,0.03724,0.06824
1994,17-29 y.,No migration background,Probably,0.13104,108,800,0.10764,0.15444
1994,17-29 y.,No migration background,"Yes, definitely",0.74551,591,800,0.71531,0.77571
1994,17-29 y.,Direct migration background,"No, definitely not",0.25659,65,199,0.19576,0.31743
1994,17-29 y.,Direct migration background,Probably,0.19989,39,199,0.14419,0.25560
1994,17-29 y.,Direct migration background,"Yes, definitely",0.48229,95,199,0.41269,0.55189
1994,17-29 y.,Indirect migration background,"Yes, definitely",0.75740,125,125,0.68195,0.83285
1994,30-45 y.,No migration background,"No, definitely not",0.20103,109,658,0.17039,0.23168
1994,30-45 y.,No migration background,Probably not,0.12818,78,658,0.10262,0.15374
1994,30-45 y.,No migration background,Probably,0.26266,172,658,0.22901,0.29631
1994,30-45 y.,No migration background,"Yes, definitely",0.40813,299,658,0.37054,0.44571
1994,30-45 y.,Direct migration background,"No, definitely not",0.42033,79,179,0.34782,0.49285
1994,30-45 y.,Direct migration background,Probably,0.22612,42,179,0.16466,0.28757
1994,30-45 y.,Direct migration background,"Yes, definitely",0.30199,58,179,0.23454,0.36944
1994,46-65 y.,No migration background,"No, definitely not",0.81602,987,1245,0.79448,0.83755
1994,46-65 y.,No migration background,Probably not,0.06140,78,1245,0.04806,0.07474
1994,46-65 y.,No migration background,Probably,0.04534,69,1245,0.03378,0.05691
1994,46-65 y.,No migration background,"Yes, definitely",0.07724,111,1245,0.06240,0.09207
1994,46-65 y.,Direct migration background,"No, definitely not",0.84015,346,346,0.80148,0.87882
1994,66 and older,No migration background,"No, definitely not",0.99472,1257,1257,0.99071,0.99873
1994,66 and older,Direct migration background,"No, definitely not",0.98323,163,163,0.96346,1.00300
1995,17-29 y.,No migration background,"No, definitely not",0.07774,64,773,0.05885,0.09663
1995,17-29 y.,No migration background,Probably not,0.06522,51,773,0.04780,0.08264
1995,17-29 y.,No migration background,Probably,0.15285,113,773,0.12746,0.17823
1995,17-29 y.,No migration background,"Yes, definitely",0.70419,545,773,0.67200,0.73639
1995,17-29 y.,Direct migration background,"No, definitely not",0.18117,54,251,0.13342,0.22891
1995,17-29 y.,Direct migration background,Probably,0.13832,53,251,0.09552,0.18112
1995,17-29 y.,Direct migration background,"Yes, definitely",0.63074,144,251,0.57091,0.69056
1995,17-29 y.,Indirect migration background,"Yes, definitely",0.62470,116,116,0.53621,0.71320
1995,30-45 y.,No migration background,"No, definitely not",0.19494,117,660,0.16469,0.22518
1995,30-45 y.,No migration background,Probably not,0.14903,92,660,0.12184,0.17622
1995,30-45 y.,No migration background,Probably,0.24717,162,660,0.21423,0.28010
1995,30-45 y.,No migration background,"Yes, definitely",0.40887,289,660,0.37133,0.44640
1995,30-45 y.,Direct migration background,"No, definitely not",0.27753,79,250,0.22191,0.33314
1995,30-45 y.,Direct migration background,Probably,0.23860,59,250,0.18566,0.29154
1995,30-45 y.,Direct migration background,"Yes, definitely",0.45261,112,250,0.39078,0.51443
1995,46-65 y.,No migration background,"No, definitely not",0.81956,931,1183,0.79763,0.84148
1995,46-65 y.,No migration background,Probably not,0.06963,86,1183,0.05512,0.08414
1995,46-65 y.,No migration background,Probably,0.04205,60,1183,0.03061,0.05349
1995,46-65 y.,No migration background,"Yes, definitely",0.06877,106,1183,0.05434,0.08319
1995,46-65 y.,Direct migration background,"No, definitely not",0.78880,377,459,0.75142,0.82618
1995,46-65 y.,Direct migration background,Probably,0.07018,41,459,0.04678,0.09357
1995,46-65 y.,Direct migration background,"Yes, definitely",0.11380,41,459,0.08472,0.14288
1995,66 and older,No migration background,"No, definitely not",0.99843,1250,1250,0.99623,1.00062
1995,66 and older,Direct migration background,"No, definitely not",0.99973,205,205,0.99750,1.00197
1996,17-29 y.,No migration background,"No, definitely not",0.06684,61,718,0.04856,0.08512
1996,17-29 y.,No migration background,Probably,0.14241,115,718,0.11683,0.16799
1996,17-29 y.,No migration background,"Yes, definitely",0.74226,542,718,0.71025,0.77428
1996,17-29 y.,Direct migration background,"No, definitely not",0.17852,55,235,0.12946,0.22759
1996,17-29 y.,Direct migration background,Probably,0.22233,47,235,0.16905,0.27561
1996,17-29 y.,Direct migration background,"Yes, definitely",0.54917,133,235,0.48541,0.61292
1996,17-29 y.,Indirect migration background,"Yes, definitely",0.70283,137,137,0.62602,0.77964
1996,30-45 y.,No migration background,"No, definitely not",0.18919,120,677,0.15967,0.21872
1996,30-45 y.,No migration background,Probably not,0.13234,83,677,0.10680,0.15789
1996,30-45 y.,No migration background,Probably,0.25727,166,677,0.22432,0.29023
1996,30-45 y.,No migration background,"Yes, definitely",0.42119,308,677,0.38397,0.45841
