year,migback,quintil_oecd,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,No migration background,1st Quintile,"No, definitely not",0.67764,624,1076,0.64970,0.70558
1994,No migration background,1st Quintile,Probably not,0.03580,52,1076,0.02470,0.04691
1994,No migration background,1st Quintile,Probably,0.06781,97,1076,0.05278,0.08284
1994,No migration background,1st Quintile,"Yes, definitely",0.21874,303,1076,0.19403,0.24346
1994,No migration background,2nd Quintile,"No, definitely not",0.70981,599,954,0.68100,0.73863
1994,No migration background,2nd Quintile,Probably not,0.03820,40,954,0.02603,0.05036
1994,No migration background,2nd Quintile,Probably,0.06809,84,954,0.05210,0.08408
1994,No migration background,2nd Quintile,"Yes, definitely",0.18390,231,954,0.15931,0.20850
1994,No migration background,3rd Quintile,"No, definitely not",0.72101,471,768,0.68927,0.75275
1994,No migration background,3rd Quintile,Probably not,0.04616,39,768,0.03131,0.06101
1994,No migration background,3rd Quintile,Probably,0.06677,64,768,0.04910,0.08443
1994,No migration background,3rd Quintile,"Yes, definitely",0.16606,194,768,0.13973,0.19240
1994,No migration background,4th Quintile,"No, definitely not",0.69064,395,660,0.65535,0.72593
1994,No migration background,4th Quintile,Probably not,0.04765,37,660,0.03138,0.06391
1994,No migration background,4th Quintile,Probably,0.07168,59,660,0.05199,0.09138
1994,No migration background,4th Quintile,"Yes, definitely",0.19003,169,660,0.16008,0.21999
1994,No migration background,5th Quintile,"No, definitely not",0.70646,321,505,0.66671,0.74622
1994,No migration background,5th Quintile,Probably not,0.05884,31,505,0.03829,0.07938
1994,No migration background,5th Quintile,Probably,0.06367,46,505,0.04235,0.08499
1994,No migration background,5th Quintile,"Yes, definitely",0.17103,107,505,0.13815,0.20390
1994,Direct migration background,1st Quintile,"No, definitely not",0.70911,281,408,0.66499,0.75324
1994,Direct migration background,1st Quintile,Probably,0.09944,48,408,0.07037,0.12851
1994,Direct migration background,1st Quintile,"Yes, definitely",0.15853,79,408,0.12305,0.19402
1994,Direct migration background,2nd Quintile,"No, definitely not",0.71999,155,194,0.65664,0.78334
1994,Direct migration background,2nd Quintile,"Yes, definitely",0.14056,39,194,0.09153,0.18960
1994,Direct migration background,3rd Quintile,"No, definitely not",0.69838,104,139,0.62180,0.77495
1994,Direct migration background,3rd Quintile,"Yes, definitely",0.24289,35,139,0.17134,0.31444
1994,Direct migration background,4th Quintile,"No, definitely not",0.83841,61,61,0.74528,0.93155
1994,Direct migration background,5th Quintile,"No, definitely not",0.73483,51,51,0.61247,0.85719
1994,Indirect migration background,1st Quintile,"Yes, definitely",0.75109,46,46,0.62475,0.87742
1995,No migration background,1st Quintile,"No, definitely not",0.63068,463,894,0.59903,0.66234
1995,No migration background,1st Quintile,Probably not,0.04439,53,894,0.03088,0.05789
1995,No migration background,1st Quintile,Probably,0.08370,102,894,0.06553,0.10186
1995,No migration background,1st Quintile,"Yes, definitely",0.24123,276,894,0.21317,0.26929
1995,No migration background,2nd Quintile,"No, definitely not",0.73220,638,992,0.70463,0.75977
1995,No migration background,2nd Quintile,Probably not,0.03836,53,992,0.02640,0.05032
1995,No migration background,2nd Quintile,Probably,0.06381,82,992,0.04859,0.07903
1995,No migration background,2nd Quintile,"Yes, definitely",0.16562,219,992,0.14248,0.18877
1995,No migration background,3rd Quintile,"No, definitely not",0.75695,510,787,0.72696,0.78694
1995,No migration background,3rd Quintile,Probably not,0.03681,37,787,0.02365,0.04998
1995,No migration background,3rd Quintile,Probably,0.06630,63,787,0.04891,0.08369
1995,No migration background,3rd Quintile,"Yes, definitely",0.13994,177,787,0.11568,0.16419
1995,No migration background,4th Quintile,"No, definitely not",0.72433,409,654,0.69005,0.75860
1995,No migration background,4th Quintile,Probably not,0.06694,46,654,0.04777,0.08611
1995,No migration background,4th Quintile,Probably,0.05649,49,654,0.03878,0.07420
1995,No migration background,4th Quintile,"Yes, definitely",0.15224,150,654,0.12469,0.17980
1995,No migration background,5th Quintile,"No, definitely not",0.70221,340,538,0.66353,0.74088
1995,No migration background,5th Quintile,Probably not,0.07373,40,538,0.05163,0.09583
1995,No migration background,5th Quintile,Probably,0.05931,39,538,0.03933,0.07929
1995,No migration background,5th Quintile,"Yes, definitely",0.16475,119,538,0.13338,0.19613
1995,Direct migration background,1st Quintile,"No, definitely not",0.55390,299,522,0.51122,0.59659
1995,Direct migration background,1st Quintile,Probably,0.11543,74,522,0.08799,0.14287
1995,Direct migration background,1st Quintile,"Yes, definitely",0.30089,149,522,0.26150,0.34027
1995,Direct migration background,2nd Quintile,"No, definitely not",0.67767,190,309,0.62547,0.72986
1995,Direct migration background,2nd Quintile,Probably,0.07369,42,309,0.04451,0.10287
1995,Direct migration background,2nd Quintile,"Yes, definitely",0.21748,77,309,0.17141,0.26355
1995,Direct migration background,3rd Quintile,"No, definitely not",0.69762,97,131,0.61866,0.77657
1995,Direct migration background,3rd Quintile,"Yes, definitely",0.17822,34,131,0.11244,0.24401
1995,Direct migration background,4th Quintile,"No, definitely not",0.79370,67,67,0.69608,0.89133
1995,Direct migration background,5th Quintile,"No, definitely not",0.73441,62,62,0.62358,0.84524
1995,Indirect migration background,1st Quintile,"Yes, definitely",0.50387,38,38,0.34277,0.66498
1995,Indirect migration background,2nd Quintile,"Yes, definitely",0.44745,32,32,0.27241,0.62248
1996,No migration background,1st Quintile,"No, definitely not",0.63578,478,924,0.60474,0.66683
1996,No migration background,1st Quintile,Probably not,0.02776,36,924,0.01716,0.03836
1996,No migration background,1st Quintile,Probably,0.08626,113,924,0.06815,0.10437
1996,No migration background,1st Quintile,"Yes, definitely",0.25019,297,924,0.22225,0.27814
1996,No migration background,2nd Quintile,"No, definitely not",0.71586,560,897,0.68633,0.74539
1996,No migration background,2nd Quintile,Probably not,0.04877,51,897,0.03466,0.06287
1996,No migration background,2nd Quintile,Probably,0.07931,83,897,0.06162,0.09700
1996,No migration background,2nd Quintile,"Yes, definitely",0.15606,203,897,0.13230,0.17982
1996,No migration background,3rd Quintile,"No, definitely not",0.73596,527,807,0.70553,0.76639
1996,No migration background,3rd Quintile,Probably not,0.04324,40,807,0.02920,0.05728
1996,No migration background,3rd Quintile,Probably,0.06271,66,807,0.04597,0.07945
1996,No migration background,3rd Quintile,"Yes, definitely",0.15809,174,807,0.13291,0.18328
1996,No migration background,4th Quintile,"No, definitely not",0.74231,457,704,0.70998,0.77464
1996,No migration background,4th Quintile,Probably not,0.06181,41,704,0.04401,0.07961
1996,No migration background,4th Quintile,Probably,0.05575,58,704,0.03879,0.07271
1996,No migration background,4th Quintile,"Yes, definitely",0.14013,148,704,0.11447,0.16579
1996,No migration background,5th Quintile,"No, definitely not",0.71927,348,555,0.68185,0.75669
1996,No migration background,5th Quintile,Probably not,0.06284,38,555,0.04263,0.08304
1996,No migration background,5th Quintile,Probably,0.03429,35,555,0.01913,0.04944
1996,No migration background,5th Quintile,"Yes, definitely",0.18361,134,555,0.15137,0.21585
1996,Direct migration background,1st Quintile,"No, definitely not",0.58960,305,501,0.54649,0.63272
1996,Direct migration background,1st Quintile,Probably,0.12367,66,501,0.09481,0.15252
1996,Direct migration background,1st Quintile,"Yes, definitely",0.26341,130,501,0.22480,0.30202
1996,Direct migration background,2nd Quintile,"No, definitely not",0.66099,161,233,0.60007,0.72190
1996,Direct migration background,2nd Quintile,"Yes, definitely",0.19960,72,233,0.14817,0.25104
1996,Direct migration background,3rd Quintile,"No, definitely not",0.68725,109,140,0.61018,0.76432
1996,Direct migration background,3rd Quintile,"Yes, definitely",0.19880,31,140,0.13245,0.26514
1996,Direct migration background,4th Quintile,"No, definitely not",0.71939,80,80,0.62031,0.81846
1996,Direct migration background,5th Quintile,"No, definitely not",0.67432,51,51,0.54442,0.80422
1996,Indirect migration background,1st Quintile,"Yes, definitely",0.59635,55,55,0.46549,0.72721
1996,Indirect migration background,2nd Quintile,"Yes, definitely",0.64089,34,34,0.47720,0.80457
1996,Indirect migration background,3rd Quintile,"Yes, definitely",0.66569,33,33,0.50224,0.82915
1997,No migration background,1st Quintile,"No, definitely not",0.64216,482,875,0.61038,0.67395
1997,No migration background,1st Quintile,Probably not,0.04948,55,875,0.03510,0.06385
1997,No migration background,1st Quintile,Probably,0.09324,99,875,0.07396,0.11252
1997,No migration background,1st Quintile,"Yes, definitely",0.21512,239,875,0.18788,0.24236
1997,No migration background,2nd Quintile,"No, definitely not",0.70873,589,965,0.68005,0.73741
1997,No migration background,2nd Quintile,Probably not,0.04043,49,965,0.02799,0.05286
1997,No migration background,2nd Quintile,Probably,0.07751,85,965,0.06063,0.09439
1997,No migration background,2nd Quintile,"Yes, definitely",0.17333,242,965,0.14943,0.19723
1997,No migration background,3rd Quintile,"No, definitely not",0.70949,512,822,0.67844,0.74055
1997,No migration background,3rd Quintile,Probably not,0.03901,37,822,0.02577,0.05226
1997,No migration background,3rd Quintile,Probably,0.06916,76,822,0.05180,0.08651
1997,No migration background,3rd Quintile,"Yes, definitely",0.18234,197,822,0.15592,0.20875
1997,No migration background,4th Quintile,"No, definitely not",0.72619,436,681,0.69268,0.75971
1997,No migration background,4th Quintile,Probably not,0.06261,43,681,0.04440,0.08082
1997,No migration background,4th Quintile,Probably,0.06346,58,681,0.04514,0.08179
1997,No migration background,4th Quintile,"Yes, definitely",0.14773,144,681,0.12106,0.17440
1997,No migration background,5th Quintile,"No, definitely not",0.75677,384,561,0.72124,0.79231
1997,No migration background,5th Quintile,Probably not,0.05849,31,561,0.03906,0.07793
1997,No migration background,5th Quintile,Probably,0.04927,39,561,0.03134,0.06719
1997,No migration background,5th Quintile,"Yes, definitely",0.13547,107,561,0.10712,0.16381
1997,Direct migration background,1st Quintile,"No, definitely not",0.59022,289,488,0.54655,0.63390
1997,Direct migration background,1st Quintile,Probably,0.11477,67,488,0.08646,0.14308
1997,Direct migration background,1st Quintile,"Yes, definitely",0.24986,132,488,0.21141,0.28832
1997,Direct migration background,2nd Quintile,"No, definitely not",0.69764,173,267,0.64245,0.75284
1997,Direct migration background,2nd Quintile,Probably,0.11242,36,267,0.07446,0.15038
1997,Direct migration background,2nd Quintile,"Yes, definitely",0.16955,58,267,0.12446,0.21465
1997,Direct migration background,3rd Quintile,"No, definitely not",0.68430,101,138,0.60647,0.76213
1997,Direct migration background,3rd Quintile,"Yes, definitely",0.22749,37,138,0.15729,0.29769
1997,Direct migration background,4th Quintile,"No, definitely not",0.69496,63,63,0.58035,0.80957
1997,Direct migration background,5th Quintile,"No, definitely not",0.70347,52,52,0.57812,0.82883
1997,Indirect migration background,1st Quintile,"Yes, definitely",0.61512,53,53,0.48287,0.74737
1997,Indirect migration background,2nd Quintile,"Yes, definitely",0.52871,38,38,0.36786,0.68955
1998,No migration background,1st Quintile,"No, definitely not",0.59855,428,849,0.56556,0.63154
1998,No migration background,1st Quintile,Probably not,0.06750,58,849,0.05062,0.08439
1998,No migration background,1st Quintile,Probably,0.08528,92,849,0.06648,0.10408
1998,No migration background,1st Quintile,"Yes, definitely",0.24866,271,849,0.21957,0.27776
