,Unnamed: 0,year,plb0417_v2,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1994,"No, definitely not",0.69412,3096,5133,0.67922,0.70808
1,1,1994,Probably not,0.04173,249,5133,0.03816,0.04484
2,2,1994,Probably,0.07021,476,5133,0.0657,0.07496
3,3,1994,"Yes, definitely",0.19395,1312,5133,0.18525,0.20104
4,4,1995,"No, definitely not",0.69142,3116,5268,0.67527,0.70785
5,5,1995,Probably not,0.04562,278,5268,0.04106,0.04955
6,6,1995,Probably,0.07278,515,5268,0.06827,0.07727
7,7,1995,"Yes, definitely",0.19019,1359,5268,0.18167,0.19789
8,8,1996,"No, definitely not",0.68869,3116,5262,0.67206,0.70652
9,9,1996,Probably not,0.04477,256,5262,0.04092,0.04872
10,10,1996,Probably,0.0729,514,5262,0.06813,0.07897
11,11,1996,"Yes, definitely",0.19365,1376,5262,0.18616,0.20217
12,12,1997,"No, definitely not",0.68619,3117,5246,0.66953,0.7025
13,13,1997,Probably not,0.04713,282,5246,0.04285,0.05246
14,14,1997,Probably,0.07776,516,5246,0.07305,0.08349
15,15,1997,"Yes, definitely",0.18892,1331,5246,0.18042,0.19739
16,16,1998,"No, definitely not",0.6976,3655,5899,0.68351,0.71071
17,17,1998,Probably not,0.047,309,5899,0.04306,0.05081
18,18,1998,Probably,0.06286,453,5899,0.05905,0.06708
19,19,1998,"Yes, definitely",0.19253,1482,5899,0.18623,0.19908
20,20,1999,"No, definitely not",0.72177,3543,5493,0.70689,0.73857
21,21,1999,Probably not,0.03706,229,5493,0.03361,0.04069
22,22,1999,Probably,0.05742,408,5493,0.05292,0.062
23,23,1999,"Yes, definitely",0.18375,1313,5493,0.17694,0.1916
24,24,2000,"No, definitely not",0.72258,6684,10080,0.71286,0.73032
25,25,2000,Probably not,0.03719,434,10080,0.03534,0.03933
26,26,2000,Probably,0.06497,774,10080,0.06243,0.06731
27,27,2000,"Yes, definitely",0.17526,2188,10080,0.17088,0.18047
28,28,2001,"No, definitely not",0.72344,6115,9143,0.71383,0.73251
29,29,2001,Probably not,0.0353,370,9143,0.03272,0.03756
30,30,2001,Probably,0.05939,634,9143,0.0566,0.06235
31,31,2001,"Yes, definitely",0.18187,2024,9143,0.17647,0.18729
32,32,2002,"No, definitely not",0.7044,6123,9352,0.69412,0.71659
33,33,2002,Probably not,0.03371,356,9352,0.03081,0.0367
34,34,2002,Probably,0.05818,625,9352,0.0548,0.06222
