year,pgisced97,quintil_oecd,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Pre-primary Level,1st Quintile,"Yes, definitely",0.81229,36,36,0.68292,0.94165
1994,Pre-primary Level,2nd Quintile,"Yes, definitely",0.51819,32,32,0.34229,0.69408
1994,Pre-primary Level,3rd Quintile,"Yes, definitely",0.63750,42,42,0.49035,0.78465
1994,Primary Level,1st Quintile,"No, definitely not",0.43636,102,102,0.33964,0.53308
1994,Primary Level,2nd Quintile,"No, definitely not",0.37363,49,49,0.23677,0.51049
1994,Lower Secondary Level,1st Quintile,"No, definitely not",0.60021,329,464,0.55559,0.64483
1994,Lower Secondary Level,1st Quintile,Probably,0.05648,51,464,0.03546,0.07751
1994,Lower Secondary Level,1st Quintile,"Yes, definitely",0.08068,84,464,0.05588,0.10549
1994,Lower Secondary Level,2nd Quintile,"No, definitely not",0.56054,232,317,0.50581,0.61526
1994,Lower Secondary Level,2nd Quintile,Probably,0.04406,34,317,0.02143,0.06668
1994,Lower Secondary Level,2nd Quintile,"Yes, definitely",0.05429,51,317,0.02930,0.07927
1994,Lower Secondary Level,3rd Quintile,"No, definitely not",0.42543,168,213,0.35888,0.49199
1994,Lower Secondary Level,3rd Quintile,"Yes, definitely",0.07020,45,213,0.03581,0.10459
1994,Lower Secondary Level,4th Quintile,"No, definitely not",0.38249,117,149,0.30419,0.46079
1994,Lower Secondary Level,4th Quintile,"Yes, definitely",0.06629,32,149,0.02621,0.10637
1994,Lower Secondary Level,5th Quintile,"No, definitely not",0.36101,77,77,0.25302,0.46899
1994,Upper Secondary Level,1st Quintile,"No, definitely not",0.40619,374,706,0.36993,0.44244
1994,Upper Secondary Level,1st Quintile,Probably not,0.02789,38,706,0.01574,0.04005
1994,Upper Secondary Level,1st Quintile,Probably,0.04235,65,706,0.02748,0.05722
1994,Upper Secondary Level,1st Quintile,"Yes, definitely",0.17003,229,706,0.14230,0.19776
1994,Upper Secondary Level,2nd Quintile,"No, definitely not",0.34526,373,591,0.30689,0.38362
1994,Upper Secondary Level,2nd Quintile,Probably,0.04449,65,591,0.02785,0.06113
1994,Upper Secondary Level,2nd Quintile,"Yes, definitely",0.10104,153,591,0.07673,0.12536
1994,Upper Secondary Level,3rd Quintile,"No, definitely not",0.31152,294,455,0.26892,0.35412
1994,Upper Secondary Level,3rd Quintile,Probably,0.03044,44,455,0.01464,0.04624
1994,Upper Secondary Level,3rd Quintile,"Yes, definitely",0.06749,117,455,0.04441,0.09056
1994,Upper Secondary Level,4th Quintile,"No, definitely not",0.23561,252,395,0.19370,0.27751
1994,Upper Secondary Level,4th Quintile,Probably,0.02226,38,395,0.00769,0.03683
1994,Upper Secondary Level,4th Quintile,"Yes, definitely",0.06382,105,395,0.03968,0.08796
1994,Upper Secondary Level,5th Quintile,"No, definitely not",0.19423,189,255,0.14558,0.24289
1994,Upper Secondary Level,5th Quintile,"Yes, definitely",0.04408,66,255,0.01884,0.06933
1994,First Stage of Tertiary Education,1st Quintile,"No, definitely not",0.53977,37,37,0.37695,0.70258
1994,First Stage of Tertiary Education,3rd Quintile,"No, definitely not",0.30808,38,38,0.15931,0.45685
1994,Second Stage of Tertiary Education,1st Quintile,"No, definitely not",0.33879,38,38,0.18628,0.49129
1994,Second Stage of Tertiary Education,2nd Quintile,"No, definitely not",0.31213,66,66,0.19949,0.42478
