year,quintil_oecd,sex,plb0417_v2,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1994,1st Quintile,male,"No, definitely not",0.64861,278,4957,0.64803,0.64920
1994,1st Quintile,male,"Yes, definitely",0.35139,195,4957,0.35080,0.35197
1994,1st Quintile,female,"No, definitely not",0.72029,645,4957,0.71992,0.72065
1994,1st Quintile,female,Probably not,0.03322,50,4957,0.03307,0.03336
1994,1st Quintile,female,Probably,0.07822,112,4957,0.07800,0.07844
1994,1st Quintile,female,"Yes, definitely",0.16828,239,4957,0.16797,0.16858
1994,2nd Quintile,male,"No, definitely not",0.76431,281,4957,0.76375,0.76487
1994,2nd Quintile,male,"Yes, definitely",0.23569,118,4957,0.23513,0.23625
1994,2nd Quintile,female,"No, definitely not",0.69148,487,4957,0.69105,0.69191
1994,2nd Quintile,female,Probably not,0.05517,48,4957,0.05496,0.05538
1994,2nd Quintile,female,Probably,0.10190,112,4957,0.10161,0.10218
1994,2nd Quintile,female,"Yes, definitely",0.15145,179,4957,0.15112,0.15179
1994,3rd Quintile,male,"No, definitely not",0.74478,206,4957,0.74416,0.74539
1994,3rd Quintile,male,"Yes, definitely",0.25522,118,4957,0.25461,0.25584
1994,3rd Quintile,female,"No, definitely not",0.69460,360,4957,0.69411,0.69508
1994,3rd Quintile,female,Probably not,0.05454,35,4957,0.05430,0.05478
1994,3rd Quintile,female,Probably,0.08835,67,4957,0.08805,0.08865
1994,3rd Quintile,female,"Yes, definitely",0.16251,134,4957,0.16212,0.16290
1994,4th Quintile,male,"No, definitely not",0.72860,177,4957,0.72794,0.72926
1994,4th Quintile,male,"Yes, definitely",0.27140,95,4957,0.27074,0.27206
1994,4th Quintile,female,"No, definitely not",0.68993,283,4957,0.68939,0.69047
1994,4th Quintile,female,Probably not,0.06416,35,4957,0.06388,0.06445
1994,4th Quintile,female,Probably,0.07942,50,4957,0.07910,0.07974
1994,4th Quintile,female,"Yes, definitely",0.16649,104,4957,0.16605,0.16692
1994,5th Quintile,male,"No, definitely not",0.75561,142,4957,0.75491,0.75632
1994,5th Quintile,male,"Yes, definitely",0.24439,68,4957,0.24368,0.24509
1994,5th Quintile,female,"No, definitely not",0.76922,234,4957,0.76867,0.76978
1994,5th Quintile,female,Probably,0.09880,45,4957,0.09841,0.09919
1994,5th Quintile,female,"Yes, definitely",0.13198,60,4957,0.13154,0.13243
1995,1st Quintile,male,"No, definitely not",0.57247,249,5162,0.57186,0.57308
1995,1st Quintile,male,Probably,0.05688,35,5162,0.05660,0.05717
1995,1st Quintile,male,"Yes, definitely",0.37064,203,5162,0.37005,0.37124
1995,1st Quintile,female,"No, definitely not",0.64804,554,5162,0.64762,0.64845
1995,1st Quintile,female,Probably not,0.03859,56,5162,0.03842,0.03875
1995,1st Quintile,female,Probably,0.10678,145,5162,0.10652,0.10705
1995,1st Quintile,female,"Yes, definitely",0.20659,258,5162,0.20624,0.20694
1995,2nd Quintile,male,"No, definitely not",0.76375,283,5162,0.76319,0.76431
1995,2nd Quintile,male,"Yes, definitely",0.23625,144,5162,0.23569,0.23681
1995,2nd Quintile,female,"No, definitely not",0.71166,534,5162,0.71125,0.71207
1995,2nd Quintile,female,Probably not,0.04696,55,5162,0.04677,0.04715
1995,2nd Quintile,female,Probably,0.09089,115,5162,0.09063,0.09115
1995,2nd Quintile,female,"Yes, definitely",0.15050,182,5162,0.15017,0.15082
1995,3rd Quintile,male,"No, definitely not",0.77872,223,5162,0.77813,0.77930
1995,3rd Quintile,male,"Yes, definitely",0.22128,103,5162,0.22070,0.22187
1995,3rd Quintile,female,"No, definitely not",0.72103,377,5162,0.72058,0.72149
1995,3rd Quintile,female,Probably not,0.04225,32,5162,0.04204,0.04246
1995,3rd Quintile,female,Probably,0.10193,75,5162,0.10162,0.10224
1995,3rd Quintile,female,"Yes, definitely",0.13478,136,5162,0.13443,0.13513
1995,4th Quintile,male,"No, definitely not",0.76086,196,5162,0.76025,0.76147
1995,4th Quintile,male,"Yes, definitely",0.23914,102,5162,0.23853,0.23975
1995,4th Quintile,female,"No, definitely not",0.72277,294,5162,0.72225,0.72329
1995,4th Quintile,female,Probably not,0.08541,43,5162,0.08508,0.08573
1995,4th Quintile,female,Probably,0.07678,53,5162,0.07647,0.07709
1995,4th Quintile,female,"Yes, definitely",0.11504,85,5162,0.11467,0.11541
1995,5th Quintile,male,"No, definitely not",0.78194,154,5162,0.78127,0.78262
1995,5th Quintile,male,"Yes, definitely",0.21806,70,5162,0.21738,0.21873
1995,5th Quintile,female,"No, definitely not",0.68564,250,5162,0.68508,0.68620
1995,5th Quintile,female,Probably not,0.09273,36,5162,0.09238,0.09308
1995,5th Quintile,female,Probably,0.08091,44,5162,0.08058,0.08124
1995,5th Quintile,female,"Yes, definitely",0.14072,76,5162,0.14030,0.14114
1996,1st Quintile,male,"No, definitely not",0.57577,250,5146,0.57517,0.57637
1996,1st Quintile,male,Probably,0.05308,31,5146,0.05281,0.05335
1996,1st Quintile,male,"Yes, definitely",0.37114,224,5146,0.37056,0.37173
1996,1st Quintile,female,"No, definitely not",0.64828,554,5146,0.64788,0.64869
1996,1st Quintile,female,Probably not,0.03084,46,5146,0.03069,0.03098
1996,1st Quintile,female,Probably,0.11797,155,5146,0.11769,0.11824
1996,1st Quintile,female,"Yes, definitely",0.20292,250,5146,0.20257,0.20326
1996,2nd Quintile,male,"No, definitely not",0.76280,249,5146,0.76222,0.76339
1996,2nd Quintile,male,"Yes, definitely",0.23720,139,5146,0.23661,0.23778
1996,2nd Quintile,female,"No, definitely not",0.70594,494,5146,0.70552,0.70636
1996,2nd Quintile,female,Probably not,0.04857,44,5146,0.04837,0.04876
1996,2nd Quintile,female,Probably,0.09612,103,5146,0.09584,0.09639
1996,2nd Quintile,female,"Yes, definitely",0.14938,185,5146,0.14905,0.14971
1996,3rd Quintile,male,"No, definitely not",0.75373,253,5146,0.75317,0.75429
1996,3rd Quintile,male,"Yes, definitely",0.24627,111,5146,0.24571,0.24683
1996,3rd Quintile,female,"No, definitely not",0.70203,381,5146,0.70156,0.70250
1996,3rd Quintile,female,Probably not,0.05944,39,5146,0.05920,0.05969
1996,3rd Quintile,female,Probably,0.10712,76,5146,0.10680,0.10743
1996,3rd Quintile,female,"Yes, definitely",0.13142,126,5146,0.13107,0.13176
1996,4th Quintile,male,"No, definitely not",0.82272,213,5146,0.82217,0.82327
1996,4th Quintile,male,"Yes, definitely",0.17728,88,5146,0.17673,0.17783
1996,4th Quintile,female,"No, definitely not",0.71859,329,5146,0.71808,0.71910
1996,4th Quintile,female,Probably not,0.07260,34,5146,0.07230,0.07289
1996,4th Quintile,female,Probably,0.08258,61,5146,0.08227,0.08290
1996,4th Quintile,female,"Yes, definitely",0.12623,88,5146,0.12585,0.12661
1996,5th Quintile,male,"No, definitely not",0.74372,153,5146,0.74305,0.74439
1996,5th Quintile,male,"Yes, definitely",0.25628,77,5146,0.25561,0.25695
1996,5th Quintile,female,"No, definitely not",0.67839,236,5146,0.67782,0.67896
1996,5th Quintile,female,Probably not,0.10269,36,5146,0.10233,0.10306
1996,5th Quintile,female,Probably,0.05153,34,5146,0.05126,0.05180
1996,5th Quintile,female,"Yes, definitely",0.16738,87,5146,0.16693,0.16784
1997,1st Quintile,male,"No, definitely not",0.60236,260,5119,0.60177,0.60294
1997,1st Quintile,male,Probably,0.06561,36,5119,0.06531,0.06590
1997,1st Quintile,male,"Yes, definitely",0.33203,199,5119,0.33147,0.33259
1997,1st Quintile,female,"No, definitely not",0.64943,542,5119,0.64903,0.64982
1997,1st Quintile,female,Probably not,0.05513,69,5119,0.05494,0.05532
1997,1st Quintile,female,Probably,0.10476,128,5119,0.10450,0.10501
1997,1st Quintile,female,"Yes, definitely",0.19069,232,5119,0.19036,0.19101
1997,2nd Quintile,male,"No, definitely not",0.72740,268,5119,0.72683,0.72798
1997,2nd Quintile,male,"Yes, definitely",0.27260,161,5119,0.27202,0.27317
1997,2nd Quintile,female,"No, definitely not",0.71837,511,5119,0.71795,0.71879
1997,2nd Quintile,female,Probably not,0.04782,49,5119,0.04762,0.04802
1997,2nd Quintile,female,Probably,0.10165,104,5119,0.10136,0.10193
1997,2nd Quintile,female,"Yes, definitely",0.13216,172,5119,0.13185,0.13248
1997,3rd Quintile,male,"No, definitely not",0.75808,238,5119,0.75750,0.75865
1997,3rd Quintile,male,"Yes, definitely",0.24192,117,5119,0.24135,0.24250
1997,3rd Quintile,female,"No, definitely not",0.67911,365,5119,0.67863,0.67959
1997,3rd Quintile,female,Probably not,0.04221,36,5119,0.04200,0.04242
1997,3rd Quintile,female,Probably,0.11678,83,5119,0.11645,0.11711
1997,3rd Quintile,female,"Yes, definitely",0.16190,128,5119,0.16152,0.16228
1997,4th Quintile,male,"No, definitely not",0.76071,197,5119,0.76009,0.76132
1997,4th Quintile,male,"Yes, definitely",0.23929,86,5119,0.23868,0.23991
1997,4th Quintile,female,"No, definitely not",0.68141,295,5119,0.68087,0.68194
1997,4th Quintile,female,Probably not,0.08490,37,5119,0.08458,0.08522
1997,4th Quintile,female,Probably,0.09000,56,5119,0.08967,0.09033
1997,4th Quintile,female,"Yes, definitely",0.14369,108,5119,0.14329,0.14409
1997,5th Quintile,male,"No, definitely not",0.80938,179,5119,0.80879,0.80996
1997,5th Quintile,male,"Yes, definitely",0.19062,63,5119,0.19004,0.19121
1997,5th Quintile,female,"No, definitely not",0.73462,262,5119,0.73408,0.73515
1997,5th Quintile,female,Probably not,0.08734,33,5119,0.08700,0.08769
1997,5th Quintile,female,Probably,0.06863,40,5119,0.06833,0.06894
1997,5th Quintile,female,"Yes, definitely",0.10941,65,5119,0.10903,0.10979
1998,1st Quintile,male,"No, definitely not",0.58298,239,4874,0.58231,0.58365
1998,1st Quintile,male,"Yes, definitely",0.41702,221,4874,0.41635,0.41769
1998,1st Quintile,female,"No, definitely not",0.62894,500,4874,0.62849,0.62940
1998,1st Quintile,female,Probably not,0.05699,56,4874,0.05678,0.05721
1998,1st Quintile,female,Probably,0.10115,113,4874,0.10087,0.10144
1998,1st Quintile,female,"Yes, definitely",0.21291,225,4874,0.21252,0.21329
1998,2nd Quintile,male,"No, definitely not",0.71651,248,4874,0.71587,0.71716
1998,2nd Quintile,male,"Yes, definitely",0.28349,146,4874,0.28284,0.28413
1998,2nd Quintile,female,"No, definitely not",0.70599,465,4874,0.70553,0.70646
1998,2nd Quintile,female,Probably not,0.05332,47,4874,0.05309,0.05355
1998,2nd Quintile,female,Probably,0.10135,95,4874,0.10105,0.10166
1998,2nd Quintile,female,"Yes, definitely",0.13933,167,4874,0.13898,0.13969
1998,3rd Quintile,male,"No, definitely not",0.82923,261,4874,0.82870,0.82976
1998,3rd Quintile,male,"Yes, definitely",0.17077,103,4874,0.17024,0.17130
1998,3rd Quintile,female,"No, definitely not",0.74543,394,4874,0.74495,0.74591
1998,3rd Quintile,female,Probably not,0.04580,32,4874,0.04556,0.04603
1998,3rd Quintile,female,Probably,0.04828,49,4874,0.04805,0.04852
1998,3rd Quintile,female,"Yes, definitely",0.16049,139,4874,0.16009,0.16090
1998,4th Quintile,male,"No, definitely not",0.76242,209,4874,0.76176,0.76307
1998,4th Quintile,male,"Yes, definitely",0.23758,99,4874,0.23693,0.23824
1998,4th Quintile,female,"No, definitely not",0.74811,321,4874,0.74757,0.74865
1998,4th Quintile,female,Probably not,0.05697,34,4874,0.05669,0.05726
1998,4th Quintile,female,Probably,0.06564,39,4874,0.06533,0.06595
1998,4th Quintile,female,"Yes, definitely",0.12928,87,4874,0.12886,0.12970
1998,5th Quintile,male,"No, definitely not",0.79595,163,4874,0.79528,0.79661
1998,5th Quintile,male,"Yes, definitely",0.20405,57,4874,0.20339,0.20472
1998,5th Quintile,female,"No, definitely not",0.78906,261,4874,0.78852,0.78960
1998,5th Quintile,female,Probably not,0.06589,31,4874,0.06556,0.06622
1998,5th Quintile,female,"Yes, definitely",0.14505,73,4874,0.14458,0.14552
1999,1st Quintile,male,"No, definitely not",0.60902,275,5293,0.60841,0.60962
1999,1st Quintile,male,"Yes, definitely",0.39098,221,5293,0.39038,0.39159
1999,1st Quintile,female,"No, definitely not",0.65562,549,5293,0.65520,0.65604
1999,1st Quintile,female,Probably not,0.04981,50,5293,0.04962,0.05000
1999,1st Quintile,female,Probably,0.08383,104,5293,0.08358,0.08407
1999,1st Quintile,female,"Yes, definitely",0.21074,257,5293,0.21038,0.21110
1999,2nd Quintile,male,"No, definitely not",0.76400,307,5293,0.76345,0.76456
1999,2nd Quintile,male,"Yes, definitely",0.23600,140,5293,0.23544,0.23655
1999,2nd Quintile,female,"No, definitely not",0.72281,545,5293,0.72239,0.72323
1999,2nd Quintile,female,Probably not,0.04826,43,5293,0.04806,0.04846
1999,2nd Quintile,female,Probably,0.07490,87,5293,0.07465,0.07515
1999,2nd Quintile,female,"Yes, definitely",0.15403,172,5293,0.15369,0.15437
1999,3rd Quintile,male,"No, definitely not",0.79285,304,5293,0.79233,0.79337
1999,3rd Quintile,male,"Yes, definitely",0.20715,107,5293,0.20663,0.20767
1999,3rd Quintile,female,"No, definitely not",0.73808,448,5293,0.73763,0.73853
1999,3rd Quintile,female,Probably not,0.03787,38,5293,0.03768,0.03807
1999,3rd Quintile,female,Probably,0.08131,70,5293,0.08103,0.08159
1999,3rd Quintile,female,"Yes, definitely",0.14273,124,5293,0.14237,0.14309
1999,4th Quintile,male,"No, definitely not",0.86633,260,5293,0.86585,0.86680
1999,4th Quintile,male,"Yes, definitely",0.13367,66,5293,0.13320,0.13415
1999,4th Quintile,female,"No, definitely not",0.78464,352,5293,0.78415,0.78513
1999,4th Quintile,female,Probably,0.07835,45,5293,0.07803,0.07867
1999,4th Quintile,female,"Yes, definitely",0.13701,98,5293,0.13660,0.13742
1999,5th Quintile,male,"No, definitely not",0.83352,200,5293,0.83296,0.83408
1999,5th Quintile,male,"Yes, definitely",0.16648,53,5293,0.16592,0.16704
1999,5th Quintile,female,"No, definitely not",0.86068,303,5293,0.86025,0.86111
1999,5th Quintile,female,"Yes, definitely",0.13932,75,5293,0.13889,0.13975
2000,1st Quintile,male,"No, definitely not",0.61209,309,5196,0.61130,0.61288
2000,1st Quintile,male,"Yes, definitely",0.38791,235,5196,0.38712,0.38870
2000,1st Quintile,female,"No, definitely not",0.69987,605,5196,0.69934,0.70040
2000,1st Quintile,female,Probably not,0.04775,50,5196,0.04750,0.04799
2000,1st Quintile,female,Probably,0.08003,98,5196,0.07971,0.08034
2000,1st Quintile,female,"Yes, definitely",0.17235,230,5196,0.17192,0.17279
2000,2nd Quintile,male,"No, definitely not",0.75873,295,5196,0.75797,0.75950
2000,2nd Quintile,male,"Yes, definitely",0.24127,123,5196,0.24050,0.24203
2000,2nd Quintile,female,"No, definitely not",0.72940,503,5196,0.72882,0.72998
2000,2nd Quintile,female,Probably not,0.04549,46,5196,0.04522,0.04576
2000,2nd Quintile,female,Probably,0.08457,96,5196,0.08420,0.08493
2000,2nd Quintile,female,"Yes, definitely",0.14054,169,5196,0.14009,0.14100
2000,3rd Quintile,male,"No, definitely not",0.81778,297,5196,0.81707,0.81848
2000,3rd Quintile,male,"Yes, definitely",0.18222,93,5196,0.18152,0.18293
2000,3rd Quintile,female,"No, definitely not",0.73343,403,5196,0.73278,0.73408
2000,3rd Quintile,female,Probably not,0.03793,36,5196,0.03765,0.03821
2000,3rd Quintile,female,Probably,0.09018,68,5196,0.08976,0.09060
2000,3rd Quintile,female,"Yes, definitely",0.13846,122,5196,0.13795,0.13897
2000,4th Quintile,male,"No, definitely not",0.85868,249,5196,0.85799,0.85937
2000,4th Quintile,male,"Yes, definitely",0.14132,69,5196,0.14063,0.14201
2000,4th Quintile,female,"No, definitely not",0.79331,327,5196,0.79265,0.79398
2000,4th Quintile,female,Probably,0.08236,41,5196,0.08191,0.08282
2000,4th Quintile,female,"Yes, definitely",0.12432,94,5196,0.12378,0.12486
2000,5th Quintile,male,"No, definitely not",0.79450,190,5196,0.79364,0.79536
