year,migback,regtyp,plb0417_v2,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1994,No migration background,Urban regions,"No, definitely not",0.40340298175773104,1487,5040,0.4032247563150369,0.4035812072004252
1994,No migration background,Urban regions,Probably not,0.024826539978176354,127,5040,0.024770012625598366,0.024883067330754342
1994,No migration background,Urban regions,Probably,0.04036417807552427,225,5040,0.04029267727679811,0.040435678874250425
1994,No migration background,Urban regions,"Yes, definitely",0.10344962665916367,559,5040,0.10333898684882632,0.10356026646950102
1994,No migration background,Rural regions,"No, definitely not",0.20357598063997143,924,5040,0.20342969723744936,0.2037222640424935
1994,No migration background,Rural regions,Probably not,0.012865162731229653,72,5040,0.012824222009691032,0.012906103452768273
1994,No migration background,Rural regions,Probably,0.01837529091539753,125,5040,0.01832649882066646,0.018424083010128604
1994,No migration background,Rural regions,"Yes, definitely",0.06072135620179666,446,5040,0.0606345945990075,0.060808117804585816
1994,Direct migration background,Urban regions,"No, definitely not",0.06850638595292088,526,5040,0.06841461292088567,0.0685981589849561
1994,Direct migration background,Urban regions,Probably not,0.0031796277282337975,38,5040,0.0031591747667114294,0.0032000806897561655
1994,Direct migration background,Urban regions,Probably,0.009078768451510231,92,5040,0.009044310246724531,0.009113226656295931
1994,Direct migration background,Urban regions,"Yes, definitely",0.014925448051693085,145,5040,0.014881396840952353,0.014969499262433817
1994,Direct migration background,Rural regions,"No, definitely not",0.021588767555073912,127,5040,0.021535967515137484,0.02164156759501034
1994,Direct migration background,Rural regions,"Yes, definitely",0.004678499977623534,35,5040,0.004653708944850258,0.00470329101039681
1994,Indirect migration background,Urban regions,"Yes, definitely",0.010461385323953935,112,5040,0.010424422037032846,0.010498348610875024
1995,No migration background,Urban regions,"No, definitely not",0.3930202768473731,1457,5183,0.3928430646456154,0.3931974890491308
1995,No migration background,Urban regions,Probably not,0.025877021149683346,134,5183,0.025819415764395313,0.02593462653497138
1995,No migration background,Urban regions,Probably,0.03958207710082131,212,5183,0.039511334915849065,0.039652819285793554
1995,No migration background,Urban regions,"Yes, definitely",0.09251527128330353,530,5183,0.09241014158278098,0.09262040098382608
1995,No migration background,Rural regions,"No, definitely not",0.20014217776974227,905,5183,0.1999970084773387,0.20028734706214585
