,Unnamed: 0,year,migback,pgisced97,plb0417_v2,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1994,No migration background,Pre-primary Level,"Yes, definitely",1.0,106,4593,0.87669,1.13946
1,1,1994,No migration background,Lower Secondary Level,"No, definitely not",0.84996,728,4593,0.82088,0.88577
2,2,1994,No migration background,Lower Secondary Level,Probably,0.06037,74,4593,0.05328,0.06804
3,3,1994,No migration background,Lower Secondary Level,"Yes, definitely",0.08968,120,4593,0.08078,0.09995
4,4,1994,No migration background,Upper Secondary Level,"No, definitely not",0.68025,1273,4593,0.66039,0.70133
5,5,1994,No migration background,Upper Secondary Level,Probably not,0.04734,116,4593,0.0419,0.05211
6,6,1994,No migration background,Upper Secondary Level,Probably,0.07045,200,4593,0.06504,0.07732
7,7,1994,No migration background,Upper Secondary Level,"Yes, definitely",0.20196,583,4593,0.18968,0.2143
8,8,1994,No migration background,Post-secondary Non-tertiary Level,"Yes, definitely",1.0,54,4593,0.8208,1.17909
9,9,1994,No migration background,First Stage of Tertiary Education,"No, definitely not",0.87289,134,4593,0.79413,0.95431
10,10,1994,No migration background,First Stage of Tertiary Education,"Yes, definitely",0.12711,31,4593,0.09547,0.16745
11,11,1994,No migration background,Second Stage of Tertiary Education,"No, definitely not",0.69263,210,4593,0.64448,0.74159
12,12,1994,No migration background,Second Stage of Tertiary Education,Probably,0.08295,32,4593,0.06571,0.10218
13,13,1994,No migration background,Second Stage of Tertiary Education,"Yes, definitely",0.22442,83,4593,0.18971,0.27196
14,14,1994,Direct migration background,Primary Level,"No, definitely not",1.0,186,4593,0.89545,1.12483
15,15,1994,Direct migration background,Lower Secondary Level,"No, definitely not",0.77235,185,4593,0.66306,0.90024
16,16,1994,Direct migration background,Lower Secondary Level,Probably,0.09,38,4593,0.07212,0.11204
17,17,1994,Direct migration background,Lower Secondary Level,"Yes, definitely",0.13765,57,4593,0.10946,0.17611
