,Unnamed: 0,year,migback,plb0417_v2,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1994,No migration background,"No, definitely not",0.69962,2411,5104,0.68497,0.71379
1,1,1994,No migration background,Probably not,0.04344,199,5104,0.0404,0.04663
2,2,1994,No migration background,Probably,0.0677,350,5104,0.06339,0.07214
3,3,1994,No migration background,"Yes, definitely",0.18923,1005,5104,0.18211,0.19796
4,4,1994,Direct migration background,"No, definitely not",0.72614,653,5104,0.67448,0.78351
5,5,1994,Direct migration background,Probably not,0.03263,45,5104,0.02472,0.04147
6,6,1994,Direct migration background,Probably,0.08323,102,5104,0.06808,0.1005
7,7,1994,Direct migration background,"Yes, definitely",0.158,180,5104,0.13683,0.17579
8,8,1994,Indirect migration background,"No, definitely not",0.23138,32,5104,0.14553,0.32655
9,9,1994,Indirect migration background,"Yes, definitely",0.76862,127,5104,0.67347,0.87522
10,10,1995,No migration background,"No, definitely not",0.70814,2362,5236,0.69123,0.72416
11,11,1995,No migration background,Probably not,0.05002,230,5236,0.04504,0.05453
12,12,1995,No migration background,Probably,0.06681,335,5236,0.0622,0.07169
13,13,1995,No migration background,"Yes, definitely",0.17503,941,5236,0.16657,0.18216
14,14,1995,Direct migration background,"No, definitely not",0.64629,715,5236,0.59891,0.6895
15,15,1995,Direct migration background,Probably not,0.02434,43,5236,0.01936,0.0294
16,16,1995,Direct migration background,Probably,0.09432,153,5236,0.07998,0.1117
17,17,1995,Direct migration background,"Yes, definitely",0.23505,297,5236,0.2125,0.25766
18,18,1995,Indirect migration background,"No, definitely not",0.34237,39,5236,0.24471,0.45592
19,19,1995,Indirect migration background,"Yes, definitely",0.65763,121,5236,0.56822,0.76997
20,20,1996,No migration background,"No, definitely not",0.70693,2374,5257,0.69095,0.72503
21,21,1996,No migration background,Probably not,0.04692,206,5257,0.04257,0.05117
22,22,1996,No migration background,Probably,0.06635,355,5257,0.06089,0.07109
23,23,1996,No migration background,"Yes, definitely",0.17979,956,5257,0.17078,0.1894
24,24,1996,Direct migration background,"No, definitely not",0.6443,706,5257,0.60318,0.69564
25,25,1996,Direct migration background,Probably not,0.03486,45,5257,0.02176,0.04864
26,26,1996,Direct migration background,Probably,0.10331,126,5257,0.08478,0.12752
27,27,1996,Direct migration background,"Yes, definitely",0.21753,274,5257,0.19509,0.23958
28,28,1996,Indirect migration background,"No, definitely not",0.25805,36,5257,0.16628,0.32761
29,29,1996,Indirect migration background,Probably,0.1202,33,5257,0.09157,0.16127
30,30,1996,Indirect migration background,"Yes, definitely",0.62174,146,5257,0.53476,0.71015
31,31,1997,No migration background,"No, definitely not",0.70387,2403,5211,0.68883,0.71944
32,32,1997,No migration background,Probably not,0.04894,215,5211,0.04448,0.05422
33,33,1997,No migration background,Probably,0.07281,358,5211,0.06678,0.07773
34,34,1997,No migration background,"Yes, definitely",0.17438,927,5211,0.16515,0.18499
35,35,1997,Direct migration background,"No, definitely not",0.64858,678,5211,0.60249,0.69358
36,36,1997,Direct migration background,Probably not,0.0409,61,5211,0.02992,0.05223
37,37,1997,Direct migration background,Probably,0.09757,129,5211,0.0787,0.11499
38,38,1997,Direct migration background,"Yes, definitely",0.21295,259,5211,0.18754,0.23721
39,39,1997,Indirect migration background,"No, definitely not",0.2822,36,5211,0.18359,0.40292
40,40,1997,Indirect migration background,"Yes, definitely",0.7178,145,5211,0.60542,0.82623
41,41,1998,No migration background,"No, definitely not",0.71835,2914,5866,0.70539,0.73286
42,42,1998,No migration background,Probably not,0.04681,241,5866,0.04198,0.05096
43,43,1998,No migration background,Probably,0.05658,324,5866,0.05243,0.0602
44,44,1998,No migration background,"Yes, definitely",0.17826,1103,5866,0.17143,0.18656
45,45,1998,Direct migration background,"No, definitely not",0.65075,694,5866,0.61894,0.69414
46,46,1998,Direct migration background,Probably not,0.04977,61,5866,0.04025,0.05927
47,47,1998,Direct migration background,Probably,0.08799,103,5866,0.07,0.1077
48,48,1998,Direct migration background,"Yes, definitely",0.21149,232,5866,0.18895,0.23651
49,49,1998,Indirect migration background,"No, definitely not",0.27687,47,5866,0.19742,0.35074
50,50,1998,Indirect migration background,"Yes, definitely",0.72313,147,5866,0.63321,0.81624
51,51,1999,No migration background,"No, definitely not",0.73778,2826,5456,0.72374,0.75319
52,52,1999,No migration background,Probably not,0.03736,191,5456,0.03412,0.04211
53,53,1999,No migration background,Probably,0.0539,301,5456,0.04939,0.05842
54,54,1999,No migration background,"Yes, definitely",0.17095,968,5456,0.16244,0.1789
55,55,1999,Direct migration background,"No, definitely not",0.70386,672,5456,0.65616,0.74071
56,56,1999,Direct migration background,Probably not,0.03205,31,5456,0.02412,0.04028
57,57,1999,Direct migration background,Probably,0.06509,77,5456,0.05465,0.07439
58,58,1999,Direct migration background,"Yes, definitely",0.199,210,5456,0.17782,0.22475
59,59,1999,Indirect migration background,"No, definitely not",0.33142,45,5456,0.23117,0.42409
60,60,1999,Indirect migration background,"Yes, definitely",0.66858,135,5456,0.58984,0.73475
61,61,2000,No migration background,"No, definitely not",0.74981,5710,10067,0.74041,0.75988
62,62,2000,No migration background,Probably not,0.03536,346,10067,0.03305,0.03745
63,63,2000,No migration background,Probably,0.05836,594,10067,0.05609,0.06078
64,64,2000,No migration background,"Yes, definitely",0.15648,1635,10067,0.15244,0.16098
65,65,2000,Direct migration background,"No, definitely not",0.63723,913,10067,0.60894,0.66338
66,66,2000,Direct migration background,Probably not,0.0482,75,10067,0.04211,0.05457
67,67,2000,Direct migration background,Probably,0.09911,144,10067,0.08945,0.11267
68,68,2000,Direct migration background,"Yes, definitely",0.21547,342,10067,0.20094,0.23021
69,69,2000,Indirect migration background,"No, definitely not",0.2445,61,10067,0.19656,0.28211
70,70,2000,Indirect migration background,Probably,0.11842,36,10067,0.08906,0.14195
71,71,2000,Indirect migration background,"Yes, definitely",0.63708,211,10067,0.58741,0.71161
72,72,2001,No migration background,"No, definitely not",0.75032,5246,9128,0.7397,0.76087
73,73,2001,No migration background,Probably not,0.03374,295,9128,0.03122,0.03639
74,74,2001,No migration background,Probably,0.05198,473,9128,0.04898,0.05525
75,75,2001,No migration background,"Yes, definitely",0.16396,1559,9128,0.15916,0.16916
76,76,2001,Direct migration background,"No, definitely not",0.63728,818,9128,0.6042,0.67135
77,77,2001,Direct migration background,Probably not,0.04284,60,9128,0.0378,0.04947
78,78,2001,Direct migration background,Probably,0.09162,115,9128,0.07866,0.10291
79,79,2001,Direct migration background,"Yes, definitely",0.22826,278,9128,0.20985,0.24595
80,80,2001,Indirect migration background,"No, definitely not",0.23432,51,9128,0.18849,0.27843
81,81,2001,Indirect migration background,Probably,0.15861,46,9128,0.1253,0.20122
82,82,2001,Indirect migration background,"Yes, definitely",0.60707,187,9128,0.53863,0.68382
83,83,2002,No migration background,"No, definitely not",0.7301,5274,9340,0.71942,0.74436
84,84,2002,No migration background,Probably not,0.03288,292,9340,0.03016,0.036
85,85,2002,No migration background,Probably,0.05349,484,9340,0.04962,0.05759
86,86,2002,No migration background,"Yes, definitely",0.18354,1776,9340,0.17796,0.19082
87,87,2002,Direct migration background,"No, definitely not",0.62771,800,9340,0.6027,0.66078
88,88,2002,Direct migration background,Probably not,0.03377,52,9340,0.0266,0.04227
89,89,2002,Direct migration background,Probably,0.08096,106,9340,0.0686,0.09285
90,90,2002,Direct migration background,"Yes, definitely",0.25755,282,9340,0.23925,0.27695
91,91,2002,Indirect migration background,"No, definitely not",0.20332,49,9340,0.15251,0.26324
92,92,2002,Indirect migration background,Probably,0.1083,35,9340,0.07511,0.14381
93,93,2002,Indirect migration background,"Yes, definitely",0.68839,190,9340,0.60476,0.78193
94,94,2003,No migration background,"No, definitely not",0.7268,5173,9132,0.71695,0.73914
95,95,2003,No migration background,Probably not,0.03017,274,9132,0.0276,0.03315
96,96,2003,No migration background,Probably,0.05118,468,9132,0.04797,0.05479
97,97,2003,No migration background,"Yes, definitely",0.19185,1753,9132,0.18404,0.1992
98,98,2003,Direct migration background,"No, definitely not",0.6175,769,9132,0.5887,0.65204
99,99,2003,Direct migration background,Probably not,0.04943,59,9132,0.03849,0.05919
100,100,2003,Direct migration background,Probably,0.08449,94,9132,0.07401,0.09606
101,101,2003,Direct migration background,"Yes, definitely",0.24858,272,9132,0.22959,0.26983
