year,bula_h,regtyp,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Schleswig-Holstein,Urban regions,"No, definitely not",0.67890,35,35,0.52195,0.83584
1994,Schleswig-Holstein,Rural regions,"No, definitely not",0.66740,35,35,0.50903,0.82577
1994,Hamburg,Urban regions,"No, definitely not",0.83805,48,48,0.73272,0.94337
1994,Lower Saxony,Urban regions,"No, definitely not",0.74394,133,180,0.68000,0.80788
1994,Lower Saxony,Urban regions,"Yes, definitely",0.18033,47,180,0.12401,0.23666
1994,Lower Saxony,Rural regions,"No, definitely not",0.68806,122,163,0.61672,0.75940
1994,Lower Saxony,Rural regions,"Yes, definitely",0.15400,41,163,0.09841,0.20958
1994,Bremen,Urban regions,"No, definitely not",0.78603,38,38,0.65388,0.91817
1994,North Rhine-Westphalia,Urban regions,"No, definitely not",0.69371,581,973,0.66473,0.72269
1994,North Rhine-Westphalia,Urban regions,Probably not,0.03671,41,973,0.02489,0.04854
1994,North Rhine-Westphalia,Urban regions,Probably,0.08272,105,973,0.06540,0.10004
1994,North Rhine-Westphalia,Urban regions,"Yes, definitely",0.18685,246,973,0.16235,0.21136
1994,Hesse,Urban regions,"No, definitely not",0.70054,189,288,0.64755,0.75353
1994,Hesse,Urban regions,Probably,0.06771,32,288,0.03864,0.09678
1994,Hesse,Urban regions,"Yes, definitely",0.18256,67,288,0.13787,0.22726
1994,Hesse,Rural regions,"No, definitely not",0.88381,40,40,0.78324,0.98439
1994,"Rhineland-Palatinate, Saarland",Urban regions,"No, definitely not",0.76000,156,192,0.69943,0.82057
1994,"Rhineland-Palatinate, Saarland",Urban regions,"Yes, definitely",0.12906,36,192,0.08151,0.17660
1994,"Rhineland-Palatinate, Saarland",Rural regions,"No, definitely not",0.76720,35,35,0.62514,0.90926
1994,Baden-Wuerttemberg,Urban regions,"No, definitely not",0.66871,332,547,0.62923,0.70819
1994,Baden-Wuerttemberg,Urban regions,Probably,0.09333,72,547,0.06893,0.11773
1994,Baden-Wuerttemberg,Urban regions,"Yes, definitely",0.19967,143,547,0.16614,0.23320
1994,Baden-Wuerttemberg,Rural regions,"No, definitely not",0.74490,59,59,0.63271,0.85709
1994,Bavaria,Urban regions,"No, definitely not",0.69151,196,292,0.63844,0.74458
1994,Bavaria,Urban regions,Probably,0.07835,34,292,0.04747,0.10922
1994,Bavaria,Urban regions,"Yes, definitely",0.18076,62,292,0.13654,0.22497
1994,Bavaria,Rural regions,"No, definitely not",0.72046,177,257,0.66549,0.77544
1994,Bavaria,Rural regions,Probably,0.08937,33,257,0.05443,0.12432
1994,Bavaria,Rural regions,"Yes, definitely",0.15095,47,257,0.10709,0.19480
1994,Berlin,Urban regions,"No, definitely not",0.68057,119,177,0.61168,0.74945
1994,Berlin,Urban regions,"Yes, definitely",0.21937,58,177,0.15824,0.28051
1994,Brandenburg,Rural regions,"No, definitely not",0.72917,136,210,0.66892,0.78941
1994,Brandenburg,Rural regions,"Yes, definitely",0.21028,74,210,0.15503,0.26552
1994,Mecklenburg-Western Pomerania,Rural regions,"No, definitely not",0.57756,72,126,0.49097,0.66415
1994,Mecklenburg-Western Pomerania,Rural regions,"Yes, definitely",0.28941,54,126,0.20991,0.36891
1994,Saxony,Urban regions,"No, definitely not",0.61549,128,202,0.54824,0.68275
1994,Saxony,Urban regions,"Yes, definitely",0.23430,74,202,0.17575,0.29286
1994,Saxony,Rural regions,"No, definitely not",0.66664,133,200,0.60115,0.73214
1994,Saxony,Rural regions,"Yes, definitely",0.23261,67,200,0.17391,0.29131
1994,Saxony-Anhalt,Urban regions,"No, definitely not",0.67881,37,37,0.52628,0.83134
1994,Saxony-Anhalt,Rural regions,"No, definitely not",0.64153,122,192,0.57352,0.70954
1994,Saxony-Anhalt,Rural regions,"Yes, definitely",0.27680,70,192,0.21335,0.34025
1994,Thuringa,Urban regions,"No, definitely not",0.68876,43,43,0.54873,0.82878
1994,Thuringa,Rural regions,"No, definitely not",0.60821,107,180,0.53670,0.67972
1994,Thuringa,Rural regions,"Yes, definitely",0.31182,73,180,0.24396,0.37969
1995,Schleswig-Holstein,Urban regions,"No, definitely not",0.69883,35,35,0.54462,0.85304
1995,Schleswig-Holstein,Rural regions,"No, definitely not",0.60803,33,33,0.43888,0.77718
1995,Hamburg,Urban regions,"No, definitely not",0.76220,35,35,0.61909,0.90530
1995,Lower Saxony,Urban regions,"No, definitely not",0.71378,136,202,0.65129,0.77627
1995,Lower Saxony,Urban regions,"Yes, definitely",0.20797,66,202,0.15186,0.26408
1995,Lower Saxony,Rural regions,"No, definitely not",0.63715,116,171,0.56487,0.70943
1995,Lower Saxony,Rural regions,"Yes, definitely",0.23095,55,171,0.16759,0.29430
1995,Bremen,Urban regions,"No, definitely not",0.77754,39,39,0.64531,0.90978
1995,North Rhine-Westphalia,Urban regions,"No, definitely not",0.69878,598,1012,0.67050,0.72706
1995,North Rhine-Westphalia,Urban regions,Probably not,0.04527,54,1012,0.03246,0.05809
1995,North Rhine-Westphalia,Urban regions,Probably,0.06916,98,1012,0.05352,0.08480
1995,North Rhine-Westphalia,Urban regions,"Yes, definitely",0.18679,262,1012,0.16277,0.21082
1995,Hesse,Urban regions,"No, definitely not",0.70029,191,296,0.64801,0.75257
1995,Hesse,Urban regions,Probably,0.07977,43,296,0.04885,0.11069
1995,Hesse,Urban regions,"Yes, definitely",0.18893,62,296,0.14426,0.23360
1995,Hesse,Rural regions,"No, definitely not",0.78966,41,41,0.66335,0.91596
1995,"Rhineland-Palatinate, Saarland",Urban regions,"No, definitely not",0.70694,159,217,0.64624,0.76764
1995,"Rhineland-Palatinate, Saarland",Urban regions,"Yes, definitely",0.17084,58,217,0.12064,0.22103
1995,"Rhineland-Palatinate, Saarland",Rural regions,"No, definitely not",0.75015,38,38,0.61065,0.88965
1995,Baden-Wuerttemberg,Urban regions,"No, definitely not",0.67648,347,602,0.63907,0.71388
1995,Baden-Wuerttemberg,Urban regions,Probably not,0.04800,31,602,0.03091,0.06509
1995,Baden-Wuerttemberg,Urban regions,Probably,0.10952,83,602,0.08456,0.13449
1995,Baden-Wuerttemberg,Urban regions,"Yes, definitely",0.16600,141,602,0.13626,0.19575
1995,Baden-Wuerttemberg,Rural regions,"No, definitely not",0.83450,60,60,0.73967,0.92933
1995,Bavaria,Urban regions,"No, definitely not",0.68415,195,309,0.63223,0.73606
1995,Bavaria,Urban regions,Probably,0.09087,36,309,0.05877,0.12297
1995,Bavaria,Urban regions,"Yes, definitely",0.18966,78,309,0.14588,0.23345
1995,Bavaria,Rural regions,"No, definitely not",0.70188,177,284,0.64858,0.75517
1995,Bavaria,Rural regions,Probably,0.07009,39,284,0.04034,0.09983
1995,Bavaria,Rural regions,"Yes, definitely",0.16443,68,284,0.12124,0.20761
1995,Berlin,Urban regions,"No, definitely not",0.62399,126,193,0.55547,0.69250
1995,Berlin,Urban regions,"Yes, definitely",0.23121,67,193,0.17157,0.29084
1995,Brandenburg,Rural regions,"No, definitely not",0.70435,132,199,0.64078,0.76791
1995,Brandenburg,Rural regions,"Yes, definitely",0.21343,67,199,0.15636,0.27050
1995,Mecklenburg-Western Pomerania,Rural regions,"No, definitely not",0.67957,75,112,0.59276,0.76638
1995,Mecklenburg-Western Pomerania,Rural regions,"Yes, definitely",0.21176,37,112,0.13575,0.28776
1995,Saxony,Urban regions,"No, definitely not",0.67635,135,203,0.61183,0.74087
1995,Saxony,Urban regions,"Yes, definitely",0.19883,68,203,0.14379,0.25387
1995,Saxony,Rural regions,"No, definitely not",0.69139,127,181,0.62391,0.75887
1995,Saxony,Rural regions,"Yes, definitely",0.18044,54,181,0.12426,0.23662
1995,Saxony-Anhalt,Urban regions,"No, definitely not",0.78741,35,35,0.64989,0.92494
1995,Saxony-Anhalt,Rural regions,"No, definitely not",0.69280,122,193,0.62754,0.75806
1995,Saxony-Anhalt,Rural regions,"Yes, definitely",0.22555,71,193,0.16643,0.28467
1995,Thuringa,Urban regions,"No, definitely not",0.68712,39,39,0.53970,0.83455
1995,Thuringa,Rural regions,"No, definitely not",0.66612,104,164,0.59372,0.73851
1995,Thuringa,Rural regions,"Yes, definitely",0.24070,60,164,0.17507,0.30633
1996,Schleswig-Holstein,Urban regions,"No, definitely not",0.70974,38,38,0.56349,0.85599
1996,Hamburg,Urban regions,"No, definitely not",0.76410,35,35,0.62139,0.90681
1996,Lower Saxony,Urban regions,"No, definitely not",0.77855,151,200,0.72086,0.83624
1996,Lower Saxony,Urban regions,"Yes, definitely",0.15904,49,200,0.10823,0.20985
1996,Lower Saxony,Rural regions,"No, definitely not",0.65348,115,169,0.58152,0.72543
1996,Lower Saxony,Rural regions,"Yes, definitely",0.20090,54,169,0.14031,0.26149
1996,Bremen,Urban regions,"No, definitely not",0.76705,37,37,0.62896,0.90513
1996,North Rhine-Westphalia,Urban regions,"No, definitely not",0.67767,606,1028,0.64909,0.70626
1996,North Rhine-Westphalia,Urban regions,Probably not,0.04405,52,1028,0.03150,0.05660
1996,North Rhine-Westphalia,Urban regions,Probably,0.08286,100,1028,0.06600,0.09972
1996,North Rhine-Westphalia,Urban regions,"Yes, definitely",0.19542,270,1028,0.17116,0.21967
1996,Hesse,Urban regions,"No, definitely not",0.71662,184,259,0.66163,0.77161
1996,Hesse,Urban regions,"Yes, definitely",0.18568,75,259,0.13823,0.23313
1996,Hesse,Rural regions,"No, definitely not",0.79156,44,44,0.67015,0.91297
1996,"Rhineland-Palatinate, Saarland",Urban regions,"No, definitely not",0.70691,152,198,0.64335,0.77047
1996,"Rhineland-Palatinate, Saarland",Urban regions,"Yes, definitely",0.15864,46,198,0.10763,0.20966
1996,"Rhineland-Palatinate, Saarland",Rural regions,"No, definitely not",0.77777,35,35,0.63802,0.91752
1996,Baden-Wuerttemberg,Urban regions,"No, definitely not",0.67396,330,573,0.63555,0.71238
1996,Baden-Wuerttemberg,Urban regions,Probably not,0.06024,36,573,0.04074,0.07974
1996,Baden-Wuerttemberg,Urban regions,Probably,0.09752,68,573,0.07321,0.12184
1996,Baden-Wuerttemberg,Urban regions,"Yes, definitely",0.16827,139,573,0.13761,0.19893
1996,Baden-Wuerttemberg,Rural regions,"No, definitely not",0.73288,57,57,0.61699,0.84876
1996,Bavaria,Urban regions,"No, definitely not",0.67998,183,299,0.62701,0.73294
1996,Bavaria,Urban regions,Probably,0.10319,42,299,0.06865,0.13773
1996,Bavaria,Urban regions,"Yes, definitely",0.16869,74,299,0.12617,0.21121
1996,Bavaria,Rural regions,"No, definitely not",0.71624,189,263,0.66165,0.77083
1996,Bavaria,Rural regions,"Yes, definitely",0.18910,74,263,0.14168,0.23651
1996,Berlin,Urban regions,"No, definitely not",0.61797,125,191,0.54888,0.68706
1996,Berlin,Urban regions,"Yes, definitely",0.24688,66,191,0.18557,0.30819
1996,Brandenburg,Rural regions,"No, definitely not",0.67095,136,213,0.60770,0.73420
1996,Brandenburg,Rural regions,"Yes, definitely",0.25860,77,213,0.19966,0.31754
1996,Mecklenburg-Western Pomerania,Rural regions,"No, definitely not",0.61424,77,130,0.53024,0.69824
1996,Mecklenburg-Western Pomerania,Rural regions,"Yes, definitely",0.31138,53,130,0.23147,0.39129
1996,Saxony,Urban regions,"No, definitely not",0.67027,132,195,0.60412,0.73643
1996,Saxony,Urban regions,"Yes, definitely",0.21226,63,195,0.15472,0.26980
1996,Saxony,Rural regions,"No, definitely not",0.68198,128,184,0.61450,0.74945
