year,age_gr,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,"No, definitely not",0.09650,145,1188,0.07971,0.11330
1994,17-29 y.,Probably not,0.05101,63,1188,0.03849,0.06352
1994,17-29 y.,Probably,0.13707,169,1188,0.11751,0.15664
1994,17-29 y.,"Yes, definitely",0.71542,811,1188,0.68975,0.74109
1994,30-45 y.,"No, definitely not",0.23493,194,856,0.20651,0.26335
1994,30-45 y.,Probably not,0.11667,88,856,0.09515,0.13819
1994,30-45 y.,Probably,0.25700,216,856,0.22771,0.28629
1994,30-45 y.,"Yes, definitely",0.39139,358,856,0.35868,0.42411
1994,46-65 y.,"No, definitely not",0.81988,1335,1658,0.80138,0.83839
1994,46-65 y.,Probably not,0.05770,97,1658,0.04647,0.06892
1994,46-65 y.,Probably,0.04320,88,1658,0.03341,0.05299
1994,46-65 y.,"Yes, definitely",0.07922,138,1658,0.06622,0.09223
1994,66 and older,"No, definitely not",0.99368,1422,1422,0.98956,0.99780
1995,17-29 y.,"No, definitely not",0.10345,148,1214,0.08631,0.12059
1995,17-29 y.,Probably not,0.05915,71,1214,0.04588,0.07243
1995,17-29 y.,Probably,0.15227,190,1214,0.13205,0.17249
1995,17-29 y.,"Yes, definitely",0.68512,805,1214,0.65899,0.71126
1995,30-45 y.,"No, definitely not",0.21368,200,933,0.18737,0.24000
1995,30-45 y.,Probably not,0.12336,104,933,0.10225,0.14448
1995,30-45 y.,Probably,0.24699,224,933,0.21930,0.27468
1995,30-45 y.,"Yes, definitely",0.41597,405,933,0.38432,0.44761
1995,46-65 y.,"No, definitely not",0.81399,1309,1659,0.79526,0.83272
1995,46-65 y.,Probably not,0.06188,101,1659,0.05028,0.07347
1995,46-65 y.,Probably,0.04711,101,1659,0.03691,0.05731
1995,46-65 y.,"Yes, definitely",0.07702,148,1659,0.06419,0.08986
1995,66 and older,"No, definitely not",0.99857,1459,1459,0.99663,1.00051
1996,17-29 y.,"No, definitely not",0.09405,141,1182,0.07740,0.11070
1996,17-29 y.,Probably not,0.04753,42,1182,0.03539,0.05966
1996,17-29 y.,Probably,0.15209,187,1182,0.13161,0.17257
1996,17-29 y.,"Yes, definitely",0.70633,812,1182,0.68035,0.73230
1996,30-45 y.,"No, definitely not",0.19536,188,931,0.16988,0.22084
1996,30-45 y.,Probably not,0.11967,98,931,0.09881,0.14053
1996,30-45 y.,Probably,0.25402,224,931,0.22604,0.28200
1996,30-45 y.,"Yes, definitely",0.43095,421,931,0.39913,0.46278
1996,46-65 y.,"No, definitely not",0.80696,1314,1670,0.78802,0.82589
1996,46-65 y.,Probably not,0.06742,113,1670,0.05539,0.07945
1996,46-65 y.,Probably,0.04747,101,1670,0.03727,0.05767
1996,46-65 y.,"Yes, definitely",0.07816,142,1670,0.06528,0.09103
1996,66 and older,"No, definitely not",0.99693,1473,1473,0.99410,0.99975
1997,17-29 y.,"No, definitely not",0.09687,131,1127,0.07960,0.11415
1997,17-29 y.,Probably not,0.04715,57,1127,0.03477,0.05953
1997,17-29 y.,Probably,0.17463,192,1127,0.15246,0.19681
1997,17-29 y.,"Yes, definitely",0.68135,747,1127,0.65413,0.70856
1997,30-45 y.,"No, definitely not",0.18663,191,947,0.16180,0.21146
1997,30-45 y.,Probably not,0.13207,105,947,0.11049,0.15364
1997,30-45 y.,Probably,0.23877,227,947,0.21161,0.26594
1997,30-45 y.,"Yes, definitely",0.44253,424,947,0.41088,0.47418
1997,46-65 y.,"No, definitely not",0.79466,1295,1669,0.77527,0.81404
1997,46-65 y.,Probably not,0.06940,119,1669,0.05721,0.08160
1997,46-65 y.,Probably,0.05701,95,1669,0.04588,0.06814
1997,46-65 y.,"Yes, definitely",0.07893,160,1669,0.06599,0.09187
1997,66 and older,"No, definitely not",0.99855,1500,1500,0.99662,1.00048
1998,17-29 y.,"No, definitely not",0.10995,145,1186,0.09214,0.12776
1998,17-29 y.,Probably not,0.05790,59,1186,0.04461,0.07120
1998,17-29 y.,Probably,0.14008,156,1186,0.12032,0.15984
1998,17-29 y.,"Yes, definitely",0.69207,826,1186,0.66578,0.71835
1998,30-45 y.,"No, definitely not",0.21018,226,1038,0.18538,0.23498
1998,30-45 y.,Probably not,0.11250,117,1038,0.09326,0.13173
1998,30-45 y.,Probably,0.22238,223,1038,0.19707,0.24769
1998,30-45 y.,"Yes, definitely",0.45495,472,1038,0.42464,0.48526
1998,46-65 y.,"No, definitely not",0.80682,1510,1899,0.78906,0.82458
1998,46-65 y.,Probably not,0.07220,131,1899,0.06056,0.08384
1998,46-65 y.,Probably,0.03603,74,1899,0.02765,0.04441
1998,46-65 y.,"Yes, definitely",0.08495,184,1899,0.07240,0.09749
1998,66 and older,"No, definitely not",0.99866,1774,1774,0.99695,1.00036
1999,17-29 y.,"No, definitely not",0.11130,130,1077,0.09250,0.13009
1999,17-29 y.,Probably not,0.03175,36,1077,0.02128,0.04223
1999,17-29 y.,Probably,0.13154,149,1077,0.11134,0.15173
1999,17-29 y.,"Yes, definitely",0.72541,762,1077,0.69875,0.75208
1999,30-45 y.,"No, definitely not",0.21382,202,893,0.18692,0.24073
1999,30-45 y.,Probably not,0.11931,97,893,0.09804,0.14058
1999,30-45 y.,Probably,0.22214,190,893,0.19486,0.24942
1999,30-45 y.,"Yes, definitely",0.44472,404,893,0.41211,0.47733
1999,46-65 y.,"No, definitely not",0.84136,1487,1793,0.82444,0.85827
1999,46-65 y.,Probably not,0.05478,94,1793,0.04424,0.06531
1999,46-65 y.,Probably,0.03431,69,1793,0.02588,0.04274
1999,46-65 y.,"Yes, definitely",0.06956,143,1793,0.05778,0.08134
1999,66 and older,"No, definitely not",0.99491,1724,1724,0.99155,0.99827
2000,17-29 y.,"No, definitely not",0.09279,159,1705,0.07901,0.10657
2000,17-29 y.,Probably not,0.04105,74,1705,0.03163,0.05047
2000,17-29 y.,Probably,0.14764,235,1705,0.13079,0.16448
2000,17-29 y.,"Yes, definitely",0.71853,1237,1705,0.69717,0.73988
2000,30-45 y.,"No, definitely not",0.19134,311,1588,0.17199,0.21070
2000,30-45 y.,Probably not,0.11902,179,1588,0.10308,0.13495
2000,30-45 y.,Probably,0.25916,399,1588,0.23760,0.28072
2000,30-45 y.,"Yes, definitely",0.43048,699,1588,0.40612,0.45484
2000,46-65 y.,"No, definitely not",0.83753,2764,3328,0.82499,0.85006
2000,46-65 y.,Probably not,0.05331,176,3328,0.04568,0.06095
2000,46-65 y.,Probably,0.03974,139,3328,0.03311,0.04638
2000,46-65 y.,"Yes, definitely",0.06942,249,3328,0.06078,0.07805
2000,66 and older,"No, definitely not",0.99795,3450,3450,0.99644,0.99946
2001,17-29 y.,"No, definitely not",0.08951,143,1551,0.07530,0.10373
2001,17-29 y.,Probably not,0.04288,71,1551,0.03279,0.05296
2001,17-29 y.,Probably,0.11105,176,1551,0.09541,0.12670
2001,17-29 y.,"Yes, definitely",0.75656,1161,1551,0.73519,0.77792
2001,30-45 y.,"No, definitely not",0.17986,280,1375,0.15955,0.20017
2001,30-45 y.,Probably not,0.09643,132,1375,0.08082,0.11204
2001,30-45 y.,Probably,0.25548,335,1375,0.23242,0.27854
2001,30-45 y.,"Yes, definitely",0.46823,628,1375,0.44185,0.49462
2001,46-65 y.,"No, definitely not",0.82448,2431,2946,0.81074,0.83822
2001,46-65 y.,Probably not,0.05811,165,2946,0.04966,0.06655
2001,46-65 y.,Probably,0.04448,122,2946,0.03703,0.05192
2001,46-65 y.,"Yes, definitely",0.07294,228,2946,0.06354,0.08233
2001,66 and older,"No, definitely not",0.99678,3261,3261,0.99484,0.99873
2002,17-29 y.,"No, definitely not",0.09614,161,1678,0.08203,0.11025
2002,17-29 y.,Probably not,0.02941,46,1678,0.02132,0.03749
2002,17-29 y.,Probably,0.10155,157,1678,0.08710,0.11601
2002,17-29 y.,"Yes, definitely",0.77290,1314,1678,0.75285,0.79295
2002,30-45 y.,"No, definitely not",0.14718,239,1387,0.12853,0.16584
2002,30-45 y.,Probably not,0.10634,148,1387,0.09011,0.12257
2002,30-45 y.,Probably,0.23324,343,1387,0.21098,0.25551
2002,30-45 y.,"Yes, definitely",0.51324,657,1387,0.48692,0.53955
2002,46-65 y.,"No, definitely not",0.80000,2331,2884,0.78540,0.81460
2002,46-65 y.,Probably not,0.05434,160,2884,0.04607,0.06262
2002,46-65 y.,Probably,0.04463,120,2884,0.03709,0.05216
2002,46-65 y.,"Yes, definitely",0.10103,273,2884,0.09003,0.11203
2002,66 and older,"No, definitely not",0.99659,3392,3392,0.99463,0.99856
2003,17-29 y.,"No, definitely not",0.12233,186,1662,0.10657,0.13809
