year,regtyp,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Urban regions,"No, definitely not",0.69588,2046,3373,0.68036,0.71141
1994,Urban regions,Probably not,0.04168,172,3373,0.03493,0.04842
1994,Urban regions,Probably,0.07461,339,3373,0.06574,0.08347
1994,Urban regions,"Yes, definitely",0.18783,816,3373,0.17465,0.20102
1994,Rural regions,"No, definitely not",0.69048,1050,1760,0.66888,0.71209
1994,Rural regions,Probably not,0.04182,77,1760,0.03247,0.05118
1994,Rural regions,Probably,0.06090,137,1760,0.04973,0.07208
1994,Rural regions,"Yes, definitely",0.20680,496,1760,0.18787,0.22572
1995,Urban regions,"No, definitely not",0.69127,2079,3494,0.67594,0.70659
1995,Urban regions,Probably not,0.04267,177,3494,0.03597,0.04937
1995,Urban regions,Probably,0.07831,363,3494,0.06940,0.08722
1995,Urban regions,"Yes, definitely",0.18776,875,3494,0.17481,0.20071
1995,Rural regions,"No, definitely not",0.69178,1037,1774,0.67028,0.71327
1995,Rural regions,Probably not,0.05195,101,1774,0.04162,0.06228
1995,Rural regions,Probably,0.06099,152,1774,0.04985,0.07213
1995,Rural regions,"Yes, definitely",0.19528,484,1774,0.17683,0.21373
1996,Urban regions,"No, definitely not",0.68956,2063,3453,0.67413,0.70500
1996,Urban regions,Probably not,0.04444,173,3453,0.03757,0.05131
1996,Urban regions,Probably,0.07987,351,3453,0.07083,0.08891
1996,Urban regions,"Yes, definitely",0.18613,866,3453,0.17314,0.19911
1996,Rural regions,"No, definitely not",0.68663,1053,1809,0.66525,0.70801
1996,Rural regions,Probably not,0.04551,83,1809,0.03591,0.05512
1996,Rural regions,Probably,0.05768,163,1809,0.04693,0.06843
1996,Rural regions,"Yes, definitely",0.21017,510,1809,0.19139,0.22895
1997,Urban regions,"No, definitely not",0.69221,2078,3455,0.67682,0.70761
1997,Urban regions,Probably not,0.04486,185,3455,0.03796,0.05176
1997,Urban regions,Probably,0.07980,346,3455,0.07076,0.08883
1997,Urban regions,"Yes, definitely",0.18313,846,3455,0.17023,0.19603
