,Unnamed: 0,year,pgisced97,sex,plb0417_v2,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1994,Pre-primary Level,male,"Yes, definitely",1.0,65,4662,0.81317,1.19153
1,1,1994,Pre-primary Level,female,"Yes, definitely",1.0,87,4662,0.87954,1.12674
2,2,1994,Primary Level,male,"No, definitely not",1.0,53,4662,0.77227,1.25125
3,3,1994,Primary Level,female,"No, definitely not",1.0,151,4662,0.88354,1.15106
4,4,1994,Lower Secondary Level,male,"No, definitely not",0.65325,139,4662,0.58119,0.74292
5,5,1994,Lower Secondary Level,male,"Yes, definitely",0.34675,117,4662,0.30159,0.39551
6,6,1994,Lower Secondary Level,female,"No, definitely not",0.85129,785,4662,0.81314,0.88332
7,7,1994,Lower Secondary Level,female,Probably not,0.02872,39,4662,0.02179,0.03674
8,8,1994,Lower Secondary Level,female,Probably,0.05771,95,4662,0.05031,0.06559
9,9,1994,Lower Secondary Level,female,"Yes, definitely",0.06227,107,4662,0.05285,0.07056
10,10,1994,Upper Secondary Level,male,"No, definitely not",0.7465,609,4662,0.71358,0.77496
11,11,1994,Upper Secondary Level,male,Probably,0.02419,33,4662,0.01899,0.03022
12,12,1994,Upper Secondary Level,male,"Yes, definitely",0.22931,284,4662,0.20862,0.24979
13,13,1994,Upper Secondary Level,female,"No, definitely not",0.6507,875,4662,0.62538,0.67673
14,14,1994,Upper Secondary Level,female,Probably not,0.06401,109,4662,0.05708,0.071
15,15,1994,Upper Secondary Level,female,Probably,0.10178,203,4662,0.09186,0.11306
16,16,1994,Upper Secondary Level,female,"Yes, definitely",0.18351,387,4662,0.17018,0.19756
17,17,1994,Post-secondary Non-tertiary Level,male,"Yes, definitely",1.0,44,4662,0.80797,1.19617
18,18,1994,First Stage of Tertiary Education,male,"No, definitely not",1.0,100,4662,0.91218,1.13021
19,19,1994,First Stage of Tertiary Education,female,"No, definitely not",1.0,53,4662,0.86371,1.13819
20,20,1994,Second Stage of Tertiary Education,male,"No, definitely not",0.79953,138,4662,0.72045,0.86052
21,21,1994,Second Stage of Tertiary Education,male,"Yes, definitely",0.20047,34,4662,0.14245,0.25146
22,22,1994,Second Stage of Tertiary Education,female,"No, definitely not",0.68236,96,4662,0.58724,0.76389
23,23,1994,Second Stage of Tertiary Education,female,"Yes, definitely",0.31764,59,4662,0.25629,0.38057
24,24,1995,Pre-primary Level,male,"Yes, definitely",1.0,97,4757,0.86953,1.13661
25,25,1995,Pre-primary Level,female,"Yes, definitely",1.0,92,4757,0.87203,1.12637
26,26,1995,Primary Level,male,"No, definitely not",1.0,55,4757,0.78227,1.26813
27,27,1995,Primary Level,female,"No, definitely not",1.0,148,4757,0.83831,1.18446
28,28,1995,Lower Secondary Level,male,"No, definitely not",0.71289,140,4757,0.62461,0.81021
29,29,1995,Lower Secondary Level,male,"Yes, definitely",0.28711,99,4757,0.24865,0.32693
30,30,1995,Lower Secondary Level,female,"No, definitely not",0.82994,766,4757,0.79743,0.86642
31,31,1995,Lower Secondary Level,female,Probably not,0.03147,41,4757,0.02424,0.04218
32,32,1995,Lower Secondary Level,female,Probably,0.06139,98,4757,0.05286,0.06907
33,33,1995,Lower Secondary Level,female,"Yes, definitely",0.0772,128,4757,0.06664,0.0889
34,34,1995,Upper Secondary Level,male,"No, definitely not",0.75144,626,4757,0.71462,0.7866
35,35,1995,Upper Secondary Level,male,Probably,0.03278,44,4757,0.02222,0.04609
36,36,1995,Upper Secondary Level,male,"Yes, definitely",0.21578,295,4757,0.19805,0.23411
37,37,1995,Upper Secondary Level,female,"No, definitely not",0.66626,867,4757,0.63519,0.69442
38,38,1995,Upper Secondary Level,female,Probably not,0.06316,123,4757,0.05479,0.0714
39,39,1995,Upper Secondary Level,female,Probably,0.09749,208,4757,0.08757,0.10716
40,40,1995,Upper Secondary Level,female,"Yes, definitely",0.17309,371,4757,0.15846,0.18705
41,41,1995,Post-secondary Non-tertiary Level,male,"Yes, definitely",1.0,42,4757,0.76086,1.2712
