,Unnamed: 0,year,pgisced97,sampreg,plb0417_v2,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1994,Pre-primary Level,West,"Yes, definitely",1.0,102,4772,0.89663,1.11465
1,1,1994,Pre-primary Level,East,"Yes, definitely",1.0,50,4772,0.89258,1.12085
2,2,1994,Primary Level,West,"No, definitely not",0.78426,200,4772,0.67431,0.9042
3,3,1994,Primary Level,West,"Yes, definitely",0.21574,40,4772,0.16827,0.27297
4,4,1994,Lower Secondary Level,West,"No, definitely not",0.80449,748,4772,0.77005,0.83664
5,5,1994,Lower Secondary Level,West,Probably not,0.03063,45,4772,0.02439,0.0369
6,6,1994,Lower Secondary Level,West,Probably,0.06158,100,4772,0.05391,0.06968
7,7,1994,Lower Secondary Level,West,"Yes, definitely",0.10329,177,4772,0.09237,0.11599
8,8,1994,Lower Secondary Level,East,"No, definitely not",0.86216,176,4772,0.7978,0.92418
9,9,1994,Lower Secondary Level,East,"Yes, definitely",0.13784,47,4772,0.11828,0.16406
10,10,1994,Upper Secondary Level,West,"No, definitely not",0.70752,1021,4772,0.68464,0.73227
11,11,1994,Upper Secondary Level,West,Probably not,0.04878,97,4772,0.04309,0.05397
12,12,1994,Upper Secondary Level,West,Probably,0.07187,164,4772,0.06407,0.08012
13,13,1994,Upper Secondary Level,West,"Yes, definitely",0.17184,367,4772,0.15804,0.18799
14,14,1994,Upper Secondary Level,East,"No, definitely not",0.60233,463,4772,0.5759,0.62492
15,15,1994,Upper Secondary Level,East,Probably not,0.03845,33,4772,0.03193,0.04487
16,16,1994,Upper Secondary Level,East,Probably,0.06733,72,4772,0.05896,0.07622
17,17,1994,Upper Secondary Level,East,"Yes, definitely",0.2919,304,4772,0.27357,0.31055
18,18,1994,Post-secondary Non-tertiary Level,West,"No, definitely not",0.50393,36,4772,0.39704,0.61265
19,19,1994,Post-secondary Non-tertiary Level,West,"Yes, definitely",0.49607,50,4772,0.41906,0.58289
20,20,1994,First Stage of Tertiary Education,West,"No, definitely not",1.0,104,4772,0.92731,1.10994
21,21,1994,First Stage of Tertiary Education,East,"No, definitely not",1.0,49,4772,0.87304,1.11272
22,22,1994,Second Stage of Tertiary Education,West,"No, definitely not",0.74628,102,4772,0.6883,0.79984
23,23,1994,Second Stage of Tertiary Education,West,"Yes, definitely",0.25372,37,4772,0.21397,0.31877
24,24,1994,Second Stage of Tertiary Education,East,"No, definitely not",0.74856,132,4772,0.69749,0.79467
25,25,1994,Second Stage of Tertiary Education,East,"Yes, definitely",0.25144,56,4772,0.21793,0.2864
26,26,1995,Pre-primary Level,West,"No, definitely not",0.20874,35,4914,0.17646,0.25062
27,27,1995,Pre-primary Level,West,"Yes, definitely",0.79126,124,4914,0.70564,0.87331
28,28,1995,Pre-primary Level,East,"Yes, definitely",1.0,65,4914,0.88401,1.11771
29,29,1995,Primary Level,West,"No, definitely not",0.6847,199,4914,0.57175,0.79513
30,30,1995,Primary Level,West,Probably,0.13766,35,4914,0.10612,0.17241
31,31,1995,Primary Level,West,"Yes, definitely",0.17764,36,4914,0.1348,0.22843
32,32,1995,Lower Secondary Level,West,"No, definitely not",0.79514,744,4914,0.75418,0.82945
33,33,1995,Lower Secondary Level,West,Probably not,0.03287,44,4914,0.02442,0.04276
34,34,1995,Lower Secondary Level,West,Probably,0.06337,103,4914,0.0549,0.07267
35,35,1995,Lower Secondary Level,West,"Yes, definitely",0.10862,187,4914,0.09612,0.12219
36,36,1995,Lower Secondary Level,East,"No, definitely not",0.88454,162,4914,0.80266,0.9567
37,37,1995,Lower Secondary Level,East,"Yes, definitely",0.11546,40,4914,0.09782,0.1372
38,38,1995,Upper Secondary Level,West,"No, definitely not",0.71053,1030,4914,0.69054,0.73287
39,39,1995,Upper Secondary Level,West,Probably not,0.04436,98,4914,0.03942,0.05082
40,40,1995,Upper Secondary Level,West,Probably,0.07081,181,4914,0.06304,0.0791
41,41,1995,Upper Secondary Level,West,"Yes, definitely",0.1743,412,4914,0.16213,0.18711
42,42,1995,Upper Secondary Level,East,"No, definitely not",0.64664,463,4914,0.61839,0.6754
43,43,1995,Upper Secondary Level,East,Probably not,0.04304,45,4914,0.03588,0.05085
44,44,1995,Upper Secondary Level,East,Probably,0.07277,71,4914,0.06476,0.08185
45,45,1995,Upper Secondary Level,East,"Yes, definitely",0.23755,254,4914,0.21849,0.25733
46,46,1995,Post-secondary Non-tertiary Level,West,"No, definitely not",0.42842,41,4914,0.34329,0.51652
47,47,1995,Post-secondary Non-tertiary Level,West,"Yes, definitely",0.57158,63,4914,0.4745,0.69283
48,48,1995,First Stage of Tertiary Education,West,"No, definitely not",1.0,95,4914,0.91293,1.11175
49,49,1995,First Stage of Tertiary Education,East,"No, definitely not",1.0,48,4914,0.86944,1.10733
50,50,1995,Second Stage of Tertiary Education,West,"No, definitely not",0.73876,108,4914,0.67075,0.79579
51,51,1995,Second Stage of Tertiary Education,West,"Yes, definitely",0.26124,55,4914,0.21882,0.29027
52,52,1995,Second Stage of Tertiary Education,East,"No, definitely not",0.82339,136,4914,0.77622,0.87136
53,53,1995,Second Stage of Tertiary Education,East,"Yes, definitely",0.17661,40,4914,0.15206,0.20148
54,54,1996,Pre-primary Level,West,"Yes, definitely",1.0,137,4857,0.88766,1.09763
55,55,1996,Pre-primary Level,East,"Yes, definitely",1.0,71,4857,0.89706,1.14213
56,56,1996,Primary Level,West,"No, definitely not",0.78411,184,4857,0.68529,0.91138
57,57,1996,Primary Level,West,"Yes, definitely",0.21589,37,4857,0.15876,0.27568
58,58,1996,Lower Secondary Level,West,"No, definitely not",0.80517,739,4857,0.7686,0.84316
59,59,1996,Lower Secondary Level,West,Probably not,0.02719,34,4857,0.0215,0.03488
60,60,1996,Lower Secondary Level,West,Probably,0.06373,107,4857,0.054,0.07462
61,61,1996,Lower Secondary Level,West,"Yes, definitely",0.10391,183,4857,0.09166,0.11375
62,62,1996,Lower Secondary Level,East,"No, definitely not",0.87551,159,4857,0.81542,0.95294
63,63,1996,Lower Secondary Level,East,"Yes, definitely",0.12449,38,4857,0.10186,0.15138
64,64,1996,Upper Secondary Level,West,"No, definitely not",0.71614,1047,4857,0.69445,0.73974
65,65,1996,Upper Secondary Level,West,Probably not,0.05261,99,4857,0.0452,0.06045
66,66,1996,Upper Secondary Level,West,Probably,0.07594,177,4857,0.06888,0.08636
67,67,1996,Upper Secondary Level,West,"Yes, definitely",0.1553,371,4857,0.14388,0.16773
68,68,1996,Upper Secondary Level,East,"No, definitely not",0.62297,472,4857,0.59267,0.64824
69,69,1996,Upper Secondary Level,East,Probably not,0.04714,47,4857,0.03987,0.05521
70,70,1996,Upper Secondary Level,East,Probably,0.06588,80,4857,0.05757,0.07335
71,71,1996,Upper Secondary Level,East,"Yes, definitely",0.264,272,4857,0.24248,0.28465
72,72,1996,Post-secondary Non-tertiary Level,West,"No, definitely not",0.39165,44,4857,0.29944,0.47461
73,73,1996,Post-secondary Non-tertiary Level,West,"Yes, definitely",0.60835,61,4857,0.49244,0.73169
74,74,1996,First Stage of Tertiary Education,West,"No, definitely not",1.0,96,4857,0.89945,1.09415
75,75,1996,First Stage of Tertiary Education,East,"No, definitely not",1.0,50,4857,0.855,1.13246
76,76,1996,Second Stage of Tertiary Education,West,"No, definitely not",0.75567,106,4857,0.67599,0.82027
77,77,1996,Second Stage of Tertiary Education,West,"Yes, definitely",0.24433,56,4857,0.20025,0.29754
78,78,1996,Second Stage of Tertiary Education,East,"No, definitely not",0.81695,142,4857,0.76417,0.868
79,79,1996,Second Stage of Tertiary Education,East,"Yes, definitely",0.18305,48,4857,0.15252,0.22128
80,80,1997,Pre-primary Level,West,"Yes, definitely",1.0,148,4839,0.89285,1.11883
81,81,1997,Pre-primary Level,East,"Yes, definitely",1.0,67,4839,0.8714,1.13328
82,82,1997,Primary Level,West,"No, definitely not",0.74849,182,4839,0.65708,0.84535
83,83,1997,Primary Level,West,"Yes, definitely",0.25151,41,4839,0.19622,0.32197
84,84,1997,Lower Secondary Level,West,"No, definitely not",0.79323,714,4839,0.75425,0.82996
85,85,1997,Lower Secondary Level,West,Probably not,0.03115,49,4839,0.02173,0.04317
86,86,1997,Lower Secondary Level,West,Probably,0.0611,107,4839,0.05267,0.0718
87,87,1997,Lower Secondary Level,West,"Yes, definitely",0.11452,189,4839,0.1016,0.13195
88,88,1997,Lower Secondary Level,East,"No, definitely not",0.84729,145,4839,0.78348,0.91546
89,89,1997,Lower Secondary Level,East,"Yes, definitely",0.15271,46,4839,0.1299,0.18295
90,90,1997,Upper Secondary Level,West,"No, definitely not",0.71045,1071,4839,0.68467,0.73943
91,91,1997,Upper Secondary Level,West,Probably not,0.05588,106,4839,0.04903,0.06341
92,92,1997,Upper Secondary Level,West,Probably,0.07759,173,4839,0.06721,0.08772
93,93,1997,Upper Secondary Level,West,"Yes, definitely",0.15607,360,4839,0.14126,0.16952
94,94,1997,Upper Secondary Level,East,"No, definitely not",0.62334,479,4839,0.60039,0.64758
95,95,1997,Upper Secondary Level,East,Probably not,0.04914,45,4839,0.04155,0.05803
96,96,1997,Upper Secondary Level,East,Probably,0.08893,80,4839,0.07595,0.10504
97,97,1997,Upper Secondary Level,East,"Yes, definitely",0.23859,263,4839,0.2177,0.25631
98,98,1997,Post-secondary Non-tertiary Level,West,"No, definitely not",0.45041,44,4839,0.36842,0.54085
99,99,1997,Post-secondary Non-tertiary Level,West,"Yes, definitely",0.54959,45,4839,0.45766,0.65965
100,100,1997,First Stage of Tertiary Education,West,"No, definitely not",1.0,90,4839,0.88443,1.12828
101,101,1997,First Stage of Tertiary Education,East,"No, definitely not",1.0,52,4839,0.89489,1.1385
102,102,1997,Second Stage of Tertiary Education,West,"No, definitely not",0.77861,106,4839,0.71031,0.8649
103,103,1997,Second Stage of Tertiary Education,West,"Yes, definitely",0.22139,41,4839,0.16475,0.2811
104,104,1997,Second Stage of Tertiary Education,East,"No, definitely not",0.82762,150,4839,0.77519,0.87428
105,105,1997,Second Stage of Tertiary Education,East,"Yes, definitely",0.17238,46,4839,0.14324,0.19927
106,106,1998,Pre-primary Level,West,"No, definitely not",0.22617,38,5355,0.18041,0.27104
107,107,1998,Pre-primary Level,West,"Yes, definitely",0.77383,144,5355,0.712,0.85016
108,108,1998,Pre-primary Level,East,"Yes, definitely",1.0,66,5355,0.8588,1.13952
109,109,1998,Primary Level,West,"No, definitely not",0.76466,184,5355,0.67343,0.85508
110,110,1998,Primary Level,West,"Yes, definitely",0.23534,34,5355,0.17287,0.30209
111,111,1998,Lower Secondary Level,West,"No, definitely not",0.79068,856,5355,0.76025,0.83103
112,112,1998,Lower Secondary Level,West,Probably not,0.03957,58,5355,0.03179,0.0483
113,113,1998,Lower Secondary Level,West,Probably,0.05046,87,5355,0.04385,0.05849
114,114,1998,Lower Secondary Level,West,"Yes, definitely",0.11929,210,5355,0.10632,0.13172
115,115,1998,Lower Secondary Level,East,"No, definitely not",0.83518,147,5355,0.78376,0.89852
116,116,1998,Lower Secondary Level,East,"Yes, definitely",0.16482,47,5355,0.14125,0.18984
117,117,1998,Upper Secondary Level,West,"No, definitely not",0.72205,1227,5355,0.69907,0.74782
118,118,1998,Upper Secondary Level,West,Probably not,0.05068,111,5355,0.04397,0.05898
119,119,1998,Upper Secondary Level,West,Probably,0.06323,159,5355,0.05608,0.06991
120,120,1998,Upper Secondary Level,West,"Yes, definitely",0.16404,388,5355,0.15423,0.17606
