year,bula_h,migback,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Schleswig-Holstein,No migration background,"No, definitely not",0.68731,65,65,0.57373,0.80089
1994,Hamburg,No migration background,"No, definitely not",0.86933,34,34,0.75433,0.98432
1994,Lower Saxony,No migration background,"No, definitely not",0.71977,213,278,0.66688,0.77266
1994,Lower Saxony,No migration background,"Yes, definitely",0.16057,65,278,0.11733,0.20380
1994,Lower Saxony,Direct migration background,"No, definitely not",0.75535,40,40,0.62043,0.89027
1994,Bremen,No migration background,"No, definitely not",0.80324,32,32,0.66330,0.94319
1994,North Rhine-Westphalia,No migration background,"No, definitely not",0.70012,429,696,0.66605,0.73418
1994,North Rhine-Westphalia,No migration background,Probably not,0.04009,35,696,0.02551,0.05468
1994,North Rhine-Westphalia,No migration background,Probably,0.07917,71,696,0.05909,0.09924
1994,North Rhine-Westphalia,No migration background,"Yes, definitely",0.18062,161,696,0.15202,0.20922
1994,North Rhine-Westphalia,Direct migration background,"No, definitely not",0.73010,153,201,0.66857,0.79162
1994,North Rhine-Westphalia,Direct migration background,"Yes, definitely",0.15238,48,201,0.10257,0.20219
1994,North Rhine-Westphalia,Indirect migration background,"Yes, definitely",0.55082,42,42,0.39857,0.70308
1994,Hesse,No migration background,"No, definitely not",0.72449,145,190,0.66080,0.78819
1994,Hesse,No migration background,"Yes, definitely",0.17576,45,190,0.12150,0.23003
1994,Hesse,Direct migration background,"No, definitely not",0.80617,81,81,0.71955,0.89279
1994,"Rhineland-Palatinate, Saarland",No migration background,"No, definitely not",0.77371,169,206,0.71643,0.83099
1994,"Rhineland-Palatinate, Saarland",No migration background,"Yes, definitely",0.12758,37,206,0.08191,0.17325
1994,Baden-Wuerttemberg,No migration background,"No, definitely not",0.69376,225,356,0.64582,0.74171
1994,Baden-Wuerttemberg,No migration background,Probably,0.07280,40,356,0.04577,0.09982
1994,Baden-Wuerttemberg,No migration background,"Yes, definitely",0.19492,91,356,0.15371,0.23613
1994,Baden-Wuerttemberg,Direct migration background,"No, definitely not",0.71243,160,204,0.65017,0.77470
1994,Baden-Wuerttemberg,Direct migration background,"Yes, definitely",0.13974,44,204,0.09204,0.18743
1994,Baden-Wuerttemberg,Indirect migration background,"Yes, definitely",0.72861,34,34,0.57689,0.88033
1994,Bavaria,No migration background,"No, definitely not",0.72348,284,413,0.68029,0.76667
1994,Bavaria,No migration background,Probably,0.08250,51,413,0.05593,0.10906
1994,Bavaria,No migration background,"Yes, definitely",0.14971,78,413,0.11525,0.18416
1994,Bavaria,Direct migration background,"No, definitely not",0.65012,82,82,0.54626,0.75399
1994,Berlin,No migration background,"No, definitely not",0.69867,97,142,0.62293,0.77440
