,Unnamed: 0,year,age_gr,sex,plb0417_v2,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1994,17-29 y.,male,"No, definitely not",0.08277,41,5072,0.06468,0.09909
1,1,1994,17-29 y.,male,Probably,0.07162,33,5072,0.05618,0.08576
2,2,1994,17-29 y.,male,"Yes, definitely",0.84561,396,5072,0.78846,0.8986
3,3,1994,17-29 y.,female,"No, definitely not",0.10916,104,5072,0.09306,0.12592
4,4,1994,17-29 y.,female,Probably not,0.07009,50,5072,0.0562,0.08282
5,5,1994,17-29 y.,female,Probably,0.19072,136,5072,0.1685,0.21653
6,6,1994,17-29 y.,female,"Yes, definitely",0.63003,415,5072,0.58372,0.66761
7,7,1994,30-45 y.,male,"Yes, definitely",1.0,132,5072,0.85643,1.17313
8,8,1994,30-45 y.,female,"No, definitely not",0.27385,179,5072,0.2458,0.30913
9,9,1994,30-45 y.,female,Probably not,0.13757,83,5072,0.12039,0.15385
10,10,1994,30-45 y.,female,Probably,0.29339,197,5072,0.2659,0.32445
11,11,1994,30-45 y.,female,"Yes, definitely",0.29518,226,5072,0.2686,0.32592
12,12,1994,46-65 y.,male,"No, definitely not",0.79798,495,5072,0.76052,0.84293
13,13,1994,46-65 y.,male,Probably not,0.04433,34,5072,0.03377,0.05482
14,14,1994,46-65 y.,male,Probably,0.04596,34,5072,0.03572,0.05599
15,15,1994,46-65 y.,male,"Yes, definitely",0.11174,65,5072,0.09095,0.12991
16,16,1994,46-65 y.,female,"No, definitely not",0.83326,840,5072,0.79469,0.87248
17,17,1994,46-65 y.,female,Probably not,0.06586,63,5072,0.05574,0.07685
18,18,1994,46-65 y.,female,Probably,0.04151,54,5072,0.03423,0.04952
19,19,1994,46-65 y.,female,"Yes, definitely",0.05937,73,5072,0.0506,0.07052
20,20,1994,66 and older,male,"No, definitely not",1.0,533,5072,0.95544,1.03073
21,21,1994,66 and older,female,"No, definitely not",1.0,889,5072,0.97149,1.04001
22,22,1995,17-29 y.,male,"No, definitely not",0.09535,43,5220,0.07918,0.11467
23,23,1995,17-29 y.,male,Probably,0.0919,37,5220,0.06365,0.13017
24,24,1995,17-29 y.,male,"Yes, definitely",0.81275,401,5220,0.75859,0.88318
25,25,1995,17-29 y.,female,"No, definitely not",0.11245,105,5220,0.09545,0.13227
26,26,1995,17-29 y.,female,Probably not,0.08458,58,5220,0.06584,0.10137
27,27,1995,17-29 y.,female,Probably,0.20477,153,5220,0.17801,0.23188
28,28,1995,17-29 y.,female,"Yes, definitely",0.5982,404,5220,0.55802,0.6401
29,29,1995,30-45 y.,male,"Yes, definitely",1.0,144,5220,0.86963,1.12317
30,30,1995,30-45 y.,female,"No, definitely not",0.24383,185,5220,0.21396,0.27724
31,31,1995,30-45 y.,female,Probably not,0.14277,99,5220,0.12052,0.16639
32,32,1995,30-45 y.,female,Probably,0.28752,212,5220,0.26019,0.31867
33,33,1995,30-45 y.,female,"Yes, definitely",0.32588,261,5220,0.29624,0.35734
34,34,1995,46-65 y.,male,"No, definitely not",0.80278,491,5220,0.75773,0.85775
35,35,1995,46-65 y.,male,Probably not,0.05357,36,5220,0.04195,0.06988
36,36,1995,46-65 y.,male,Probably,0.03853,34,5220,0.02786,0.05319
37,37,1995,46-65 y.,male,"Yes, definitely",0.10512,76,5220,0.08341,0.12711
38,38,1995,46-65 y.,female,"No, definitely not",0.82069,818,5220,0.78316,0.85873
39,39,1995,46-65 y.,female,Probably not,0.06685,65,5220,0.05623,0.07912
40,40,1995,46-65 y.,female,Probably,0.05221,67,5220,0.04341,0.06217
41,41,1995,46-65 y.,female,"Yes, definitely",0.06024,72,5220,0.0481,0.07154
42,42,1995,66 and older,male,"No, definitely not",1.0,556,5220,0.95437,1.04213
43,43,1995,66 and older,female,"No, definitely not",1.0,903,5220,0.9667,1.03123
44,44,1996,17-29 y.,male,"No, definitely not",0.06141,32,5184,0.04285,0.08018
45,45,1996,17-29 y.,male,Probably,0.06396,35,5184,0.05209,0.07743
46,46,1996,17-29 y.,male,"Yes, definitely",0.87463,404,5184,0.81568,0.94089
47,47,1996,17-29 y.,female,"No, definitely not",0.11937,109,5184,0.10208,0.13702
48,48,1996,17-29 y.,female,Probably not,0.06834,32,5184,0.04648,0.09091
49,49,1996,17-29 y.,female,Probably,0.21888,152,5184,0.18907,0.25898
50,50,1996,17-29 y.,female,"Yes, definitely",0.59341,408,5184,0.5464,0.64404
