year,quintil_oecd,regtyp,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,1st Quintile,Urban regions,"No, definitely not",0.67142,554,950,0.64154,0.70131
1994,1st Quintile,Urban regions,Probably not,0.02756,42,950,0.01715,0.03798
1994,1st Quintile,Urban regions,Probably,0.08173,99,950,0.06430,0.09916
1994,1st Quintile,Urban regions,"Yes, definitely",0.21928,255,950,0.19296,0.24561
1994,1st Quintile,Rural regions,"No, definitely not",0.67584,356,613,0.63876,0.71292
1994,1st Quintile,Rural regions,Probably not,0.04743,31,613,0.03059,0.06427
1994,1st Quintile,Rural regions,Probably,0.06155,53,613,0.04251,0.08060
1994,1st Quintile,Rural regions,"Yes, definitely",0.21518,173,613,0.18262,0.24774
1994,2nd Quintile,Urban regions,"No, definitely not",0.68404,466,772,0.65122,0.71685
1994,2nd Quintile,Urban regions,Probably not,0.04975,45,772,0.03440,0.06510
1994,2nd Quintile,Urban regions,Probably,0.07830,83,772,0.05934,0.09726
1994,2nd Quintile,Urban regions,"Yes, definitely",0.18792,178,772,0.16034,0.21549
1994,2nd Quintile,Rural regions,"No, definitely not",0.73822,300,457,0.69787,0.77856
1994,2nd Quintile,Rural regions,Probably,0.05948,35,457,0.03777,0.08118
1994,2nd Quintile,Rural regions,"Yes, definitely",0.18258,122,457,0.14712,0.21804
1994,3rd Quintile,Urban regions,"No, definitely not",0.70353,382,601,0.66698,0.74007
1994,3rd Quintile,Urban regions,Probably,0.07121,63,601,0.05063,0.09179
1994,3rd Quintile,Urban regions,"Yes, definitely",0.18171,156,601,0.15086,0.21257
1994,3rd Quintile,Rural regions,"No, definitely not",0.71238,197,295,0.66064,0.76413
1994,3rd Quintile,Rural regions,"Yes, definitely",0.19361,98,295,0.14844,0.23878
1994,4th Quintile,Urban regions,"No, definitely not",0.70427,333,539,0.66571,0.74284
1994,4th Quintile,Urban regions,Probably not,0.04956,31,539,0.03122,0.06790
1994,4th Quintile,Urban regions,Probably,0.06889,48,539,0.04749,0.09029
1994,4th Quintile,Urban regions,"Yes, definitely",0.17728,127,539,0.14500,0.20955
1994,4th Quintile,Rural regions,"No, definitely not",0.66384,129,200,0.59820,0.72947
1994,4th Quintile,Rural regions,"Yes, definitely",0.23333,71,200,0.17457,0.29210
1994,5th Quintile,Urban regions,"No, definitely not",0.73523,308,451,0.69446,0.77599
