year,age_gr,regtyp,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,Urban regions,"No, definitely not",0.03460,108,820,0.02208,0.04711
1994,17-29 y.,Urban regions,Probably not,0.01679,42,820,0.00799,0.02559
1994,17-29 y.,Urban regions,Probably,0.05131,124,820,0.03620,0.06642
1994,17-29 y.,Urban regions,"Yes, definitely",0.26071,546,820,0.23064,0.29077
1994,17-29 y.,Rural regions,"No, definitely not",0.03265,37,347,0.01392,0.05138
1994,17-29 y.,Rural regions,Probably,0.04166,45,347,0.02060,0.06271
1994,17-29 y.,Rural regions,"Yes, definitely",0.23284,265,347,0.18830,0.27737
1994,30-45 y.,Urban regions,"No, definitely not",0.05080,148,573,0.03280,0.06880
1994,30-45 y.,Urban regions,Probably not,0.02529,65,573,0.01242,0.03816
1994,30-45 y.,Urban regions,Probably,0.05332,156,573,0.03491,0.07173
1994,30-45 y.,Urban regions,"Yes, definitely",0.07079,204,573,0.04977,0.09181
1994,30-45 y.,Rural regions,"No, definitely not",0.03741,46,260,0.01430,0.06052
1994,30-45 y.,Rural regions,Probably,0.04625,60,260,0.02067,0.07183
1994,30-45 y.,Rural regions,"Yes, definitely",0.09506,154,260,0.05934,0.13078
1994,46-65 y.,Urban regions,"No, definitely not",0.34446,864,1046,0.31564,0.37327
1994,46-65 y.,Urban regions,Probably not,0.02235,64,1046,0.01338,0.03131
1994,46-65 y.,Urban regions,Probably,0.01824,56,1046,0.01013,0.02636
1994,46-65 y.,Urban regions,"Yes, definitely",0.02219,62,1046,0.01326,0.03112
1994,46-65 y.,Rural regions,"No, definitely not",0.37177,471,612,0.33345,0.41009
1994,46-65 y.,Rural regions,Probably not,0.03030,33,612,0.01670,0.04389
1994,46-65 y.,Rural regions,Probably,0.01938,32,612,0.00845,0.03031
1994,46-65 y.,Rural regions,"Yes, definitely",0.06012,76,612,0.04127,0.07897
1994,66 and older,Urban regions,"No, definitely not",0.94519,926,926,0.93052,0.95986
1994,66 and older,Rural regions,"No, definitely not",0.96066,496,496,0.94353,0.97778
1995,17-29 y.,Urban regions,"No, definitely not",0.04189,116,850,0.02841,0.05536
1995,17-29 y.,Urban regions,Probably not,0.02308,49,850,0.01298,0.03319
1995,17-29 y.,Urban regions,Probably,0.05748,138,850,0.04182,0.07313
1995,17-29 y.,Urban regions,"Yes, definitely",0.25974,547,850,0.23024,0.28923
1995,17-29 y.,Rural regions,"No, definitely not",0.02676,32,342,0.00963,0.04388
1995,17-29 y.,Rural regions,Probably,0.04828,52,342,0.02553,0.07104
1995,17-29 y.,Rural regions,"Yes, definitely",0.21482,258,342,0.17123,0.25841
1995,30-45 y.,Urban regions,"No, definitely not",0.04768,151,628,0.03100,0.06436
1995,30-45 y.,Urban regions,Probably not,0.02510,69,628,0.01285,0.03734
1995,30-45 y.,Urban regions,Probably,0.05554,163,628,0.03761,0.07347
1995,30-45 y.,Urban regions,"Yes, definitely",0.07734,245,628,0.05643,0.09824
1995,30-45 y.,Rural regions,"No, definitely not",0.03476,49,305,0.01417,0.05535
1995,30-45 y.,Rural regions,Probably not,0.02559,35,305,0.00784,0.04334
1995,30-45 y.,Rural regions,Probably,0.03920,61,305,0.01738,0.06102
1995,30-45 y.,Rural regions,"Yes, definitely",0.10287,160,305,0.06872,0.13702
1995,46-65 y.,Urban regions,"No, definitely not",0.33753,846,1047,0.30887,0.36619
1995,46-65 y.,Urban regions,Probably not,0.02071,57,1047,0.01208,0.02935
1995,46-65 y.,Urban regions,Probably,0.02049,62,1047,0.01190,0.02907
1995,46-65 y.,Urban regions,"Yes, definitely",0.02715,82,1047,0.01730,0.03700
1995,46-65 y.,Rural regions,"No, definitely not",0.36391,463,612,0.32576,0.40206
1995,46-65 y.,Rural regions,Probably not,0.03802,44,612,0.02286,0.05319
1995,46-65 y.,Rural regions,Probably,0.01907,39,612,0.00823,0.02992
1995,46-65 y.,Rural regions,"Yes, definitely",0.04447,66,612,0.02813,0.06082
1995,66 and older,Urban regions,"No, definitely not",0.94219,966,966,0.92746,0.95691
1995,66 and older,Rural regions,"No, definitely not",0.96202,493,493,0.94513,0.97891
1996,17-29 y.,Urban regions,"No, definitely not",0.03766,105,804,0.02450,0.05083
1996,17-29 y.,Urban regions,Probably not,0.02093,31,804,0.01103,0.03083
1996,17-29 y.,Urban regions,Probably,0.06273,123,804,0.04595,0.07950
1996,17-29 y.,Urban regions,"Yes, definitely",0.26666,545,804,0.23607,0.29725
1996,17-29 y.,Rural regions,"No, definitely not",0.03017,36,367,0.01264,0.04769
1996,17-29 y.,Rural regions,Probably,0.04498,64,367,0.02374,0.06621
1996,17-29 y.,Rural regions,"Yes, definitely",0.26039,267,367,0.21543,0.30536
1996,30-45 y.,Urban regions,"No, definitely not",0.03922,132,609,0.02379,0.05465
1996,30-45 y.,Urban regions,Probably not,0.02249,66,609,0.01071,0.03428
1996,30-45 y.,Urban regions,Probably,0.05570,164,609,0.03747,0.07393
1996,30-45 y.,Urban regions,"Yes, definitely",0.08002,247,609,0.05846,0.10159
