year,migback,sex,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,No migration background,male,"No, definitely not",0.68881,844,1376,0.66434,0.71328
1994,No migration background,male,Probably not,0.02435,41,1376,0.01621,0.03250
1994,No migration background,male,Probably,0.03565,59,1376,0.02585,0.04545
1994,No migration background,male,"Yes, definitely",0.25118,432,1376,0.22826,0.27411
1994,No migration background,female,"No, definitely not",0.70551,1568,2590,0.68795,0.72306
1994,No migration background,female,Probably not,0.05372,158,2590,0.04504,0.06241
1994,No migration background,female,Probably,0.08498,291,2590,0.07424,0.09572
1994,No migration background,female,"Yes, definitely",0.15579,573,2590,0.14182,0.16976
1994,Direct migration background,male,"No, definitely not",0.70776,236,334,0.65891,0.75661
1994,Direct migration background,male,"Yes, definitely",0.22653,98,334,0.18157,0.27149
1994,Direct migration background,female,"No, definitely not",0.73920,417,616,0.70450,0.77390
1994,Direct migration background,female,Probably not,0.04551,36,616,0.02904,0.06198
1994,Direct migration background,female,Probably,0.10566,81,616,0.08136,0.12995
1994,Direct migration background,female,"Yes, definitely",0.10963,82,616,0.08494,0.13433
1994,Indirect migration background,male,"Yes, definitely",0.83667,66,66,0.74681,0.92654
1994,Indirect migration background,female,"Yes, definitely",0.55422,61,61,0.42845,0.67999
1995,No migration background,male,"No, definitely not",0.71095,833,1337,0.68665,0.73526
1995,No migration background,male,Probably not,0.02876,42,1337,0.01980,0.03773
1995,No migration background,male,Probably,0.03117,47,1337,0.02185,0.04049
1995,No migration background,male,"Yes, definitely",0.22912,415,1337,0.20658,0.25165
1995,No migration background,female,"No, definitely not",0.70665,1529,2531,0.68890,0.72439
1995,No migration background,female,Probably not,0.06129,188,2531,0.05194,0.07063
1995,No migration background,female,Probably,0.08574,288,2531,0.07483,0.09665
1995,No migration background,female,"Yes, definitely",0.14633,526,2531,0.13255,0.16010
1995,Direct migration background,male,"No, definitely not",0.63086,262,405,0.58380,0.67792
1995,Direct migration background,male,"Yes, definitely",0.31210,143,405,0.26691,0.35728
1995,Direct migration background,female,"No, definitely not",0.65686,453,764,0.62317,0.69054
1995,Direct migration background,female,Probably not,0.03107,33,764,0.01876,0.04338
1995,Direct migration background,female,Probably,0.12935,124,764,0.10554,0.15317
1995,Direct migration background,female,"Yes, definitely",0.18272,154,764,0.15530,0.21014
1995,Indirect migration background,male,"Yes, definitely",0.68673,64,64,0.57219,0.80126
1995,Indirect migration background,female,"Yes, definitely",0.41661,57,57,0.28749,0.54574
1996,No migration background,male,"No, definitely not",0.70756,840,1375,0.68351,0.73162
1996,No migration background,male,Probably not,0.02432,40,1375,0.01617,0.03246
1996,No migration background,male,Probably,0.03148,58,1375,0.02224,0.04071
1996,No migration background,male,"Yes, definitely",0.23664,437,1375,0.21417,0.25912
1996,No migration background,female,"No, definitely not",0.70648,1534,2516,0.68868,0.72427
1996,No migration background,female,Probably not,0.05948,166,2516,0.05024,0.06872
1996,No migration background,female,Probably,0.08573,297,2516,0.07479,0.09667
1996,No migration background,female,"Yes, definitely",0.14832,519,2516,0.13442,0.16221
1996,Direct migration background,male,"No, definitely not",0.67943,270,399,0.63358,0.72528
1996,Direct migration background,male,"Yes, definitely",0.26772,129,399,0.22422,0.31122
1996,Direct migration background,female,"No, definitely not",0.62112,436,718,0.58561,0.65663
1996,Direct migration background,female,Probably not,0.04621,32,718,0.03084,0.06157
1996,Direct migration background,female,Probably,0.14869,105,718,0.12265,0.17473
1996,Direct migration background,female,"Yes, definitely",0.18399,145,718,0.15562,0.21235
1996,Indirect migration background,male,"Yes, definitely",0.71811,73,73,0.61418,0.82204
1996,Indirect migration background,female,"Yes, definitely",0.51323,73,73,0.39777,0.62868
1997,No migration background,male,"No, definitely not",0.70476,873,1409,0.68094,0.72859
1997,No migration background,male,Probably not,0.02695,40,1409,0.01849,0.03541
1997,No migration background,male,Probably,0.03666,71,1409,0.02684,0.04648
1997,No migration background,male,"Yes, definitely",0.23163,425,1409,0.20959,0.25366
1997,No migration background,female,"No, definitely not",0.70276,1530,2495,0.68483,0.72070
1997,No migration background,female,Probably not,0.06144,175,2495,0.05201,0.07086
1997,No migration background,female,Probably,0.09327,286,2495,0.08186,0.10468
1997,No migration background,female,"Yes, definitely",0.14253,504,2495,0.12881,0.15625
1997,Direct migration background,male,"No, definitely not",0.67246,258,381,0.62528,0.71965
1997,Direct migration background,male,"Yes, definitely",0.25428,123,381,0.21050,0.29806
1997,Direct migration background,female,"No, definitely not",0.63286,420,703,0.59720,0.66852
1997,Direct migration background,female,Probably not,0.05465,45,703,0.03783,0.07146
1997,Direct migration background,female,Probably,0.12734,102,703,0.10268,0.15201
1997,Direct migration background,female,"Yes, definitely",0.18515,136,703,0.15641,0.21388
1997,Indirect migration background,male,"Yes, definitely",0.78244,78,78,0.69028,0.87460
1997,Indirect migration background,female,"Yes, definitely",0.43807,65,65,0.31651,0.55963
1998,No migration background,male,"No, definitely not",0.71819,1076,1678,0.69666,0.73972
1998,No migration background,male,Probably not,0.03197,56,1678,0.02355,0.04039
1998,No migration background,male,Probably,0.03188,61,1678,0.02347,0.04029
1998,No migration background,male,"Yes, definitely",0.21796,485,1678,0.19820,0.23772
