,Unnamed: 0,year,bula_h,plb0417_v2,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1994,Schleswig-Holstein,"No, definitely not",0.74518,70,4833,0.66014,0.83815
1,1,1994,Schleswig-Holstein,"Yes, definitely",0.25482,32,4833,0.21002,0.30946
2,2,1994,Hamburg,"No, definitely not",1.0,48,4833,0.81734,1.18311
3,3,1994,Lower Saxony,"No, definitely not",0.81061,255,4833,0.75303,0.87311
4,4,1994,Lower Saxony,"Yes, definitely",0.18939,88,4833,0.16551,0.21639
5,5,1994,Bremen,"No, definitely not",1.0,38,4833,0.84298,1.13215
6,6,1994,North Rhine-Westphalia,"No, definitely not",0.69174,593,4833,0.65602,0.72773
7,7,1994,North Rhine-Westphalia,Probably not,0.03687,42,4833,0.03037,0.04321
8,8,1994,North Rhine-Westphalia,Probably,0.08316,108,4833,0.07385,0.09661
9,9,1994,North Rhine-Westphalia,"Yes, definitely",0.18823,251,4833,0.16955,0.2041
10,10,1994,Hesse,"No, definitely not",0.76303,229,4833,0.70309,0.82571
11,11,1994,Hesse,Probably,0.05851,32,4833,0.04798,0.07475
12,12,1994,Hesse,"Yes, definitely",0.17846,80,4833,0.14385,0.20584
13,13,1994,"Rhineland-Palatinate, Saarland","No, definitely not",0.84928,191,4833,0.79193,0.91414
14,14,1994,"Rhineland-Palatinate, Saarland","Yes, definitely",0.15072,46,4833,0.12984,0.17152
15,15,1994,Baden-Wuerttemberg,"No, definitely not",0.68035,391,4833,0.62974,0.72357
16,16,1994,Baden-Wuerttemberg,Probably not,0.03916,35,4833,0.02876,0.05133
17,17,1994,Baden-Wuerttemberg,Probably,0.08061,76,4833,0.0653,0.09593
18,18,1994,Baden-Wuerttemberg,"Yes, definitely",0.19988,169,4833,0.17642,0.22383
19,19,1994,Bavaria,"No, definitely not",0.70576,373,4833,0.67033,0.75074
20,20,1994,Bavaria,Probably not,0.04445,36,4833,0.03565,0.05517
21,21,1994,Bavaria,Probably,0.08366,67,4833,0.06903,0.09752
22,22,1994,Bavaria,"Yes, definitely",0.16613,109,4833,0.14433,0.19685
23,23,1994,Berlin,"No, definitely not",0.75618,119,4833,0.67661,0.83344
24,24,1994,Berlin,"Yes, definitely",0.24382,58,4833,0.20384,0.28629
25,25,1994,Brandenburg,"No, definitely not",0.76878,140,4833,0.71978,0.82331
26,26,1994,Brandenburg,"Yes, definitely",0.23122,77,4833,0.20716,0.25973
27,27,1994,Mecklenburg-Western Pomerania,"No, definitely not",0.61218,79,4833,0.55441,0.66476
28,28,1994,Mecklenburg-Western Pomerania,"Yes, definitely",0.38782,67,4833,0.34033,0.43291
29,29,1994,Saxony,"No, definitely not",0.6774,261,4833,0.64202,0.7124
30,30,1994,Saxony,Probably,0.07587,40,4833,0.06077,0.09155
31,31,1994,Saxony,"Yes, definitely",0.24673,141,4833,0.22572,0.27126
32,32,1994,Saxony-Anhalt,"No, definitely not",0.70285,159,4833,0.65425,0.75488
33,33,1994,Saxony-Anhalt,"Yes, definitely",0.29715,93,4833,0.26093,0.34721
34,34,1994,Thuringa,"No, definitely not",0.68959,150,4833,0.63239,0.73475
35,35,1994,Thuringa,"Yes, definitely",0.31041,90,4833,0.27184,0.35031
36,36,1995,Schleswig-Holstein,"No, definitely not",0.76386,68,5001,0.65974,0.87117
37,37,1995,Schleswig-Holstein,"Yes, definitely",0.23614,31,5001,0.18593,0.29748
38,38,1995,Hamburg,"No, definitely not",1.0,35,5001,0.79914,1.20126
39,39,1995,Lower Saxony,"No, definitely not",0.70613,252,5001,0.64904,0.7503
40,40,1995,Lower Saxony,Probably,0.06485,31,5001,0.0502,0.0791
41,41,1995,Lower Saxony,"Yes, definitely",0.22902,121,5001,0.19222,0.25957
42,42,1995,Bremen,"No, definitely not",1.0,39,5001,0.87153,1.16236
43,43,1995,North Rhine-Westphalia,"No, definitely not",0.69588,610,5001,0.6608,0.7262
44,44,1995,North Rhine-Westphalia,Probably not,0.04471,55,5001,0.03749,0.05315
45,45,1995,North Rhine-Westphalia,Probably,0.07112,103,5001,0.05859,0.08366
46,46,1995,North Rhine-Westphalia,"Yes, definitely",0.18829,268,5001,0.17468,0.20436
47,47,1995,Hesse,"No, definitely not",0.73501,232,5001,0.67699,0.78791
48,48,1995,Hesse,Probably,0.07415,47,5001,0.06231,0.08738
49,49,1995,Hesse,"Yes, definitely",0.19084,78,5001,0.1571,0.22133
50,50,1995,"Rhineland-Palatinate, Saarland","No, definitely not",0.75335,197,5001,0.69969,0.80362
51,51,1995,"Rhineland-Palatinate, Saarland",Probably,0.07492,32,5001,0.0633,0.08852
52,52,1995,"Rhineland-Palatinate, Saarland","Yes, definitely",0.17173,69,5001,0.1477,0.19582
53,53,1995,Baden-Wuerttemberg,"No, definitely not",0.69986,407,5001,0.65087,0.75394
54,54,1995,Baden-Wuerttemberg,Probably not,0.04374,33,5001,0.03192,0.05804
55,55,1995,Baden-Wuerttemberg,Probably,0.09764,89,5001,0.08154,0.11571
56,56,1995,Baden-Wuerttemberg,"Yes, definitely",0.15876,162,5001,0.13991,0.17589
57,57,1995,Bavaria,"No, definitely not",0.69283,372,5001,0.64904,0.74134
58,58,1995,Bavaria,Probably not,0.04916,38,5001,0.03944,0.06084
59,59,1995,Bavaria,Probably,0.08065,75,5001,0.06608,0.09837
60,60,1995,Bavaria,"Yes, definitely",0.17735,146,5001,0.159,0.19226
61,61,1995,Berlin,"No, definitely not",0.72947,126,5001,0.66754,0.81838
62,62,1995,Berlin,"Yes, definitely",0.27053,67,5001,0.23031,0.30457
63,63,1995,Brandenburg,"No, definitely not",0.76765,133,5001,0.70874,0.82018
64,64,1995,Brandenburg,"Yes, definitely",0.23235,67,5001,0.20414,0.26204
65,65,1995,Mecklenburg-Western Pomerania,"No, definitely not",0.69403,83,5001,0.63348,0.74656
66,66,1995,Mecklenburg-Western Pomerania,"Yes, definitely",0.30597,51,5001,0.25563,0.35498
67,67,1995,Saxony,"No, definitely not",0.72131,262,5001,0.68691,0.75954
