,Unnamed: 0,year,sex,plb0417_v2,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1994,male,"No, definitely not",0.67793,1084,5133,0.65602,0.70469
1,1,1994,male,Probably not,0.02306,53,5133,0.01886,0.02716
2,2,1994,male,Probably,0.03904,89,5133,0.03357,0.04535
3,3,1994,male,"Yes, definitely",0.25998,596,5133,0.24408,0.27422
4,4,1994,female,"No, definitely not",0.7032,2012,5133,0.6859,0.72108
5,5,1994,female,Probably not,0.0522,196,5133,0.04759,0.05676
6,6,1994,female,Probably,0.08769,387,5133,0.08053,0.09327
7,7,1994,female,"Yes, definitely",0.15692,716,5133,0.14926,0.16686
8,8,1995,male,"No, definitely not",0.68595,1105,5268,0.65834,0.70831
9,9,1995,male,Probably not,0.02638,55,5268,0.02179,0.03213
10,10,1995,male,Probably,0.03509,83,5268,0.0269,0.04296
11,11,1995,male,"Yes, definitely",0.25258,622,5268,0.23677,0.27006
12,12,1995,female,"No, definitely not",0.69445,2011,5268,0.67365,0.71449
13,13,1995,female,Probably not,0.05628,223,5268,0.05045,0.06267
14,14,1995,female,Probably,0.09366,432,5268,0.08731,0.10157
15,15,1995,female,"Yes, definitely",0.15562,737,5268,0.14828,0.16463
16,16,1996,male,"No, definitely not",0.69016,1119,5262,0.65955,0.7154
17,17,1996,male,Probably not,0.02403,57,5262,0.01915,0.02874
18,18,1996,male,Probably,0.03289,85,5262,0.02742,0.03957
19,19,1996,male,"Yes, definitely",0.25293,639,5262,0.23887,0.26855
20,20,1996,female,"No, definitely not",0.68784,1997,5262,0.66848,0.70866
21,21,1996,female,Probably not,0.05668,199,5262,0.0505,0.0632
22,22,1996,female,Probably,0.09587,429,5262,0.08895,0.1043
23,23,1996,female,"Yes, definitely",0.15961,737,5262,0.14954,0.16893
24,24,1997,male,"No, definitely not",0.68422,1142,5246,0.65656,0.70844
25,25,1997,male,Probably not,0.02553,58,5246,0.0206,0.03188
26,26,1997,male,Probably,0.04123,105,5246,0.03509,0.04725
27,27,1997,male,"Yes, definitely",0.24901,626,5246,0.2309,0.26674
28,28,1997,female,"No, definitely not",0.68734,1975,5246,0.66201,0.70755
29,29,1997,female,Probably not,0.05983,224,5246,0.05309,0.06787
30,30,1997,female,Probably,0.09922,411,5246,0.09238,0.10793
31,31,1997,female,"Yes, definitely",0.1536,705,5246,0.14333,0.16377
32,32,1998,male,"No, definitely not",0.68829,1351,5899,0.66795,0.71228
33,33,1998,male,Probably not,0.0314,74,5899,0.02615,0.03753
34,34,1998,male,Probably,0.03441,81,5899,0.02853,0.04053
35,35,1998,male,"Yes, definitely",0.24591,699,5899,0.23056,0.26232
36,36,1998,female,"No, definitely not",0.70317,2304,5899,0.68414,0.71851
