year,age_gr,pgisced97,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,Pre-primary Level,"Yes, definitely",0.75705,152,152,0.68865,0.82546
1994,17-29 y.,Lower Secondary Level,"No, definitely not",0.09578,36,258,0.05980,0.13176
1994,17-29 y.,Lower Secondary Level,Probably,0.20395,50,258,0.15469,0.25322
1994,17-29 y.,Lower Secondary Level,"Yes, definitely",0.64951,172,258,0.59117,0.70784
1994,17-29 y.,Upper Secondary Level,"No, definitely not",0.06758,38,461,0.04464,0.09052
1994,17-29 y.,Upper Secondary Level,Probably,0.13536,72,461,0.10410,0.16662
1994,17-29 y.,Upper Secondary Level,"Yes, definitely",0.74128,351,461,0.70126,0.78130
1994,17-29 y.,Post-secondary Non-tertiary Level,"Yes, definitely",0.80844,53,53,0.70148,0.91540
1994,30-45 y.,Lower Secondary Level,"No, definitely not",0.38231,48,135,0.30003,0.46459
1994,30-45 y.,Lower Secondary Level,Probably,0.31352,48,135,0.23497,0.39207
1994,30-45 y.,Lower Secondary Level,"Yes, definitely",0.22295,39,135,0.15247,0.29342
1994,30-45 y.,Upper Secondary Level,"No, definitely not",0.20540,98,489,0.16956,0.24125
1994,30-45 y.,Upper Secondary Level,Probably not,0.11946,50,489,0.09069,0.14824
1994,30-45 y.,Upper Secondary Level,Probably,0.24737,116,489,0.20909,0.28565
1994,30-45 y.,Upper Secondary Level,"Yes, definitely",0.42776,225,489,0.38387,0.47166
1994,30-45 y.,Second Stage of Tertiary Education,"Yes, definitely",0.52956,46,46,0.38372,0.67539
1994,46-65 y.,Primary Level,"No, definitely not",0.86138,121,121,0.79956,0.92321
1994,46-65 y.,Lower Secondary Level,"No, definitely not",0.89302,387,387,0.86218,0.92385
1994,46-65 y.,Upper Secondary Level,"No, definitely not",0.79103,635,824,0.76325,0.81881
1994,46-65 y.,Upper Secondary Level,Probably not,0.06304,51,824,0.04644,0.07964
1994,46-65 y.,Upper Secondary Level,Probably,0.04477,46,824,0.03064,0.05889
1994,46-65 y.,Upper Secondary Level,"Yes, definitely",0.10116,92,824,0.08056,0.12177
1994,46-65 y.,First Stage of Tertiary Education,"No, definitely not",0.86578,67,67,0.78354,0.94802
1994,46-65 y.,Second Stage of Tertiary Education,"No, definitely not",0.70921,105,105,0.62193,0.79649
1994,66 and older,Upper Secondary Level,"No, definitely not",0.99271,713,713,0.98646,0.99896
1994,66 and older,First Stage of Tertiary Education,"No, definitely not",0.98044,82,82,0.95027,1.01060
1994,66 and older,Second Stage of Tertiary Education,"No, definitely not",0.98391,120,120,0.96130,1.00652
1995,17-29 y.,No answer / don't know,"Yes, definitely",0.63973,37,37,0.48290,0.79655
1995,17-29 y.,Pre-primary Level,"No, definitely not",0.16496,42,231,0.11699,0.21293
1995,17-29 y.,Pre-primary Level,"Yes, definitely",0.70564,189,231,0.64674,0.76454
1995,17-29 y.,Lower Secondary Level,"No, definitely not",0.11370,34,229,0.07250,0.15491
1995,17-29 y.,Lower Secondary Level,Probably,0.17588,45,229,0.12646,0.22530
1995,17-29 y.,Lower Secondary Level,"Yes, definitely",0.62929,150,229,0.56660,0.69199
1995,17-29 y.,Upper Secondary Level,"No, definitely not",0.06705,37,453,0.04400,0.09011
1995,17-29 y.,Upper Secondary Level,Probably,0.15714,74,453,0.12359,0.19070
1995,17-29 y.,Upper Secondary Level,"Yes, definitely",0.71804,342,453,0.67656,0.75952
1995,17-29 y.,Post-secondary Non-tertiary Level,"Yes, definitely",0.76289,47,47,0.63998,0.88580
1995,30-45 y.,Lower Secondary Level,"No, definitely not",0.27790,47,143,0.20422,0.35158
1995,30-45 y.,Lower Secondary Level,Probably,0.33634,46,143,0.25863,0.41405
1995,30-45 y.,Lower Secondary Level,"Yes, definitely",0.30936,50,143,0.23333,0.38538
