year,pgisced97,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Pre-primary Level,"Yes, definitely",0.75705,152,152,0.68865,0.82546
1994,Primary Level,"No, definitely not",0.64754,204,245,0.58760,0.70749
1994,Primary Level,"Yes, definitely",0.17386,41,245,0.12630,0.22141
1994,Lower Secondary Level,"No, definitely not",0.80359,924,1315,0.78211,0.82507
1994,Lower Secondary Level,Probably not,0.02730,48,1315,0.01849,0.03612
1994,Lower Secondary Level,Probably,0.06248,119,1315,0.04940,0.07557
1994,Lower Secondary Level,"Yes, definitely",0.10662,224,1315,0.08993,0.12331
1994,Upper Secondary Level,"No, definitely not",0.68301,1484,2521,0.66484,0.70118
1994,Upper Secondary Level,Probably not,0.04635,130,2521,0.03814,0.05456
1994,Upper Secondary Level,Probably,0.07079,236,2521,0.06078,0.08081
1994,Upper Secondary Level,"Yes, definitely",0.19985,671,2521,0.18424,0.21546
1994,Post-secondary Non-tertiary Level,"No, definitely not",0.41356,40,109,0.32068,0.50644
1994,Post-secondary Non-tertiary Level,"Yes, definitely",0.46764,69,109,0.37354,0.56175
1994,First Stage of Tertiary Education,"No, definitely not",0.80415,153,186,0.74696,0.86134
1994,First Stage of Tertiary Education,"Yes, definitely",0.10437,33,186,0.06031,0.14842
1994,Second Stage of Tertiary Education,"No, definitely not",0.64800,234,363,0.59881,0.69720
1994,Second Stage of Tertiary Education,Probably,0.08448,36,363,0.05583,0.11313
1994,Second Stage of Tertiary Education,"Yes, definitely",0.21923,93,363,0.17661,0.26185
1995,No answer / don't know,"No, definitely not",0.42378,41,82,0.31617,0.53140
1995,No answer / don't know,"Yes, definitely",0.36136,41,82,0.25674,0.46598
1995,Pre-primary Level,"No, definitely not",0.16496,42,231,0.11699,0.21293
1995,Pre-primary Level,"Yes, definitely",0.70564,189,231,0.64674,0.76454
1995,Primary Level,"No, definitely not",0.65212,203,276,0.59583,0.70842
1995,Primary Level,Probably,0.12569,35,276,0.08651,0.16488
1995,Primary Level,"Yes, definitely",0.16733,38,276,0.12321,0.21145
1995,Lower Secondary Level,"No, definitely not",0.80020,906,1299,0.77844,0.82195
1995,Lower Secondary Level,Probably not,0.03277,54,1299,0.02308,0.04245
1995,Lower Secondary Level,Probably,0.05835,112,1299,0.04560,0.07110
1995,Lower Secondary Level,"Yes, definitely",0.10869,227,1299,0.09176,0.12562
1995,Upper Secondary Level,"No, definitely not",0.69582,1493,2554,0.67797,0.71366
1995,Upper Secondary Level,Probably not,0.04405,143,2554,0.03609,0.05201
1995,Upper Secondary Level,Probably,0.07128,252,2554,0.06130,0.08126
1995,Upper Secondary Level,"Yes, definitely",0.18885,666,2554,0.17367,0.20404
1995,Post-secondary Non-tertiary Level,"No, definitely not",0.33723,44,121,0.25264,0.42182
1995,Post-secondary Non-tertiary Level,"Yes, definitely",0.47389,77,121,0.38455,0.56323
1995,First Stage of Tertiary Education,"No, definitely not",0.74811,143,143,0.67671,0.81951
1995,Second Stage of Tertiary Education,"No, definitely not",0.67310,244,370,0.62524,0.72097
1995,Second Stage of Tertiary Education,Probably,0.06250,31,370,0.03780,0.08720
1995,Second Stage of Tertiary Education,"Yes, definitely",0.20085,95,370,0.15997,0.24173
1996,No answer / don't know,"No, definitely not",0.27557,34,87,0.18113,0.37000
1996,No answer / don't know,"Yes, definitely",0.45988,53,87,0.35454,0.56521
1996,Pre-primary Level,"No, definitely not",0.12318,36,244,0.08186,0.16450
1996,Pre-primary Level,"Yes, definitely",0.77811,208,244,0.72587,0.83035
1996,Primary Level,"No, definitely not",0.67422,188,227,0.61312,0.73532
1996,Primary Level,"Yes, definitely",0.18846,39,227,0.13748,0.23945
1996,Lower Secondary Level,"No, definitely not",0.80866,898,1276,0.78706,0.83025
1996,Lower Secondary Level,Probably not,0.02558,38,1276,0.01691,0.03424
1996,Lower Secondary Level,Probably,0.06009,119,1276,0.04704,0.07313
1996,Lower Secondary Level,"Yes, definitely",0.10568,221,1276,0.08881,0.12256
1996,Upper Secondary Level,"No, definitely not",0.69460,1519,2565,0.67677,0.71243
1996,Upper Secondary Level,Probably not,0.05135,146,2565,0.04281,0.05990
1996,Upper Secondary Level,Probably,0.07362,257,2565,0.06352,0.08373
1996,Upper Secondary Level,"Yes, definitely",0.18042,643,2565,0.16553,0.19530
1996,Post-secondary Non-tertiary Level,"No, definitely not",0.31395,47,121,0.23091,0.39699
1996,Post-secondary Non-tertiary Level,"Yes, definitely",0.50852,74,121,0.41907,0.59797
1996,First Stage of Tertiary Education,"No, definitely not",0.80532,146,180,0.74731,0.86333
1996,First Stage of Tertiary Education,"Yes, definitely",0.09818,34,180,0.05459,0.14177
1996,Second Stage of Tertiary Education,"No, definitely not",0.66769,248,396,0.62124,0.71414
1996,Second Stage of Tertiary Education,Probably,0.08983,44,396,0.06163,0.11802
1996,Second Stage of Tertiary Education,"Yes, definitely",0.18925,104,396,0.15062,0.22788
1997,No answer / don't know,"No, definitely not",0.40315,34,74,0.29062,0.51568
1997,No answer / don't know,"Yes, definitely",0.40214,40,74,0.28966,0.51462
1997,Pre-primary Level,"No, definitely not",0.12675,42,257,0.08599,0.16750
1997,Pre-primary Level,"Yes, definitely",0.74263,215,257,0.68907,0.79618
1997,Primary Level,"No, definitely not",0.64178,186,229,0.57954,0.70401
1997,Primary Level,"Yes, definitely",0.21494,43,229,0.16162,0.26826
1997,Lower Secondary Level,"No, definitely not",0.79511,859,1262,0.77283,0.81739
1997,Lower Secondary Level,Probably not,0.03023,55,1262,0.02078,0.03969
1997,Lower Secondary Level,Probably,0.05660,113,1262,0.04384,0.06935
1997,Lower Secondary Level,"Yes, definitely",0.11806,235,1262,0.10025,0.13587
1997,Upper Secondary Level,"No, definitely not",0.69048,1550,2577,0.67262,0.70833
1997,Upper Secondary Level,Probably not,0.05433,151,2577,0.04558,0.06309
1997,Upper Secondary Level,Probably,0.08020,253,2577,0.06971,0.09068
1997,Upper Secondary Level,"Yes, definitely",0.17500,623,2577,0.16032,0.18967
1997,Post-secondary Non-tertiary Level,"No, definitely not",0.35550,48,104,0.26306,0.44794
1997,Post-secondary Non-tertiary Level,"Yes, definitely",0.46201,56,104,0.36573,0.55830
1997,First Stage of Tertiary Education,"No, definitely not",0.78789,142,174,0.72697,0.84881
1997,First Stage of Tertiary Education,"Yes, definitely",0.08109,32,174,0.04041,0.12177
1997,Second Stage of Tertiary Education,"No, definitely not",0.68465,256,383,0.63805,0.73125
1997,Second Stage of Tertiary Education,Probably,0.08369,40,383,0.05592,0.11146
1997,Second Stage of Tertiary Education,"Yes, definitely",0.17244,87,383,0.13455,0.21032
1998,No answer / don't know,"No, definitely not",0.70576,175,231,0.64687,0.76466
1998,No answer / don't know,"Yes, definitely",0.16307,56,231,0.11532,0.21081
1998,Pre-primary Level,"No, definitely not",0.17902,49,259,0.13224,0.22580
1998,Pre-primary Level,"Yes, definitely",0.68422,210,259,0.62750,0.74094
1998,Primary Level,"No, definitely not",0.68584,190,226,0.62519,0.74649
1998,Primary Level,"Yes, definitely",0.20440,36,226,0.15171,0.25709
1998,Lower Secondary Level,"No, definitely not",0.79222,1003,1418,0.77110,0.81335
1998,Lower Secondary Level,Probably not,0.03674,63,1418,0.02694,0.04653
1998,Lower Secondary Level,Probably,0.04753,95,1418,0.03645,0.05861
1998,Lower Secondary Level,"Yes, definitely",0.12351,257,1418,0.10638,0.14064
1998,Upper Secondary Level,"No, definitely not",0.69855,1734,2813,0.68159,0.71551
1998,Upper Secondary Level,Probably not,0.04791,150,2813,0.04001,0.05580
1998,Upper Secondary Level,Probably,0.06449,223,2813,0.05541,0.07357
1998,Upper Secondary Level,"Yes, definitely",0.18905,706,2813,0.17458,0.20352
1998,Post-secondary Non-tertiary Level,"No, definitely not",0.45828,51,102,0.36110,0.55545
1998,Post-secondary Non-tertiary Level,"Yes, definitely",0.35860,51,102,0.26507,0.45214
1998,First Stage of Tertiary Education,"No, definitely not",0.74997,150,188,0.68790,0.81203
1998,First Stage of Tertiary Education,"Yes, definitely",0.10557,38,188,0.06152,0.14961
1998,Second Stage of Tertiary Education,"No, definitely not",0.67178,303,462,0.62892,0.71465
1998,Second Stage of Tertiary Education,Probably not,0.05820,31,462,0.03683,0.07957
1998,Second Stage of Tertiary Education,"Yes, definitely",0.21597,128,462,0.17841,0.25353
1999,No answer / don't know,"No, definitely not",0.46445,47,101,0.36670,0.56220
1999,No answer / don't know,"Yes, definitely",0.36419,54,101,0.26987,0.45850
1999,Pre-primary Level,"No, definitely not",0.17336,43,249,0.12625,0.22048
1999,Pre-primary Level,"Yes, definitely",0.73209,206,249,0.67697,0.78721
1999,Primary Level,"No, definitely not",0.79982,195,195,0.74351,0.85613
1999,Lower Secondary Level,"No, definitely not",0.81063,985,1343,0.78967,0.83160
1999,Lower Secondary Level,Probably not,0.02895,48,1343,0.01998,0.03792
1999,Lower Secondary Level,Probably,0.04568,89,1343,0.03451,0.05686
1999,Lower Secondary Level,"Yes, definitely",0.11474,221,1343,0.09768,0.13179
1999,Upper Secondary Level,"No, definitely not",0.72486,1753,2696,0.70800,0.74173
1999,Upper Secondary Level,Probably not,0.04191,127,2696,0.03434,0.04947
1999,Upper Secondary Level,Probably,0.05846,200,2696,0.04960,0.06732
