year,hhtyp,regtyp,hlf0151,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2004,Single-person household,Urban regions,Relatively Certain,0.719677906391545,11543,0.711483934445039,0.7278718783380511
2004,Single-person household,Urban regions,Certain,0.14947156517362858,11543,0.14296696759130967,0.1559761627559475
2004,Single-person household,Urban regions,Relatively Uncertain,0.11424257674886763,11543,0.10843936898954538,0.12004578450818988
2004,Single-person household,Urban regions,Very Uncertain,0.01660795168595873,11543,0.014276544632539129,0.018939358739378333
2004,Single-person household,Rural regions,Relatively Certain,0.7007042253521126,11543,0.6923498422891368,0.7090586084150885
2004,Single-person household,Rural regions,Certain,0.2007042253521127,11543,0.19339739978196896,0.2080110509222564
2004,Single-person household,Rural regions,Relatively Uncertain,0.0880281690140845,11543,0.08285926735168966,0.09319707067647934
2004,Single-person household,Rural regions,Very Uncertain,0.01056338028169014,11543,0.008698323017550663,0.012428437545829618
2004,Couple without children,Urban regions,Relatively Certain,0.7471668620554904,11543,0.7392377871259026,0.7550959369850783
2004,Couple without children,Urban regions,Certain,0.14419695193434937,11543,0.1377883738815796,0.15060552998711912
2004,Couple without children,Urban regions,Relatively Uncertain,0.0984759671746776,11543,0.09304032943498174,0.10391160491437347
2004,Couple without children,Urban regions,Very Uncertain,0.01016021883548261,11543,0.008330726027613927,0.011989711643351294
2004,Couple without children,Rural regions,Relatively Certain,0.7568438003220612,11543,0.7490177519849758,0.7646698486591467
2004,Couple without children,Rural regions,Certain,0.16505636070853463,11543,0.15828397886981352,0.17182874254725575
2004,Couple without children,Rural regions,Relatively Uncertain,0.0748792270531401,11543,0.07007773055665509,0.0796807235496251
2004,Couple without children,Rural regions,Very Uncertain,0.00322061191626409,11543,0.0021869811072280252,0.004254242725300155
2004,Single parent,Urban regions,Relatively Certain,0.7228381374722838,11543,0.714672614815323,0.7310036601292446
2004,Single parent,Urban regions,Relatively Uncertain,0.13303769401330376,11543,0.1268420823945188,0.13923330563208872
2004,Single parent,Urban regions,Certain,0.12416851441241686,11543,0.11815244632243202,0.1301845825024017
2004,Single parent,Urban regions,Very Uncertain,0.019955654101995565,11543,0.017404406726007217,0.022506901477983912
2004,Single parent,Rural regions,Relatively Certain,0.7412280701754386,11543,0.7332383561556005,0.7492177841952766
2004,Single parent,Rural regions,Certain,0.14035087719298245,11543,0.134014151590951,0.1466876027950139
2004,Single parent,Rural regions,Relatively Uncertain,0.11842105263157894,11543,0.11252662300120699,0.1243154822619509
2004,Couple with children,Urban regions,Relatively Certain,0.7377365778292777,11543,0.729712109933744,0.7457610457248114
2004,Couple with children,Urban regions,Certain,0.1657010428736964,11543,0.15891806821151344,0.17248401753587939
2004,Couple with children,Urban regions,Relatively Uncertain,0.08690614136732329,11543,0.08176712893596097,0.09204515379868561
2004,Couple with children,Urban regions,Very Uncertain,0.009656237929702587,11543,0.007872242703747756,0.011440233155657419
2004,Couple with children,Rural regions,Relatively Certain,0.742603550295858,11543,0.7346277088797516,0.7505793917119644
2004,Couple with children,Rural regions,Certain,0.20266272189349113,11543,0.19532933338356523,0.20999611040341704
2004,Couple with children,Rural regions,Relatively Uncertain,0.04955621301775148,11543,0.045596998829858425,0.05351542720564454
2004,Couple with children,Rural regions,Very Uncertain,0.005177514792899409,11543,0.0038682418465440685,0.0064867877392547485
2004,Multi-generational household,Urban regions,Relatively Certain,0.6376811594202898,11543,0.6289122824799256,0.646450036360654
2004,Multi-generational household,Urban regions,Certain,0.18840579710144928,11543,0.18127212205501428,0.19553947214788428
2004,Multi-generational household,Urban regions,Relatively Uncertain,0.17391304347826086,11543,0.16699830620513767,0.18082778075138406
